선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
김혜성,키움,137,28,25,3,89.3,6,2
도슨,키움,57,11,9,2,81.8,2,0
이정후,키움,86,9,6,3,66.7,1,1
임병욱,키움,80,4,4,0,100,4,0
이주형,키움,69,4,3,1,75.0,0,1
이용규,키움,50,3,2,1,66.7,2,0
러셀,키움,59,1,1,0,100,1,0
박주홍,키움,27,1,1,0,100,1,0
송성문,키움,104,1,1,0,100,1,0
이지영,키움,81,2,1,1,50.0,0,0
임지열,키움,72,1,1,0,100,2,0
김건희,키움,9,0,0,0,-,0,0
김동규,키움,1,0,0,0,-,0,0
김동헌,키움,102,0,0,0,-,1,0
김동혁,키움,2,0,0,0,-,0,0
김병휘,키움,10,0,0,0,-,0,0
김선기,키움,2,0,0,0,-,0,0
김성진,키움,2,0,0,0,-,0,0
김수환,키움,50,0,0,0,-,0,0
김시앙,키움,33,0,0,0,-,1,1
김웅빈,키움,29,0,0,0,-,2,0
김재웅,키움,1,0,0,0,-,0,0
김재현,키움,8,0,0,0,-,1,0
김주형,키움,46,0,0,0,-,0,0
김준완,키움,76,0,0,0,-,2,0
김준형,키움,1,0,0,0,-,0,0
김태진,키움,74,0,0,0,-,2,0
김휘집,키움,110,0,0,0,-,2,0
문성현,키움,2,0,0,0,-,0,0
박수종,키움,23,0,0,0,-,0,0
박준태,키움,14,0,0,0,-,0,0
박찬혁,키움,48,0,0,0,-,0,1
송재선,키움,5,0,0,0,-,0,0
신준우,키움,24,0,0,0,-,0,0
양현,키움,2,0,0,0,-,0,0
예진원,키움,16,0,0,0,-,0,0
원종현,키움,2,0,0,0,-,0,0
윤정현,키움,3,0,0,0,-,0,0
이명종,키움,3,0,0,0,-,0,0
이병규,키움,7,0,0,0,-,0,0
이승원,키움,4,0,0,0,-,0,0
이원석,키움,89,1,0,1,0.0,2,0
이형종,키움,99,0,0,0,-,4,0
임창민,키움,2,0,0,0,-,0,0
전병우,키움,41,0,0,0,-,0,0
주성원,키움,25,0,0,0,-,1,1
하영민,키움,3,0,0,0,-,0,0
후라도,키움,1,0,0,0,-,0,0
