선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
김하성,키움,139,37,33,4,89.2,3,1
김혜성,키움,122,23,20,3,87.0,2,0
서건창,키움,113,20,17,3,85.0,6,3
이정후,키움,140,20,13,7,65.0,4,0
임병욱,키움,117,12,10,2,83.3,3,1
박정음,키움,60,11,6,5,54.5,1,0
이지영,키움,106,6,5,1,83.3,2,1
김규민,키움,94,6,2,4,33.3,1,0
송성문,키움,103,3,2,1,66.7,1,0
박동원,키움,112,1,1,0,100,3,0
샌즈,키움,139,3,1,2,33.3,5,0
김웅빈,키움,4,0,0,0,-,0,0
김은성,키움,5,0,0,0,-,0,0
김주형,키움,3,0,0,0,-,0,0
김지수,키움,69,0,0,0,-,1,0
박병호,키움,122,1,0,1,0.0,2,0
예진원,키움,2,0,0,0,-,0,0
윤영삼,키움,1,0,0,0,-,0,0
임지열,키움,11,0,0,0,-,0,0
장영석,키움,119,0,0,0,-,2,0
주효상,키움,18,0,0,0,-,1,0
추재현,키움,1,0,0,0,-,0,0
허정협,키움,37,0,0,0,-,0,0
