선수명,팀명,타율,타수,안타,2루타,3루타,홈런,타점,볼넷,사구,삼진,병살타,타순
임지열,키움,1.000,1,1,0,0,0,0,0,0,0,0,1번
허정협,키움,1.000,1,1,0,0,0,0,0,0,0,0,1번
변상권,키움,0.500,2,1,1,0,0,1,0,0,1,0,1번
김주형,키움,0.333,6,2,2,0,0,0,0,0,1,0,1번
김혜성,키움,0.295,95,28,3,1,0,9,10,0,9,1,1번
서건창,키움,0.270,363,98,16,5,4,28,63,4,41,7,1번
이정후,키움,0.250,4,1,0,0,0,0,1,0,0,0,1번
박준태,키움,0.245,102,25,1,1,2,8,14,5,34,1,1번
김규민,키움,0.000,1,0,0,0,0,0,0,0,1,0,1번
김웅빈,키움,0.000,1,0,0,0,0,0,0,0,0,0,1번
박동원,키움,0.000,1,0,0,0,0,0,0,0,0,0,1번
박정음,키움,0.000,2,0,0,0,0,0,0,0,1,0,1번
박주홍,키움,0.000,1,0,0,0,0,0,1,0,1,0,1번
송우현,키움,0.000,1,0,0,0,0,0,0,0,1,0,1번
이지영,키움,0.000,3,0,0,0,0,0,0,0,0,0,1번
전병우,키움,0.000,1,0,0,0,0,0,0,0,0,1,1번
김은성,키움,1.000,1,1,0,0,0,0,0,0,0,0,2번
박정음,키움,1.000,1,1,0,0,0,1,0,0,0,0,2번
김규민,키움,0.500,2,1,0,0,0,0,0,0,1,0,2번
김주형,키움,0.500,2,1,0,0,0,1,0,0,0,0,2번
박동원,키움,0.500,4,2,1,0,1,2,1,0,0,0,2번
김혜성,키움,0.384,99,38,10,1,0,12,5,0,20,2,2번
김하성,키움,0.314,385,121,16,1,21,82,59,7,45,12,2번
서건창,키움,0.194,36,7,4,0,0,6,7,0,1,0,2번
박병호,키움,0.167,18,3,1,0,1,5,3,0,7,0,2번
이지영,키움,0.167,6,1,0,0,0,1,0,0,1,0,2번
전병우,키움,0.150,20,3,1,0,0,2,1,0,6,0,2번
김웅빈,키움,0.111,9,1,1,0,0,0,0,0,3,0,2번
김수환,키움,0.000,1,0,0,0,0,0,0,0,1,0,2번
박주홍,키움,0.000,1,0,0,0,0,0,0,0,1,0,2번
김규민,키움,1.000,1,1,0,0,0,0,0,0,0,0,3번
김수환,키움,1.000,2,2,1,0,0,2,0,0,0,0,3번
김은성,키움,1.000,1,1,0,0,0,0,0,0,0,0,3번
전병우,키움,1.000,1,1,0,0,0,0,0,0,0,0,3번
박동원,키움,0.667,3,2,1,0,0,2,0,1,0,0,3번
허정협,키움,0.500,2,1,0,0,0,0,0,0,0,0,3번
김웅빈,키움,0.444,9,4,0,0,0,3,2,0,2,0,3번
서건창,키움,0.361,72,26,6,0,0,14,10,1,14,1,3번
러셀,키움,0.323,62,20,5,0,1,15,8,1,5,5,3번
이정후,키움,0.311,363,113,31,4,14,64,36,2,29,14,3번
김하성,키움,0.263,57,15,4,0,4,9,8,0,10,0,3번
박병호,키움,0.000,1,0,0,0,0,0,0,0,0,0,3번
박정음,키움,0.000,2,0,0,0,0,0,0,0,1,0,3번
변상권,키움,0.000,2,0,0,0,0,0,0,0,0,0,3번
주효상,키움,0.000,2,0,0,0,0,0,0,0,0,0,3번
김규민,키움,1.000,1,1,0,0,0,0,0,0,0,0,4번
김주형,키움,0.500,4,2,0,0,0,1,0,0,0,0,4번
이지영,키움,0.500,2,1,0,0,0,1,0,0,0,0,4번
주효상,키움,0.500,2,1,0,0,0,0,0,0,0,0,4번
전병우,키움,0.400,5,2,0,1,0,2,2,0,1,0,4번
이정후,키움,0.392,158,62,16,1,1,36,18,2,15,1,4번
김웅빈,키움,0.333,12,4,1,0,0,0,0,0,7,0,4번
박정음,키움,0.333,6,2,0,0,0,0,0,1,1,0,4번
러셀,키움,0.261,69,18,3,0,0,6,8,1,9,1,4번
서건창,키움,0.250,4,1,1,0,0,1,1,0,1,0,4번
박병호,키움,0.207,222,46,4,0,13,41,40,3,86,7,4번
허정협,키움,0.200,10,2,0,0,1,1,2,0,5,0,4번
김하성,키움,0.195,41,8,2,0,1,3,3,1,9,0,4번
박동원,키움,0.053,19,1,0,0,1,1,3,0,4,1,4번
박주홍,키움,0.000,1,0,0,0,0,0,0,0,1,0,4번
박준태,키움,0.000,3,0,0,0,0,0,0,0,1,1,4번
변상권,키움,0.000,1,0,0,0,0,1,0,0,0,0,4번
김하성,키움,0.375,40,15,2,0,4,13,3,0,4,0,5번
이지영,키움,0.313,48,15,1,0,0,5,6,0,2,3,5번
박병호,키움,0.302,43,13,1,0,5,14,8,5,15,1,5번
