선수명,팀명,타율,타수,안타,2루타,3루타,홈런,타점,볼넷,사구,삼진,병살타,타순
김태진,키움,0.310,71,22,2,0,0,4,4,0,7,0,1번
박주홍,키움,0.222,9,2,0,0,0,0,1,0,3,0,1번
박찬혁,키움,0.200,5,1,0,0,0,0,0,1,1,0,1번
김준완,키움,0.194,288,56,10,2,0,25,57,7,63,3,1번
이용규,키움,0.184,163,30,3,0,0,12,23,2,20,3,1번
강민국,키움,-,0,0,0,0,0,1,1,0,0,0,1번
김수환,키움,-,0,0,0,0,0,1,1,0,0,0,1번
김웅빈,키움,0.000,7,0,0,0,0,1,2,1,3,0,1번
김혜성,키움,0.000,8,0,0,0,0,0,0,0,2,0,1번
박준태,키움,0.000,12,0,0,0,0,0,3,0,6,0,1번
예진원,키움,0.000,5,0,0,0,0,0,1,0,1,0,1번
이병규,키움,0.000,1,0,0,0,0,0,0,0,0,0,1번
이주형,키움,0.000,1,0,0,0,0,0,0,0,0,0,1번
임지열,키움,0.000,3,0,0,0,0,0,0,1,1,0,1번
예진원,키움,0.500,2,1,0,0,0,0,1,0,0,0,2번
김혜성,키움,0.326,178,58,9,2,2,16,6,0,32,4,2번
김수환,키움,0.313,16,5,0,0,0,0,3,1,4,0,2번
임지열,키움,0.306,85,26,6,0,0,8,5,0,30,2,2번
이지영,키움,0.250,4,1,0,0,0,0,0,0,0,1,2번
송성문,키움,0.245,53,13,1,0,1,6,3,0,5,0,2번
김휘집,키움,0.233,86,20,4,0,0,6,8,4,35,2,2번
이용규,키움,0.205,44,9,1,0,0,2,4,3,6,2,2번
푸이그,키움,0.188,48,9,2,0,1,2,3,3,14,0,2번
박찬혁,키움,0.182,44,8,2,0,2,8,4,3,17,1,2번
박준태,키움,0.167,6,1,1,0,0,2,0,0,3,0,2번
김태진,키움,0.143,21,3,0,0,0,2,2,0,5,0,2번
강민국,키움,0.000,1,0,0,0,0,0,0,0,0,0,2번
김주형,키움,-,0,0,0,0,0,0,0,0,0,0,2번
김준완,키움,0.000,5,0,0,0,0,0,1,0,2,0,2번
박주홍,키움,0.000,2,0,0,0,0,0,1,0,1,1,2번
신준우,키움,0.000,1,0,0,0,0,0,2,1,0,0,2번
이병규,키움,0.000,1,0,0,0,0,0,0,0,1,0,2번
이재홍,키움,0.000,1,0,0,0,0,0,0,0,0,0,2번
전병우,키움,0.000,16,0,0,0,0,0,1,2,3,0,2번
이정후,키움,0.347,550,191,36,10,23,111,65,5,32,9,3번
김혜성,키움,0.267,15,4,0,0,1,3,3,0,0,0,3번
김수환,키움,0.000,3,0,0,0,0,0,0,0,2,0,3번
김준완,키움,0.000,2,0,0,0,0,0,0,0,0,0,3번
김태진,키움,0.000,1,0,0,0,0,0,0,0,0,0,3번
박준태,키움,0.000,2,0,0,0,0,0,0,0,1,0,3번
예진원,키움,0.000,1,0,0,0,0,0,0,0,0,0,3번
이병규,키움,0.000,1,0,0,0,0,0,0,0,1,0,3번
이주형,키움,0.000,1,0,0,0,0,0,0,1,0,0,3번
푸이그,키움,0.000,3,0,0,0,0,0,2,0,1,0,3번
김혜성,키움,0.315,108,34,4,3,0,13,9,0,17,2,4번
송성문,키움,0.294,68,20,1,0,2,10,11,0,5,0,4번
푸이그,키움,0.281,335,94,20,0,15,45,44,7,68,6,4번
김웅빈,키움,0.250,4,1,1,0,0,0,0,0,1,0,4번
박찬혁,키움,0.200,10,2,0,0,0,1,0,0,2,0,4번
이주형,키움,0.111,9,1,0,0,0,3,2,0,3,0,4번
김수환,키움,0.000,5,0,0,0,0,0,0,0,2,0,4번
김주형,키움,0.000,2,0,0,0,0,0,0,0,1,0,4번
김준완,키움,0.000,3,0,0,0,0,0,1,0,2,0,4번
김태진,키움,-,0,0,0,0,0,0,1,0,0,0,4번
박준태,키움,0.000,2,0,0,0,0,0,0,0,0,0,4번
신준우,키움,0.000,1,0,0,0,0,0,0,0,1,0,4번
임지열,키움,0.000,3,0,0,0,0,0,0,0,1,0,4번
전병우,키움,0.000,7,0,0,0,0,0,1,0,4,0,4번
김혜성,키움,0.340,194,66,5,2,1,16,26,0,27,3,5번
김태진,키움,0.339,56,19,3,1,0,7,3,0,7,1,5번
푸이그,키움,0.323,31,10,1,0,3,9,2,1,9,0,5번
전병우,키움,0.273,11,3,2,0,0,1,0,0,2,0,5번
김휘집,키움,0.259,27,7,0,1,0,4,3,0,7,1,5번
박찬혁,키움,0.250,4,1,1,0,0,0,0,0,3,0,5번
이용규,키움,0.231,13,3,1,0,0,0,2,0,2,0,5번
송성문,키움,0.190,189,36,10,2,3,18,12,0,27,4,5번
김웅빈,키움,0.057,35,2,0,0,0,1,2,2,8,2,5번
박주홍,키움,0.000,3,0,0,0,0,0,0,0,2,0,5번
박준태,키움,0.000,2,0,0,0,0,0,0,0,2,0,5번
신준우,키움,0.000,1,0,0,0,0,0,0,0,0,0,5번
이병규,키움,0.000,1,0,0,0,0,0,0,0,0,0,5번
임지열,키움,0.000,5,0,0,0,0,0,1,0,2,0,5번
박준태,키움,1.000,1,1,1,0,0,0,0,1,0,0,6번
김웅빈,키움,0.400,25,10,2,0,0,2,4,0,11,0,6번
이용규,키움,0.357,14,5,0,0,0,4,4,0,2,0,6번
박주홍,키움,0.333,3,1,1,0,0,0,0,0,1,0,6번
임지열,키움,0.333,18,6,0,0,1,4,2,1,3,0,6번
푸이그,키움,0.333,18,6,1,0,0,3,0,0,4,0,6번
송성문,키움,0.304,79,24,5,1,2,15,4,0,8,1,6번
이병규,키움,0.278,18,5,1,0,0,1,0,0,3,0,6번
이지영,키움,0.268,56,15,2,1,0,3,3,1,10,6,6번
김주형,키움,0.250,16,4,0,1,0,0,1,0,3,0,6번
신준우,키움,0.250,4,1,1,0,0,0,0,0,1,0,6번
김태진,키움,0.235,34,8,0,0,0,3,3,1,3,1,6번
김휘집,키움,0.230,61,14,4,0,2,9,9,2,22,2,6번
김수환,키움,0.173,81,14,5,0,3,9,11,1,36,0,6번
박찬혁,키움,0.150,20,3,0,0,0,1,1,0,10,0,6번
김혜성,키움,0.125,8,1,0,0,0,0,1,0,3,0,6번
이주형,키움,0.125,16,2,0,0,0,1,1,1,4,0,6번
전병우,키움,0.125,16,2,0,0,0,1,2,2,6,0,6번
김재현,키움,0.000,7,0,0,0,0,0,1,0,1,0,6번
김준완,키움,0.000,1,0,0,0,0,0,0,0,0,0,6번
