선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
김혜성,키움,142,33,25,8,75.8,3,2
서건창,키움,135,34,24,10,70.6,9,1
김하성,키움,138,25,23,2,92.0,6,0
이정후,키움,140,14,12,2,85.7,3,1
박정음,키움,86,10,9,1,90.0,0,1
전병우,키움,119,7,7,0,100,3,0
박준태,키움,128,6,5,1,83.3,4,3
임병욱,키움,12,3,3,0,100,0,0
러셀,키움,65,2,2,0,100,3,1
김규민,키움,54,1,1,0,100,1,0
김웅빈,키움,73,1,1,0,100,1,1
이지영,키움,101,2,1,1,50.0,2,0
김동혁,키움,1,0,0,0,-,0,0
김병휘,키움,1,0,0,0,-,0,0
김상수,키움,1,0,0,0,-,0,0
김성민,키움,3,0,0,0,-,0,0
김수환,키움,9,0,0,0,-,1,0
김은성,키움,16,0,0,0,-,0,0
김재웅,키움,2,0,0,0,-,0,0
김재현,키움,4,0,0,0,-,0,0
김주형,키움,39,1,0,1,0.0,0,0
모터,키움,10,0,0,0,-,0,0
문찬종,키움,5,0,0,0,-,0,0
박동원,키움,112,0,0,0,-,0,0
박병호,키움,93,0,0,0,-,1,1
박주홍,키움,13,1,0,1,0.0,1,0
변상권,키움,35,0,0,0,-,0,0
송우현,키움,14,0,0,0,-,0,0
신재영,키움,1,0,0,0,-,0,0
안우진,키움,1,0,0,0,-,0,0
양지율,키움,1,0,0,0,-,0,0
양현,키움,1,0,0,0,-,0,0
윤정현,키움,2,0,0,0,-,0,0
이택근,키움,20,0,0,0,-,0,0
임규빈,키움,2,0,0,0,-,0,0
임지열,키움,1,0,0,0,-,0,0
조상우,키움,6,0,0,0,-,0,0
조성운,키움,4,0,0,0,-,0,0
조영건,키움,3,0,0,0,-,0,0
주효상,키움,63,0,0,0,-,0,0
허정협,키움,111,0,0,0,-,2,0
