선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
임지열,키움,1.000,0,0,0,-,0,-,4.00,0.000,0.5,0.7
김은성,키움,0.500,0,1,0,-,0,1.00,4.83,0.000,1.1,0.425
이정후,키움,0.333,69,124,200,0.62,13,1.26,3.74,0.191,104.6,0.31
이지영,키움,0.309,12,98,56,1.75,4,0.68,3.39,0.053,32.4,0.255
김하성,키움,0.306,55,104,201,0.52,14,1.10,3.71,0.218,109.9,0.309
김혜성,키움,0.285,37,140,127,1.10,5,0.49,3.96,0.114,70.8,0.255
서건창,키움,0.277,38,142,160,0.89,6,1.57,3.97,0.110,83.2,0.272
김웅빈,키움,0.275,21,41,47,0.87,0,0.26,4.06,0.179,30.8,0.264
변상권,키움,0.274,6,17,9,1.89,3,0.05,4.00,0.129,6.3,0.227
임병욱,키움,0.270,4,13,4,3.25,0,0.40,4.02,0.108,4.8,0.248
허정협,키움,0.268,22,83,75,1.11,9,0.55,4.15,0.134,44.9,0.259
러셀,키움,0.254,16,73,75,0.97,2,0.59,3.67,0.082,26.6,0.227
박동원,키움,0.250,33,88,89,0.99,5,0.56,3.97,0.176,46.1,0.259
박주홍,키움,0.250,2,4,4,1.00,0,0.10,4.68,0.083,1.8,0.209
박준태,키움,0.245,19,74,71,1.04,1,0.54,4.07,0.086,55.2,0.258
전병우,키움,0.237,24,69,107,0.64,4,0.37,3.81,0.120,41.8,0.229
김주형,키움,0.233,4,6,17,0.35,0,0.40,3.80,0.140,5.3,0.24
박병호,키움,0.223,28,53,81,0.65,7,0.50,4.38,0.227,55.5,0.271
김규민,키움,0.208,4,34,23,1.48,0,0.21,3.87,0.069,6.6,0.182
이택근,키움,0.193,5,16,9,1.78,0,0.33,4.06,0.088,4.3,0.197
주효상,키움,0.190,4,21,22,0.95,2,0.50,3.99,0.048,7.5,0.193
박정음,키움,0.186,1,12,9,1.33,1,0.14,3.79,0.047,3.9,0.173
김수환,키움,0.182,1,3,1,3.00,0,0.20,4.42,0.091,0.3,0.181
모터,키움,0.114,1,9,13,0.69,0,0.10,4.24,0.086,0.8,0.111
김동혁,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
김병휘,키움,0.000,0,0,0,-,0,0.00,7.00,0.000,-0.1,0.0
김상수,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
김성민,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
김재웅,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
김재현,키움,0.000,0,1,0,-,0,0.00,5.00,0.000,-0.3,0.0
문찬종,키움,0.000,0,0,1,0.00,0,-,1.00,0.000,-0.1,0.0
송우현,키움,0.000,0,3,5,0.60,0,0.50,3.87,0.000,-0.1,0.09
신재영,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
안우진,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
양지율,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
양현,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
윤정현,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
임규빈,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
조상우,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
조성운,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
조영건,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
