선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
김혜성,키움,144,50,46,4,92.0,4,1
이용규,키움,133,19,17,2,89.5,3,0
이정후,키움,123,13,10,3,76.9,2,1
박정음,키움,70,6,4,2,66.7,0,0
이지영,키움,108,4,3,1,75.0,3,1
전병우,키움,115,4,3,1,75.0,0,0
박동원,키움,131,2,2,0,100,4,0
김웅빈,키움,97,2,1,1,50.0,6,0
김주형,키움,36,1,1,0,100,0,0
김휘집,키움,34,1,1,0,100,1,0
박주홍,키움,23,2,1,1,50.0,0,0
박준태,키움,27,1,1,0,100,2,0
송우현,키움,69,2,1,1,50.0,2,0
김동욱,키움,1,0,0,0,-,0,0
김병휘,키움,13,0,0,0,-,0,0
김성민,키움,5,0,0,0,-,0,0
김성진,키움,3,0,0,0,-,0,0
김수환,키움,13,0,0,0,-,0,0
김은성,키움,6,0,0,0,-,0,0
김재웅,키움,3,0,0,0,-,0,0
김재현,키움,39,1,0,1,0.0,0,0
김정인,키움,3,0,0,0,-,0,0
김태훈,키움,5,0,0,0,-,0,0
문성현,키움,1,0,0,0,-,0,0
문찬종,키움,13,0,0,0,-,0,0
박관진,키움,1,0,0,0,-,0,0
박병호,키움,118,1,0,1,0.0,0,0
박승주,키움,1,0,0,0,-,0,0
변상권,키움,72,0,0,0,-,1,0
송성문,키움,66,0,0,0,-,2,0
신준우,키움,56,1,0,1,0.0,3,0
양현,키움,4,0,0,0,-,0,0
예진원,키움,52,1,0,1,0.0,2,0
오주원,키움,2,0,0,0,-,0,0
윤정현,키움,1,0,0,0,-,0,0
이명기,키움,3,0,0,0,-,0,0
이승호,키움,3,0,0,0,-,0,0
이주형,키움,5,0,0,0,-,0,0
임지열,키움,19,1,0,1,0.0,0,0
장재영,키움,1,0,0,0,-,0,0
조상우,키움,4,0,0,0,-,0,0
조영건,키움,1,0,0,0,-,0,0
크레익,키움,61,1,0,1,0.0,1,0
프레이타스,키움,43,0,0,0,-,1,0
허정협,키움,29,0,0,0,-,0,0
