순위,선수명,팀명,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP,Year,Position,Inning
1,문상철,KT,0.429,7,3,0,0,0,1,2,0,0,0,2020,내야수,1
2,황재균,KT,0.326,89,29,4,2,3,8,10,2,22,3,2020,내야수,1
3,박경수,KT,0.263,19,5,2,0,1,9,2,3,9,0,2020,내야수,1
4,심우준,KT,0.258,31,8,0,1,0,0,0,0,8,0,2020,내야수,1
5,강민국,KT,0.000,1,0,0,0,0,0,0,0,1,0,2020,내야수,1
5,김병희,KT,0.000,1,0,0,0,0,0,0,0,0,0,2020,내야수,1
5,박승욱,KT,-,0,0,0,0,0,0,0,0,0,0,2020,내야수,1
5,천성호,KT,0.000,1,0,0,0,0,0,0,0,1,0,2020,내야수,1
1,문상철,KT,0.409,22,9,1,0,3,4,0,0,6,0,2020,내야수,2
2,심우준,KT,0.379,58,22,1,0,1,13,7,0,12,0,2020,내야수,2
3,박승욱,KT,0.300,20,6,0,0,0,1,1,0,5,0,2020,내야수,2
4,황재균,KT,0.298,47,14,4,0,1,11,3,0,9,0,2020,내야수,2
5,박경수,KT,0.283,60,17,4,0,2,10,11,0,19,1,2020,내야수,2
6,강민국,KT,0.211,19,4,0,0,0,3,2,0,3,0,2020,내야수,2
7,천성호,KT,0.100,10,1,0,0,0,0,1,0,2,0,2020,내야수,2
8,김병희,KT,0.000,3,0,0,0,0,0,0,0,1,0,2020,내야수,2
1,천성호,KT,0.429,7,3,0,0,0,0,0,0,1,0,2020,내야수,3
2,문상철,KT,0.400,10,4,0,0,0,0,0,1,4,1,2020,내야수,3
3,박경수,KT,0.350,20,7,1,0,0,5,1,0,3,2,2020,내야수,3
4,박승욱,KT,0.300,10,3,0,0,1,1,1,0,2,0,2020,내야수,3
5,황재균,KT,0.242,62,15,5,1,1,7,7,0,10,2,2020,내야수,3
6,심우준,KT,0.211,71,15,4,0,0,7,3,0,11,1,2020,내야수,3
7,강민국,KT,0.133,15,2,0,0,0,3,0,0,4,0,2020,내야수,3
1,김병희,KT,0.500,2,1,0,0,0,0,0,0,0,0,2020,내야수,4
2,천성호,KT,0.333,9,3,1,0,0,0,0,0,1,0,2020,내야수,4
3,황재균,KT,0.320,50,16,4,0,2,8,3,0,7,0,2020,내야수,4
4,강민국,KT,0.273,11,3,1,0,0,1,0,0,3,0,2020,내야수,4
5,박경수,KT,0.212,52,11,4,0,0,4,6,2,13,6,2020,내야수,4
6,박승욱,KT,0.167,12,2,0,0,0,0,1,0,6,0,2020,내야수,4
7,심우준,KT,0.136,44,6,1,0,0,4,4,0,10,2,2020,내야수,4
8,문상철,KT,0.118,17,2,0,0,0,2,0,1,3,1,2020,내야수,4
1,박경수,KT,0.308,39,12,3,0,1,6,8,0,10,2,2020,내야수,5
2,천성호,KT,0.286,7,2,0,0,0,0,2,0,3,0,2020,내야수,5
3,황재균,KT,0.258,66,17,4,0,1,10,6,0,15,3,2020,내야수,5
4,박승욱,KT,0.250,12,3,0,0,0,1,1,1,3,0,2020,내야수,5
5,심우준,KT,0.203,69,14,2,1,0,5,7,1,15,1,2020,내야수,5
6,문상철,KT,0.154,13,2,1,0,0,1,2,0,3,0,2020,내야수,5
7,강민국,KT,0.133,15,2,0,0,0,0,2,0,2,0,2020,내야수,5
8,김병희,KT,0.000,1,0,0,0,0,0,0,0,1,0,2020,내야수,5
1,김병희,KT,0.500,2,1,0,0,1,1,0,0,0,0,2020,내야수,6
1,박승욱,KT,0.500,6,3,0,1,0,1,0,1,2,0,2020,내야수,6
1,천성호,KT,0.500,4,2,2,0,0,0,1,1,0,0,2020,내야수,6
4,황재균,KT,0.322,59,19,6,0,1,11,8,1,10,1,2020,내야수,6
5,박경수,KT,0.273,33,9,1,0,4,10,5,4,12,1,2020,내야수,6
6,문상철,KT,0.250,16,4,1,0,0,1,0,0,3,0,2020,내야수,6
6,심우준,KT,0.250,48,12,2,0,1,1,6,0,11,0,2020,내야수,6
8,강민국,KT,0.182,11,2,1,0,0,0,0,0,1,0,2020,내야수,6
1,황재균,KT,0.400,60,24,3,1,4,18,2,1,8,1,2020,내야수,7
2,강민국,KT,0.364,11,4,1,0,0,0,1,0,1,0,2020,내야수,7
3,박경수,KT,0.304,46,14,1,0,2,8,4,0,13,1,2020,내야수,7
