순위,선수명,팀명,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP,Year,Position,Inning
1,윤석민,KT,0.500,4,2,0,0,0,2,1,0,0,0,2019,내야수,1
2,황재균,KT,0.314,35,11,1,1,2,5,11,0,7,1,2019,내야수,1
3,문상철,KT,0.250,8,2,1,0,1,2,0,0,1,0,2019,내야수,1
3,심우준,KT,0.250,8,2,0,0,0,0,0,0,1,0,2019,내야수,1
5,오태곤,KT,0.232,69,16,3,1,0,2,2,0,19,0,2019,내야수,1
6,박승욱,KT,0.188,16,3,1,0,0,0,2,0,1,2,2019,내야수,1
7,박경수,KT,0.094,32,3,2,0,0,4,7,0,8,1,2019,내야수,1
8,강민국,KT,0.000,1,0,0,0,0,0,0,0,0,0,2019,내야수,1
8,김영환,KT,0.000,1,0,0,0,0,0,0,0,1,0,2019,내야수,1
1,심우준,KT,0.357,42,15,0,0,0,5,3,0,4,1,2019,내야수,2
2,박승욱,KT,0.333,27,9,1,0,0,3,0,0,5,1,2019,내야수,2
3,황재균,KT,0.274,73,20,3,0,3,8,4,0,16,1,2019,내야수,2
4,윤석민,KT,0.265,34,9,0,0,1,1,0,0,3,2,2019,내야수,2
5,오태곤,KT,0.240,25,6,1,0,0,5,3,0,5,1,2019,내야수,2
6,박경수,KT,0.191,68,13,2,0,0,3,13,0,22,1,2019,내야수,2
7,강민국,KT,0.077,13,1,0,0,0,0,0,0,3,1,2019,내야수,2
8,고명성,KT,0.000,1,0,0,0,0,0,0,0,0,0,2019,내야수,2
8,김병희,KT,0.000,1,0,0,0,0,0,0,0,0,0,2019,내야수,2
8,김영환,KT,0.000,2,0,0,0,0,0,0,0,0,0,2019,내야수,2
8,문상철,KT,0.000,8,0,0,0,0,0,1,0,3,0,2019,내야수,2
8,안치영,KT,0.000,1,0,0,0,0,0,0,0,0,0,2019,내야수,2
1,심우준,KT,0.319,69,22,3,0,0,0,1,1,14,0,2019,내야수,3
2,황재균,KT,0.316,38,12,1,1,1,9,6,0,4,2,2019,내야수,3
3,박경수,KT,0.308,39,12,4,0,0,3,2,0,13,2,2019,내야수,3
4,오태곤,KT,0.292,48,14,6,0,1,2,3,2,10,2,2019,내야수,3
5,문상철,KT,0.250,4,1,0,0,0,0,1,1,2,1,2019,내야수,3
6,박승욱,KT,0.125,24,3,0,0,0,0,2,0,9,0,2019,내야수,3
7,윤석민,KT,0.100,10,1,0,0,0,1,0,0,2,0,2019,내야수,3
