순위,선수명,팀명,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP,Year,Position,Inning
1,박경수,KT,0.333,3,1,0,0,0,1,0,0,1,1,2022,내야수,1
2,황재균,KT,0.266,64,17,5,0,1,10,12,2,7,4,2022,내야수,1
3,오윤석,KT,0.250,16,4,1,0,0,2,0,0,5,1,2022,내야수,1
4,강백호,KT,0.224,49,11,1,0,1,5,4,0,14,1,2022,내야수,1
5,박병호,KT,0.219,64,14,0,0,2,11,11,1,21,2,2022,내야수,1
6,김병희,KT,0.000,5,0,0,0,0,2,0,1,3,0,2022,내야수,1
6,심우준,KT,0.000,1,0,0,0,0,0,0,0,0,1,2022,내야수,1
6,유준규,KT,0.000,1,0,0,0,0,0,0,0,1,0,2022,내야수,1
1,오윤석,KT,0.378,45,17,2,0,4,10,5,1,11,0,2022,내야수,2
2,박병호,KT,0.357,42,15,6,0,4,6,2,0,14,0,2022,내야수,2
3,황재균,KT,0.283,60,17,4,0,0,3,5,0,15,1,2022,내야수,2
4,김병희,KT,0.273,11,3,0,0,0,2,0,0,3,0,2022,내야수,2
5,심우준,KT,0.167,48,8,2,0,0,9,3,0,12,0,2022,내야수,2
6,신본기,KT,0.150,20,3,0,0,0,1,2,0,7,1,2022,내야수,2
7,강백호,KT,0.143,7,1,0,0,0,1,1,0,1,0,2022,내야수,2
8,박경수,KT,0.034,29,1,0,0,0,1,3,0,20,0,2022,내야수,2
9,권동진,KT,0.000,3,0,0,0,0,0,0,0,3,0,2022,내야수,2
9,양승혁,KT,0.000,2,0,0,0,0,0,0,0,0,0,2022,내야수,2
9,유준규,KT,0.000,3,0,0,0,0,0,0,0,1,0,2022,내야수,2
9,장준원,KT,0.000,8,0,0,0,0,0,1,0,1,2,2022,내야수,2
1,장준원,KT,0.375,8,3,0,0,0,3,0,0,2,0,2022,내야수,3
2,황재균,KT,0.323,62,20,2,0,4,12,3,0,12,3,2022,내야수,3
3,강백호,KT,0.290,31,9,3,0,1,6,3,0,5,2,2022,내야수,3
4,심우준,KT,0.265,68,18,1,2,1,4,8,0,12,2,2022,내야수,3
5,오윤석,KT,0.226,31,7,3,0,0,5,3,0,8,1,2022,내야수,3
6,박병호,KT,0.200,45,9,0,0,5,12,4,1,12,1,2022,내야수,3
7,권동진,KT,0.167,6,1,1,0,0,0,0,0,3,0,2022,내야수,3
7,김병희,KT,0.167,6,1,0,0,0,0,0,0,3,0,2022,내야수,3
9,박경수,KT,0.083,12,1,0,0,0,0,2,0,3,0,2022,내야수,3
10,신본기,KT,0.000,7,0,0,0,0,0,0,0,2,0,2022,내야수,3
10,유준규,KT,0.000,2,0,0,0,0,0,0,0,1,0,2022,내야수,3
1,유준규,KT,1.000,1,1,0,0,0,0,0,0,0,0,2022,내야수,4
1,장준원,KT,1.000,1,1,1,0,0,1,0,0,0,0,2022,내야수,4
3,김병희,KT,0.364,11,4,1,0,0,0,1,0,3,0,2022,내야수,4
4,신본기,KT,0.300,10,3,0,0,0,2,2,1,3,1,2022,내야수,4
5,오윤석,KT,0.278,36,10,4,0,0,4,5,0,8,1,2022,내야수,4
6,황재균,KT,0.266,64,17,3,0,0,3,1,0,12,3,2022,내야수,4
7,박경수,KT,0.263,19,5,1,0,1,3,5,0,5,0,2022,내야수,4
8,박병호,KT,0.217,60,13,3,0,4,8,5,2,19,0,2022,내야수,4
9,강백호,KT,0.207,29,6,2,0,0,1,4,0,8,0,2022,내야수,4
10,심우준,KT,0.115,26,3,0,0,0,5,7,0,4,2,2022,내야수,4
11,권동진,KT,0.000,2,0,0,0,0,0,0,0,1,0,2022,내야수,4
11,양승혁,KT,0.000,1,0,0,0,0,0,0,0,0,0,2022,내야수,4
1,장준원,KT,0.417,12,5,0,0,1,3,0,0,1,1,2022,내야수,5
2,황재균,KT,0.296,54,16,1,1,3,13,5,1,15,2,2022,내야수,5
3,심우준,KT,0.290,69,20,1,0,0,2,4,0,15,4,2022,내야수,5
4,김병희,KT,0.286,7,2,0,0,0,0,0,0,2,0,2022,내야수,5
5,박병호,KT,0.243,37,9,1,0,3,14,3,2,10,0,2022,내야수,5
6,권동진,KT,0.200,5,1,0,0,0,0,0,0,1,0,2022,내야수,5
6,신본기,KT,0.200,15,3,0,0,0,1,0,0,2,0,2022,내야수,5
8,박경수,KT,0.182,22,4,0,0,1,2,3,1,8,0,2022,내야수,5
9,오윤석,KT,0.179,39,7,0,0,0,2,2,2,10,2,2022,내야수,5
10,강백호,KT,0.136,22,3,0,0,0,2,0,0,4,0,2022,내야수,5
11,유준규,KT,-,0,0,0,0,0,0,1,0,0,0,2022,내야수,5
1,장준원,KT,0.333,3,1,0,0,0,0,0,0,1,0,2022,내야수,6
2,강백호,KT,0.310,29,9,3,0,1,1,0,1,2,1,2022,내야수,6
3,박병호,KT,0.308,52,16,3,0,4,13,2,3,17,1,2022,내야수,6
4,김병희,KT,0.222,9,2,1,0,0,0,2,0,4,0,2022,내야수,6
5,황재균,KT,0.173,52,9,2,0,0,3,7,0,7,1,2022,내야수,6
6,심우준,KT,0.162,37,6,1,0,1,2,4,1,6,1,2022,내야수,6
7,신본기,KT,0.150,20,3,1,0,0,1,1,0,7,1,2022,내야수,6
8,박경수,KT,0.143,14,2,1,0,0,0,1,0,2,1,2022,내야수,6
9,오윤석,KT,0.091,33,3,1,0,0,0,1,0,7,2,2022,내야수,6
10,권동진,KT,-,0,0,0,0,0,0,1,0,0,0,2022,내야수,6
10,유준규,KT,0.000,1,0,0,0,0,0,0,0,1,0,2022,내야수,6
1,강백호,KT,0.370,27,10,1,0,1,5,5,0,3,1,2022,내야수,7
2,심우준,KT,0.365,52,19,2,0,2,8,9,0,10,0,2022,내야수,7
3,권동진,KT,0.333,6,2,0,1,0,1,0,0,2,0,2022,내야수,7
4,박병호,KT,0.286,49,14,2,0,3,6,5,0,20,1,2022,내야수,7
5,오윤석,KT,0.258,31,8,1,0,0,5,4,1,7,0,2022,내야수,7
6,김병희,KT,0.250,8,2,0,0,0,1,0,0,3,1,2022,내야수,7
7,황재균,KT,0.246,61,15,1,2,2,11,9,0,14,1,2022,내야수,7
8,장준원,KT,0.222,9,2,1,0,1,2,1,0,5,1,2022,내야수,7
9,신본기,KT,0.200,15,3,0,0,0,0,1,0,4,0,2022,내야수,7
10,박경수,KT,0.095,21,2,0,0,0,0,3,0,9,0,2022,내야수,7
11,문상준,KT,0.000,1,0,0,0,0,0,0,0,1,0,2022,내야수,7
11,유준규,KT,0.000,2,0,0,0,0,0,0,0,1,0,2022,내야수,7
