순위,선수명,팀명,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP,Year,Position,Inning
1,김병희,KT,1.000,1,1,0,0,0,1,0,1,0,0,2021,내야수,1
2,강백호,KT,0.343,108,37,9,0,5,18,30,0,20,2,2021,내야수,1
3,황재균,KT,0.319,94,30,3,0,3,4,10,1,17,3,2021,내야수,1
4,박경수,KT,0.250,4,1,0,0,0,3,4,0,2,0,2021,내야수,1
5,심우준,KT,0.125,8,1,1,0,0,1,0,0,2,0,2021,내야수,1
6,강민국,KT,0.000,2,0,0,0,0,0,0,0,0,0,2021,내야수,1
6,권동진,KT,0.000,1,0,0,0,0,0,0,0,0,0,2021,내야수,1
6,박승욱,KT,0.000,1,0,0,0,0,0,0,0,1,0,2021,내야수,1
6,신본기,KT,0.000,6,0,0,0,0,1,0,0,1,0,2021,내야수,1
6,오윤석,KT,0.000,9,0,0,0,0,0,0,0,3,0,2021,내야수,1
6,천성호,KT,0.000,2,0,0,0,0,0,0,0,1,0,2021,내야수,1
1,권동진,KT,0.500,6,3,0,0,0,2,1,0,1,0,2021,내야수,2
2,심우준,KT,0.320,50,16,4,1,2,12,4,0,7,0,2021,내야수,2
3,황재균,KT,0.231,26,6,0,0,0,3,2,0,9,0,2021,내야수,2
4,박경수,KT,0.205,44,9,2,0,1,2,6,0,16,1,2021,내야수,2
5,천성호,KT,0.200,5,1,0,0,0,0,0,0,0,0,2021,내야수,2
6,강백호,KT,0.167,18,3,2,0,0,5,3,0,6,0,2021,내야수,2
6,김병희,KT,0.167,12,2,0,0,1,2,1,0,7,0,2021,내야수,2
8,오윤석,KT,0.160,25,4,3,0,0,2,5,1,8,1,2021,내야수,2
9,신본기,KT,0.118,34,4,0,0,0,0,5,1,7,2,2021,내야수,2
10,강민국,KT,0.100,10,1,0,0,0,1,0,0,3,0,2021,내야수,2
11,박승욱,KT,0.000,1,0,0,0,0,0,0,0,0,0,2021,내야수,2
1,천성호,KT,1.000,2,2,1,0,0,1,0,0,0,0,2021,내야수,3
2,김병희,KT,0.667,3,2,0,0,1,1,0,0,0,0,2021,내야수,3
3,황재균,KT,0.406,64,26,5,1,3,13,5,0,9,0,2021,내야수,3
4,강백호,KT,0.371,70,26,5,0,2,11,8,0,12,1,2021,내야수,3
5,강민국,KT,0.333,3,1,1,0,0,1,1,0,1,0,2021,내야수,3
5,권동진,KT,0.333,6,2,1,0,1,1,0,0,3,0,2021,내야수,3
7,박경수,KT,0.294,17,5,2,0,1,4,0,0,5,1,2021,내야수,3
8,심우준,KT,0.284,74,21,5,0,1,5,3,1,20,1,2021,내야수,3
9,신본기,KT,0.235,17,4,0,0,0,1,4,0,5,1,2021,내야수,3
10,오윤석,KT,0.200,10,2,1,0,0,0,3,0,1,0,2021,내야수,3
1,박승욱,KT,1.000,1,1,1,0,0,0,0,0,0,0,2021,내야수,4
2,강백호,KT,0.390,59,23,7,0,0,5,5,0,10,0,2021,내야수,4
3,신본기,KT,0.385,26,10,3,0,1,2,2,0,5,2,2021,내야수,4
4,강민국,KT,0.333,9,3,0,0,0,0,0,0,1,1,2021,내야수,4
4,천성호,KT,0.333,3,1,0,0,0,0,0,0,1,0,2021,내야수,4
6,김병희,KT,0.250,8,2,0,0,0,0,3,0,1,0,2021,내야수,4
