선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
임병욱,키움,0.243,22,104,73,1.42,5,0.21,3.75,0.071,36.5,0.216
허정협,키움,0.235,1,14,20,0.70,2,0.37,3.77,0.015,6.1,0.203
송성문,키움,0.227,20,81,108,0.75,4,0.36,3.72,0.101,26.9,0.203
주효상,키움,0.207,3,4,12,0.33,1,0.14,4.13,0.138,2.2,0.191
박정음,키움,0.197,3,15,11,1.36,0,0.35,4.09,0.056,7.2,0.219
예진원,키움,0.167,1,1,1,1.00,0,0.67,4.13,0.167,0.9,0.252
임지열,키움,0.133,1,5,1,5.00,0,0.14,4.28,0.067,0.3,0.156
김은성,키움,0.125,0,2,3,0.67,0,1.00,4.70,0.000,0.2,0.166
김주형,키움,0.000,0,0,1,0.00,0,-,2.00,0.000,-0.1,0.0
윤영삼,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
추재현,키움,0.000,0,0,1,0.00,0,-,4.00,0.000,-0.1,0.0
