선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사,년도
박찬호,KIA,130,50,42,8,84.0,7,0,2022
김도영,KIA,103,16,13,3,81.3,7,0,2022
김선빈,KIA,140,15,13,2,86.7,10,0,2022
소크라테스,KIA,127,19,12,7,63.2,5,1,2022
류지혁,KIA,127,12,8,4,66.7,4,0,2022
나성범,KIA,144,7,6,1,85.7,5,0,2022
이창진,KIA,111,8,3,5,37.5,4,0,2022
김호령,KIA,54,3,2,1,66.7,1,0,2022
고종욱,KIA,62,1,1,0,100,1,0,2022
박동원,KIA,123,1,1,0,100,5,1,2022
이우성,KIA,80,4,1,3,25.0,1,1,2022
최형우,KIA,132,1,1,0,100,3,1,2022
권혁경,KIA,2,0,0,0,-,0,0,2022
김규성,KIA,70,0,0,0,-,1,0,2022
김석환,KIA,51,0,0,0,-,0,0,2022
김선우,KIA,3,0,0,0,-,0,0,2022
김재열,KIA,1,0,0,0,-,0,0,2022
나지완,KIA,2,0,0,0,-,0,0,2022
류승현,KIA,3,0,0,0,-,0,0,2022
박민,KIA,6,0,0,0,-,0,0,2022
박정우,KIA,16,0,0,0,-,1,1,2022
신범수,KIA,2,0,0,0,-,0,0,2022
이정훈,KIA,6,0,0,0,-,0,0,2022
임석진,KIA,10,0,0,0,-,0,0,2022
최정용,KIA,30,0,0,0,-,0,0,2022
한승택,KIA,66,0,0,0,-,0,0,2022
황대인,KIA,129,0,0,0,-,3,0,2022
심우준,KT,132,25,23,2,92.0,3,0,2022
배정대,KT,144,23,19,4,82.6,9,2,2022
김민혁,KT,132,15,6,9,40.0,3,1,2022
황재균,KT,141,9,6,3,66.7,3,1,2022
박병호,KT,124,8,5,3,62.5,3,0,2022
알포드,KT,80,6,5,1,83.3,6,1,2022
조용호,KT,131,9,5,4,55.6,4,0,2022
권동진,KT,48,4,4,0,100,1,0,2022
홍현빈,KT,61,4,4,0,100,0,0,2022
김준태,KT,98,2,2,0,100,2,0,2022
라모스,KT,18,2,2,0,100,1,0,2022
오윤석,KT,112,3,2,1,66.7,1,0,2022
이시원,KT,31,2,2,0,100,0,0,2022
문상철,KT,28,1,1,0,100,0,0,2022
양승혁,KT,11,2,1,1,50.0,0,1,2022
장성우,KT,117,1,1,0,100,0,0,2022
장준원,KT,35,1,1,0,100,0,0,2022
강백호,KT,62,0,0,0,-,1,0,2022
고명성,KT,1,0,0,0,-,0,0,2022
김병희,KT,41,3,0,3,0.0,1,0,2022
김재윤,KT,1,0,0,0,-,0,0,2022
김태훈,KT,7,0,0,0,-,0,0,2022
문상인,KT,12,0,0,0,-,0,0,2022
문상준,KT,2,0,0,0,-,0,0,2022
