선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사,년도
김상수,삼성,132,6,4,2,66.7,5,1,2021
강한울,삼성,124,4,2,2,50.0,4,0,2021
김동엽,삼성,69,3,2,1,66.7,2,0,2021
김성표,삼성,39,3,2,1,66.7,0,1,2021
이학주,삼성,66,4,2,2,50.0,2,0,2021
박승규,삼성,59,2,1,1,50.0,1,0,2021
오재일,삼성,120,1,1,0,100,3,1,2021
이원석,삼성,131,1,1,0,100,2,0,2021
최영진,삼성,44,1,1,0,100,1,0,2021
강민호,삼성,123,0,0,0,-,5,0,2021
권정웅,삼성,2,0,0,0,-,0,0,2021
김도환,삼성,25,1,0,1,0.0,0,0,2021
김민수,삼성,47,0,0,0,-,2,0,2021
김성윤,삼성,30,1,0,1,0.0,0,0,2021
김윤수,삼성,2,0,0,0,-,0,0,2021
김응민,삼성,1,0,0,0,-,0,0,2021
김현준,삼성,13,0,0,0,-,0,0,2021
김호재,삼성,87,0,0,0,-,0,0,2021
노건우,삼성,2,0,0,0,-,0,0,2021
문용익,삼성,1,0,0,0,-,0,0,2021
백승민,삼성,4,0,0,0,-,0,0,2021
송준석,삼성,19,0,0,0,-,0,0,2021
안주형,삼성,1,0,0,0,-,0,0,2021
오선진,삼성,23,0,0,0,-,0,0,2021
오승환,삼성,2,0,0,0,-,0,0,2021
이재익,삼성,1,0,0,0,-,0,0,2021
이태훈,삼성,3,0,0,0,-,0,0,2021
김혜성,키움,144,50,46,4,92.0,4,1,2021
이용규,키움,133,19,17,2,89.5,3,0,2021
이정후,키움,123,13,10,3,76.9,2,1,2021
박정음,키움,70,6,4,2,66.7,0,0,2021
이지영,키움,108,4,3,1,75.0,3,1,2021
전병우,키움,115,4,3,1,75.0,0,0,2021
박동원,키움,131,2,2,0,100,4,0,2021
김웅빈,키움,97,2,1,1,50.0,6,0,2021
김주형,키움,36,1,1,0,100,0,0,2021
김휘집,키움,34,1,1,0,100,1,0,2021
박주홍,키움,23,2,1,1,50.0,0,0,2021
박준태,키움,27,1,1,0,100,2,0,2021
송우현,키움,69,2,1,1,50.0,2,0,2021
김동욱,키움,1,0,0,0,-,0,0,2021
김병휘,키움,13,0,0,0,-,0,0,2021
김성민,키움,5,0,0,0,-,0,0,2021
김성진,키움,3,0,0,0,-,0,0,2021
김수환,키움,13,0,0,0,-,0,0,2021
김은성,키움,6,0,0,0,-,0,0,2021
김재웅,키움,3,0,0,0,-,0,0,2021
김재현,키움,39,1,0,1,0.0,0,0,2021
김정인,키움,3,0,0,0,-,0,0,2021
김태훈,키움,5,0,0,0,-,0,0,2021
문성현,키움,1,0,0,0,-,0,0,2021
문찬종,키움,13,0,0,0,-,0,0,2021
박관진,키움,1,0,0,0,-,0,0,2021
박병호,키움,118,1,0,1,0.0,0,0,2021
박승주,키움,1,0,0,0,-,0,0,2021
변상권,키움,72,0,0,0,-,1,0,2021
송성문,키움,66,0,0,0,-,2,0,2021
신준우,키움,56,1,0,1,0.0,3,0,2021
양현,키움,4,0,0,0,-,0,0,2021
예진원,키움,52,1,0,1,0.0,2,0,2021
오주원,키움,2,0,0,0,-,0,0,2021
윤정현,키움,1,0,0,0,-,0,0,2021
이명기,키움,3,0,0,0,-,0,0,2021
이승호,키움,3,0,0,0,-,0,0,2021
이주형,키움,5,0,0,0,-,0,0,2021
임지열,키움,19,1,0,1,0.0,0,0,2021
장재영,키움,1,0,0,0,-,0,0,2021
조상우,키움,4,0,0,0,-,0,0,2021
조영건,키움,1,0,0,0,-,0,0,2021
크레익,키움,61,1,0,1,0.0,1,0,2021
프레이타스,키움,43,0,0,0,-,1,0,2021
허정협,키움,29,0,0,0,-,0,0,2021
