선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4,년도
권혁경,KIA,0.500,0,0,1,0.00,0,-,5.50,0.000,0.4,0.35,2022
김선우,KIA,0.333,0,1,1,1.00,0,-,2.75,0.000,0.7,0.308,2022
박정우,KIA,0.333,0,0,1,0.00,0,0.00,3.33,0.000,0.3,0.233,2022
나성범,KIA,0.320,62,117,134,0.87,9,0.47,3.75,0.188,110.9,0.308,2022
소크라테스,KIA,0.311,53,125,152,0.82,8,0.42,3.65,0.183,82.8,0.283,2022
이창진,KIA,0.301,21,102,81,1.26,2,0.65,4.03,0.101,52.3,0.269,2022
이우성,KIA,0.292,8,42,23,1.83,1,0.60,3.93,0.083,14.1,0.256,2022
김선빈,KIA,0.287,26,182,134,1.36,6,1.38,3.96,0.063,69.7,0.255,2022
고종욱,KIA,0.283,10,32,23,1.39,2,0.33,3.91,0.142,13.8,0.253,2022
류지혁,KIA,0.274,23,130,83,1.57,8,0.67,3.93,0.072,55.6,0.253,2022
김호령,KIA,0.273,3,15,19,0.79,0,0.32,3.82,0.078,8.1,0.238,2022
박찬호,KIA,0.272,26,160,139,1.15,8,0.85,4.00,0.069,67.1,0.24,2022
최형우,KIA,0.264,42,114,130,0.88,6,0.79,4.22,0.156,71.1,0.27,2022
황대인,KIA,0.256,41,121,146,0.83,8,0.39,3.53,0.145,56.4,0.242,2022
박동원,KIA,0.242,39,104,94,1.11,6,0.47,4.10,0.195,56.5,0.259,2022
김도영,KIA,0.237,18,48,62,0.77,0,0.35,4.00,0.125,27.3,0.231,2022
김규성,KIA,0.180,2,15,14,1.07,0,0.08,3.31,0.100,2.6,0.158,2022
한승택,KIA,0.176,3,26,29,0.90,0,0.30,3.76,0.049,6.5,0.174,2022
김석환,KIA,0.149,5,27,21,1.29,1,0.31,4.23,0.117,6.9,0.18,2022
최정용,KIA,0.091,0,7,7,1.00,0,0.00,3.43,0.000,-0.8,0.064,2022
임석진,KIA,0.071,1,3,1,3.00,0,0.22,4.94,0.214,0.8,0.177,2022
김재열,KIA,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
나지완,KIA,0.000,0,0,1,0.00,0,-,5.00,0.000,-0.1,0.0,2022
류승현,KIA,0.000,0,1,1,1.00,0,0.00,3.67,0.000,-0.3,0.0,2022
박민,KIA,0.000,0,1,1,1.00,0,-,2.50,0.000,-0.2,0.0,2022
신범수,KIA,0.000,0,1,1,1.00,0,0.00,5.67,0.000,-0.3,0.0,2022
이정훈,KIA,0.000,0,3,2,1.50,0,0.67,5.30,0.000,-0.1,0.09,2022
문상준,KT,0.333,1,0,0,-,0,0.00,3.67,0.333,0.5,0.317,2022
전진영,KT,0.333,0,0,2,0.00,0,-,3.67,0.000,0.3,0.233,2022
조용호,KT,0.308,25,134,123,1.09,9,0.66,3.97,0.074,68.9,0.264,2022
알포드,KT,0.286,34,45,71,0.63,9,0.37,4.06,0.223,52.4,0.29,2022
김민혁,KT,0.284,12,121,87,1.39,5,0.60,3.68,0.038,41.2,0.238,2022
박병호,KT,0.275,52,75,111,0.68,11,0.31,3.93,0.284,83.6,0.297,2022
김준태,KT,0.273,21,46,48,0.96,0,0.43,4.21,0.130,34.8,0.263,2022
배정대,KT,0.266,32,117,134,0.87,9,0.43,4.12,0.091,67.7,0.242,2022
황재균,KT,0.262,38,132,154,0.86,4,0.54,3.82,0.118,63.2,0.246,2022
장성우,KT,0.260,29,83,109,0.76,10,0.66,4.05,0.180,56.7,0.269,2022
라모스,KT,0.250,5,17,20,0.85,1,0.22,3.74,0.167,9.6,0.241,2022
장준원,KT,0.246,5,15,11,1.36,0,0.18,3.48,0.193,5.7,0.237,2022
강백호,KT,0.245,18,66,71,0.93,4,0.52,4.11,0.127,27.4,0.233,2022
심우준,KT,0.240,14,104,120,0.87,4,0.57,4.31,0.062,42.6,0.218,2022
홍현빈,KT,0.237,2,24,8,3.00,1,0.38,4.22,0.026,8.0,0.212,2022
오윤석,KT,0.234,19,73,83,0.88,7,0.49,3.84,0.108,34.5,0.231,2022
문상철,KT,0.224,5,10,11,0.91,0,0.18,4.00,0.184,4.9,0.223,2022
유준규,KT,0.214,0,2,3,0.67,0,0.17,3.63,0.000,0.8,0.174,2022
김병희,KT,0.203,3,14,20,0.70,0,0.27,3.76,0.068,5.4,0.2,2022
신본기,KT,0.182,4,40,32,1.25,1,0.36,3.80,0.050,5.9,0.172,2022
송민섭,KT,0.156,3,20,15,1.33,0,0.26,3.75,0.078,2.5,0.156,2022
이시원,KT,0.133,0,6,3,2.00,0,0.00,3.81,0.000,0.5,0.118,2022
권동진,KT,0.132,2,13,4,3.25,0,0.06,3.83,0.079,1.3,0.122,2022
박경수,KT,0.120,6,26,51,0.51,0,0.34,4.63,0.072,7.6,0.154,2022
고명성,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
김재윤,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
김태훈,KT,0.000,0,3,5,0.60,0,0.00,3.90,0.000,-0.9,0.0,2022
문상인,KT,0.000,0,1,0,-,0,0.00,3.67,0.000,-0.7,0.0,2022
박영현,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
배제성,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
심재민,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
양승혁,KT,0.000,0,3,1,3.00,0,0.00,3.20,0.000,-0.6,0.0,2022
이상우,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
이정현,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
조대현,KT,0.000,0,1,0,-,0,0.00,4.00,0.000,-0.4,0.0,2022
주권,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
지명성,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
문보경,LG,0.315,34,124,105,1.18,7,0.84,3.73,0.135,69.7,0.285,2022
문성주,LG,0.303,24,116,77,1.51,3,1.42,3.81,0.119,53.0,0.286,2022
채은성,LG,0.296,40,115,137,0.84,11,0.31,3.71,0.141,69.8,0.269,2022
박해민,LG,0.289,31,158,168,0.94,9,0.52,4.01,0.079,78.4,0.248,2022
김현수,LG,0.286,50,145,170,0.85,17,1.15,3.76,0.187,93.6,0.287,2022
홍창기,LG,0.286,24,154,88,1.75,8,0.79,4.10,0.069,66.7,0.264,2022
오지환,LG,0.269,45,135,122,1.11,11,0.58,4.07,0.200,84.1,0.278,2022
이형종,LG,0.264,3,13,19,0.68,1,0.50,3.81,0.057,7.3,0.226,2022
손호영,LG,0.257,5,22,20,1.10,1,0.43,3.73,0.176,9.1,0.247,2022
유강남,LG,0.255,24,102,112,0.91,4,0.35,3.93,0.096,48.2,0.234,2022
이상호,LG,0.250,2,31,17,1.82,1,0.67,3.51,0.028,5.5,0.204,2022
허도환,LG,0.247,6,24,14,1.71,0,0.08,3.97,0.094,7.3,0.212,2022
송찬의,LG,0.236,7,11,21,0.52,0,0.08,3.82,0.181,9.2,0.231,2022
이재원,LG,0.224,23,44,52,0.85,2,0.23,3.72,0.229,33.0,0.255,2022
서건창,LG,0.224,13,58,69,0.84,1,0.45,3.99,0.082,20.7,0.211,2022
김기연,LG,0.222,0,2,2,1.00,0,0.00,3.89,0.000,0.3,0.155,2022
한석현,LG,0.222,0,2,2,1.00,0,0.00,3.40,0.000,0.1,0.155,2022
김민성,LG,0.207,7,40,45,0.89,1,0.37,3.76,0.093,11.1,0.198,2022
가르시아,LG,0.206,11,24,44,0.55,3,0.48,4.34,0.147,15.3,0.227,2022
이천웅,LG,0.200,0,7,6,1.17,0,1.00,3.52,0.000,1.6,0.187,2022
최민창,LG,0.200,0,3,0,-,0,0.00,3.20,0.000,0.1,0.14,2022
이영빈,LG,0.184,4,18,19,0.95,0,0.28,3.46,0.079,4.1,0.18,2022
루이즈,LG,0.155,6,36,23,1.57,1,0.69,3.69,0.107,4.1,0.171,2022
고우석,LG,0.000,0,1,0,-,0,-,4.00,0.000,-0.1,0.0,2022
김진성,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
김호은,LG,0.000,0,1,0,-,0,0.00,4.00,0.000,-0.2,0.0,2022
박용택,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
박재욱,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
배재준,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
백승현,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
송승기,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
송은범,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
신민재,LG,0.000,0,2,1,2.00,0,-,4.33,0.000,-0.6,0.0,2022
안익훈,LG,0.000,0,1,2,0.50,0,-,5.25,0.000,0.1,0.113,2022
정우영,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
진해수,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
채원후,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
최동환,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
최성훈,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
함덕주,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
허준혁,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
라가레스,SSG,0.315,15,50,59,0.85,1,0.78,3.82,0.149,29.8,0.279,2022
최지훈,SSG,0.304,46,151,172,0.88,9,0.61,3.63,0.123,90.0,0.27,2022
김강민,SSG,0.303,16,47,39,1.21,1,0.46,3.70,0.146,28.9,0.281,2022
최경모,SSG,0.301,2,17,16,1.06,0,0.06,3.51,0.027,7.1,0.222,2022
박성한,SSG,0.298,30,156,112,1.39,7,0.74,3.99,0.077,70.7,0.262,2022
이정범,SSG,0.273,0,5,1,5.00,0,0.00,3.45,0.000,0.8,0.191,2022
최정,SSG,0.266,47,72,142,0.51,9,0.69,3.92,0.239,85.1,0.3,2022
한유섬,SSG,0.264,55,114,91,1.25,15,0.48,4.02,0.214,82.7,0.287,2022
추신수,SSG,0.259,37,101,106,0.95,5,0.71,4.09,0.171,73.8,0.279,2022
최준우,SSG,0.250,0,4,3,1.33,0,1.00,3.63,0.000,2.1,0.231,2022
전의산,SSG,0.249,29,47,51,0.92,3,0.29,3.73,0.232,35.1,0.262,2022
오태곤,SSG,0.232,19,56,81,0.69,5,0.22,3.55,0.106,28.1,0.216,2022
오준혁,SSG,0.230,2,15,17,0.88,0,0.33,3.43,0.033,3.4,0.195,2022
김재현,SSG,0.222,1,6,5,1.20,0,0.00,3.50,0.056,0.3,0.169,2022
석정우,SSG,0.222,0,3,1,3.00,0,0.00,2.89,0.000,0.0,0.155,2022
크론,SSG,0.222,25,49,76,0.64,7,0.13,3.88,0.198,27.6,0.22,2022
김민식,SSG,0.221,12,46,85,0.54,4,0.71,3.90,0.077,24.4,0.218,2022
김성현,SSG,0.219,12,114,89,1.28,7,0.86,3.46,0.056,24.1,0.202,2022
하재훈,SSG,0.215,13,20,26,0.77,2,0.10,3.65,0.243,13.7,0.225,2022
최주환,SSG,0.211,25,65,117,0.56,4,0.53,4.06,0.151,32.5,0.22,2022
이재원,SSG,0.201,10,72,74,0.97,0,0.57,3.43,0.077,19.4,0.203,2022
조형우,SSG,0.167,1,4,3,1.33,0,0.33,3.31,0.083,0.6,0.166,2022
안상현,SSG,0.158,2,14,6,2.33,1,0.42,3.36,0.158,3.7,0.202,2022
이현석,SSG,0.133,0,3,5,0.60,0,0.00,3.60,0.000,-0.6,0.093,2022
이흥련,SSG,0.133,2,9,8,1.13,0,0.23,3.96,0.044,1.5,0.157,2022
최항,SSG,0.100,0,4,8,0.50,0,0.29,3.83,0.000,0.7,0.119,2022
최상민,SSG,0.071,0,7,2,3.50,1,0.75,4.06,0.000,0.6,0.124,2022
고효준,SSG,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
김규남,SSG,0.000,0,1,2,0.50,0,0.00,3.80,0.000,-0.8,0.0,2022
김택형,SSG,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
박민호,SSG,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
서동민,SSG,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
전경원,SSG,0.000,0,1,0,-,0,-,2.00,0.000,-0.1,0.0,2022
조요한,SSG,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
최민준,SSG,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
이정후,키움,0.349,69,154,177,0.87,15,2.06,3.69,0.226,120.2,0.333,2022
김혜성,키움,0.318,29,165,107,1.54,5,0.57,3.87,0.085,78.5,0.269,2022
푸이그,키움,0.277,51,88,158,0.56,8,0.58,3.83,0.197,83.4,0.284,2022
임지열,키움,0.275,7,23,31,0.74,0,0.23,4.11,0.069,15.7,0.235,2022
김태진,키움,0.268,6,94,63,1.49,2,0.57,3.80,0.028,23.3,0.216,2022
이지영,키움,0.267,19,158,106,1.49,6,0.45,3.37,0.064,36.4,0.219,2022
이명기,키움,0.250,0,1,0,-,0,0.00,3.25,0.000,0.2,0.175,2022
이재홍,키움,0.250,0,0,1,0.00,0,0.00,3.00,0.000,0.2,0.175,2022
송성문,키움,0.247,38,156,198,0.79,11,0.69,3.57,0.124,63.4,0.229,2022
김웅빈,키움,0.226,7,32,19,1.68,2,0.34,3.81,0.087,11.7,0.225,2022
박주홍,키움,0.224,2,15,5,3.00,0,0.44,4.09,0.061,5.0,0.221,2022
김휘집,키움,0.222,21,57,91,0.63,6,0.34,4.26,0.114,40.9,0.231,2022
박찬혁,키움,0.211,11,24,36,0.67,0,0.13,3.92,0.143,15.8,0.212,2022
김재현,키움,0.207,5,26,21,1.24,1,0.11,3.53,0.085,4.7,0.178,2022
전병우,키움,0.203,12,39,51,0.76,5,0.25,3.90,0.112,18.6,0.208,2022
김주형,키움,0.200,9,34,26,1.31,0,0.14,3.70,0.109,10.8,0.215,2022
이용규,키움,0.199,6,113,64,1.77,3,1.07,4.42,0.022,25.8,0.202,2022
김준완,키움,0.192,13,108,80,1.35,3,0.90,4.59,0.054,35.3,0.214,2022
이병규,키움,0.184,2,15,5,3.00,0,0.18,4.20,0.079,2.2,0.167,2022
김수환,키움,0.179,10,24,36,0.67,2,0.38,4.08,0.129,15.4,0.21,2022
이주형,키움,0.169,1,20,13,1.54,2,0.37,3.98,0.042,6.2,0.185,2022
박준태,키움,0.157,5,11,15,0.73,1,0.33,4.43,0.100,6.2,0.194,2022
신준우,키움,0.140,3,9,9,1.00,0,0.37,3.65,0.070,3.3,0.182,2022
예진원,키움,0.100,0,4,2,2.00,0,1.00,3.93,0.000,0.7,0.164,2022
김시앙,키움,0.083,0,2,1,2.00,0,0.13,4.00,0.000,-0.5,0.09,2022
강민국,키움,0.000,0,1,1,1.00,1,1.00,3.75,0.000,0.1,0.113,2022
김성진,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
김태훈,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
노운현,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
박승주,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
박주성,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
애플러,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
하영민,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
