선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4,연도
김대한,두산,0.198,5,13,31,0.42,0,0.33,3.90,0.099,6.1,0.196,2023
안재석,두산,0.188,4,16,25,0.64,1,0.25,3.53,0.109,4.9,0.174,2023
장승현,두산,0.158,4,50,31,1.61,0,0.17,3.80,0.072,7.6,0.163,2023
김민혁,두산,0.138,1,8,10,0.80,0,0.44,3.69,0.034,1.2,0.156,2023
신성현,두산,0.083,0,3,4,0.75,0,0.75,5.07,0.000,0.2,0.141,2023
권민석,두산,0.000,0,1,0,-,0,0.00,2.00,0.000,-0.2,0.0,2023
김민규,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
김정우,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
박신지,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
박정수,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
박치국,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
이형범,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
정철원,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
최승용,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
홍건희,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
