,선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사,년도
151,이재익,삼성,1,0,0,0,-,0,0,2021
152,이태훈,삼성,3,0,0,0,-,0,0,2021
153,김혜성,키움,144,50,46,4,92.0,4,1,2021
154,이용규,키움,133,19,17,2,89.5,3,0,2021
155,이정후,키움,123,13,10,3,76.9,2,1,2021
156,박정음,키움,70,6,4,2,66.7,0,0,2021
157,이지영,키움,108,4,3,1,75.0,3,1,2021
158,전병우,키움,115,4,3,1,75.0,0,0,2021
159,박동원,키움,131,2,2,0,100,4,0,2021
160,김웅빈,키움,97,2,1,1,50.0,6,0,2021
161,김주형,키움,36,1,1,0,100,0,0,2021
162,김휘집,키움,34,1,1,0,100,1,0,2021
163,박주홍,키움,23,2,1,1,50.0,0,0,2021
164,박준태,키움,27,1,1,0,100,2,0,2021
165,송우현,키움,69,2,1,1,50.0,2,0,2021
166,김동욱,키움,1,0,0,0,-,0,0,2021
167,김병휘,키움,13,0,0,0,-,0,0,2021
168,김성민,키움,5,0,0,0,-,0,0,2021
169,김성진,키움,3,0,0,0,-,0,0,2021
170,김수환,키움,13,0,0,0,-,0,0,2021
171,김은성,키움,6,0,0,0,-,0,0,2021
172,김재웅,키움,3,0,0,0,-,0,0,2021
173,김재현,키움,39,1,0,1,0.0,0,0,2021
174,김정인,키움,3,0,0,0,-,0,0,2021
175,김태훈,키움,5,0,0,0,-,0,0,2021
176,문성현,키움,1,0,0,0,-,0,0,2021
177,문찬종,키움,13,0,0,0,-,0,0,2021
178,박관진,키움,1,0,0,0,-,0,0,2021
179,박병호,키움,118,1,0,1,0.0,0,0,2021
180,박승주,키움,1,0,0,0,-,0,0,2021
181,변상권,키움,72,0,0,0,-,1,0,2021
182,송성문,키움,66,0,0,0,-,2,0,2021
183,신준우,키움,56,1,0,1,0.0,3,0,2021
184,양현,키움,4,0,0,0,-,0,0,2021
185,예진원,키움,52,1,0,1,0.0,2,0,2021
186,오주원,키움,2,0,0,0,-,0,0,2021
187,윤정현,키움,1,0,0,0,-,0,0,2021
188,이명기,키움,3,0,0,0,-,0,0,2021
189,이승호,키움,3,0,0,0,-,0,0,2021
190,이주형,키움,5,0,0,0,-,0,0,2021
191,임지열,키움,19,1,0,1,0.0,0,0,2021
192,장재영,키움,1,0,0,0,-,0,0,2021
193,조상우,키움,4,0,0,0,-,0,0,2021
194,조영건,키움,1,0,0,0,-,0,0,2021
195,크레익,키움,61,1,0,1,0.0,1,0,2021
196,프레이타스,키움,43,0,0,0,-,1,0,2021
197,허정협,키움,29,0,0,0,-,0,0,2021
0,박찬호,KIA,130,50,42,8,84.0,7,0,2022
1,김도영,KIA,103,16,13,3,81.3,7,0,2022
2,김선빈,KIA,140,15,13,2,86.7,10,0,2022
3,소크라테스,KIA,127,19,12,7,63.2,5,1,2022
4,류지혁,KIA,127,12,8,4,66.7,4,0,2022
5,나성범,KIA,144,7,6,1,85.7,5,0,2022
6,이창진,KIA,111,8,3,5,37.5,4,0,2022
7,김호령,KIA,54,3,2,1,66.7,1,0,2022
8,고종욱,KIA,62,1,1,0,100,1,0,2022
9,박동원,KIA,123,1,1,0,100,5,1,2022
10,이우성,KIA,80,4,1,3,25.0,1,1,2022
11,최형우,KIA,132,1,1,0,100,3,1,2022
12,권혁경,KIA,2,0,0,0,-,0,0,2022
13,김규성,KIA,70,0,0,0,-,1,0,2022
14,김석환,KIA,51,0,0,0,-,0,0,2022
15,김선우,KIA,3,0,0,0,-,0,0,2022
16,김재열,KIA,1,0,0,0,-,0,0,2022
17,나지완,KIA,2,0,0,0,-,0,0,2022
18,류승현,KIA,3,0,0,0,-,0,0,2022
19,박민,KIA,6,0,0,0,-,0,0,2022
20,박정우,KIA,16,0,0,0,-,1,1,2022
21,신범수,KIA,2,0,0,0,-,0,0,2022
22,이정훈,KIA,6,0,0,0,-,0,0,2022
23,임석진,KIA,10,0,0,0,-,0,0,2022
24,최정용,KIA,30,0,0,0,-,0,0,2022
25,한승택,KIA,66,0,0,0,-,0,0,2022
26,황대인,KIA,129,0,0,0,-,3,0,2022
27,심우준,KT,132,25,23,2,92.0,3,0,2022
28,배정대,KT,144,23,19,4,82.6,9,2,2022
29,김민혁,KT,132,15,6,9,40.0,3,1,2022
30,황재균,KT,141,9,6,3,66.7,3,1,2022
31,박병호,KT,124,8,5,3,62.5,3,0,2022
32,알포드,KT,80,6,5,1,83.3,6,1,2022
33,조용호,KT,131,9,5,4,55.6,4,0,2022
34,권동진,KT,48,4,4,0,100,1,0,2022
35,홍현빈,KT,61,4,4,0,100,0,0,2022
36,김준태,KT,98,2,2,0,100,2,0,2022
37,라모스,KT,18,2,2,0,100,1,0,2022
38,오윤석,KT,112,3,2,1,66.7,1,0,2022
39,이시원,KT,31,2,2,0,100,0,0,2022
40,문상철,KT,28,1,1,0,100,0,0,2022
41,양승혁,KT,11,2,1,1,50.0,0,1,2022
42,장성우,KT,117,1,1,0,100,0,0,2022
43,장준원,KT,35,1,1,0,100,0,0,2022
44,강백호,KT,62,0,0,0,-,1,0,2022
45,고명성,KT,1,0,0,0,-,0,0,2022
46,김병희,KT,41,3,0,3,0.0,1,0,2022
47,김재윤,KT,1,0,0,0,-,0,0,2022
48,김태훈,KT,7,0,0,0,-,0,0,2022
49,문상인,KT,12,0,0,0,-,0,0,2022
50,문상준,KT,2,0,0,0,-,0,0,2022
51,박경수,KT,100,0,0,0,-,0,0,2022
52,박영현,KT,4,0,0,0,-,0,0,2022
53,배제성,KT,1,0,0,0,-,0,0,2022
54,송민섭,KT,119,2,0,2,0.0,0,0,2022
55,신본기,KT,74,1,0,1,0.0,0,0,2022
56,심재민,KT,2,0,0,0,-,0,0,2022
57,유준규,KT,7,0,0,0,-,0,0,2022
58,이상우,KT,1,0,0,0,-,0,0,2022
59,이정현,KT,1,0,0,0,-,0,0,2022
60,전진영,KT,4,0,0,0,-,0,0,2022
61,조대현,KT,6,0,0,0,-,0,0,2022
62,주권,KT,1,0,0,0,-,0,0,2022
63,지명성,KT,1,0,0,0,-,0,0,2022
64,박해민,LG,144,30,24,6,80.0,8,1,2022
65,오지환,LG,142,27,20,7,74.1,5,2,2022
66,홍창기,LG,118,17,13,4,76.5,1,0,2022
67,문성주,LG,106,15,9,6,60.0,6,1,2022
68,서건창,LG,77,11,8,3,72.7,2,0,2022
69,문보경,LG,126,7,7,0,100,5,2,2022
70,채은성,LG,126,13,6,7,46.2,3,0,2022
71,가르시아,LG,39,5,4,1,80.0,2,2,2022
72,이재원,LG,85,4,3,1,75.0,4,1,2022
73,김현수,LG,141,3,2,1,66.7,2,0,2022
74,송찬의,LG,33,3,2,1,66.7,2,0,2022
75,신민재,LG,14,4,2,2,50.0,0,0,2022
76,루이즈,LG,27,1,1,0,100,0,0,2022
77,이상호,LG,60,3,1,2,33.3,0,0,2022
78,고우석,LG,4,0,0,0,-,0,0,2022
79,김기연,LG,12,0,0,0,-,0,0,2022
80,김민성,LG,92,1,0,1,0.0,0,0,2022
81,김진성,LG,2,0,0,0,-,0,0,2022
82,김호은,LG,2,0,0,0,-,0,0,2022
83,박용택,LG,1,0,0,0,-,0,0,2022
84,박재욱,LG,1,0,0,0,-,0,0,2022
85,배재준,LG,1,0,0,0,-,0,0,2022
86,백승현,LG,1,0,0,0,-,0,0,2022
87,손호영,LG,36,3,0,3,0.0,1,0,2022
88,송승기,LG,1,0,0,0,-,0,0,2022
89,송은범,LG,2,0,0,0,-,0,0,2022
90,안익훈,LG,14,0,0,0,-,0,0,2022
91,유강남,LG,139,0,0,0,-,5,1,2022
92,이영빈,LG,60,0,0,0,-,0,0,2022
93,이천웅,LG,19,0,0,0,-,0,0,2022
94,이형종,LG,26,0,0,0,-,0,0,2022
95,정우영,LG,1,0,0,0,-,0,0,2022
96,진해수,LG,1,0,0,0,-,0,0,2022
97,채원후,LG,1,0,0,0,-,0,0,2022
98,최동환,LG,4,0,0,0,-,0,0,2022
99,최민창,LG,4,0,0,0,-,0,0,2022
100,최성훈,LG,2,0,0,0,-,0,0,2022
101,한석현,LG,6,1,0,1,0.0,0,0,2022
102,함덕주,LG,1,0,0,0,-,0,0,2022
103,허도환,LG,64,0,0,0,-,0,0,2022
104,허준혁,LG,1,0,0,0,-,0,0,2022
105,최지훈,SSG,144,38,31,7,81.6,5,3,2022
106,추신수,SSG,112,20,15,5,75.0,5,1,2022
107,박성한,SSG,140,20,12,8,60.0,2,0,2022
108,최정,SSG,121,17,12,5,70.6,4,0,2022
109,오태곤,SSG,130,15,11,4,73.3,1,0,2022
110,김성현,SSG,130,6,3,3,50.0,5,0,2022
111,라가레스,SSG,49,4,3,1,75.0,3,0,2022
112,최상민,SSG,27,4,3,1,75.0,0,0,2022
113,안상현,SSG,46,2,2,0,100,0,0,2022
114,최경모,SSG,98,2,2,0,100,3,0,2022
115,김강민,SSG,84,4,1,3,25.0,4,0,2022
116,이재원,SSG,105,1,1,0,100,1,0,2022
117,하재훈,SSG,60,1,1,0,100,1,0,2022
118,한유섬,SSG,135,2,1,1,50.0,1,0,2022
119,고효준,SSG,2,0,0,0,-,0,0,2022
120,김규남,SSG,2,0,0,0,-,0,0,2022
121,김민식,SSG,104,0,0,0,-,1,0,2022
122,김재현,SSG,18,0,0,0,-,0,0,2022
123,김택형,SSG,1,0,0,0,-,0,0,2022
124,박민호,SSG,1,0,0,0,-,0,0,2022
125,서동민,SSG,1,0,0,0,-,0,0,2022
126,석정우,SSG,9,1,0,1,0.0,0,0,2022
127,오준혁,SSG,47,0,0,0,-,0,0,2022
128,이정범,SSG,7,0,0,0,-,0,0,2022
129,이현석,SSG,9,0,0,0,-,0,0,2022
130,이흥련,SSG,22,0,0,0,-,0,0,2022
131,전경원,SSG,1,0,0,0,-,0,0,2022
132,전의산,SSG,77,0,0,0,-,2,0,2022
133,조요한,SSG,1,0,0,0,-,0,0,2022
134,조형우,SSG,9,0,0,0,-,0,0,2022
135,최민준,SSG,1,0,0,0,-,0,0,2022
136,최주환,SSG,97,0,0,0,-,1,0,2022
137,최준우,SSG,10,0,0,0,-,0,0,2022
138,최항,SSG,15,0,0,0,-,1,0,2022
139,크론,SSG,67,0,0,0,-,2,0,2022
140,김혜성,키움,129,41,34,7,82.9,4,1,2022
141,이용규,키움,86,14,12,2,85.7,7,0,2022
142,푸이그,키움,126,9,6,3,66.7,12,1,2022
143,이정후,키움,142,5,5,0,100,1,1,2022
144,김주형,키움,55,1,1,0,100,1,0,2022
145,김준완,키움,111,2,1,1,50.0,3,0,2022
146,김태진,키움,77,3,1,2,33.3,1,0,2022
147,이병규,키움,24,1,1,0,100,2,0,2022
148,이지영,키움,137,2,1,1,50.0,3,1,2022
149,임지열,키움,40,1,1,0,100,1,0,2022
150,강민국,키움,3,0,0,0,-,0,0,2022
151,김성진,키움,2,0,0,0,-,0,0,2022
152,김수환,키움,57,0,0,0,-,0,1,2022
153,김시앙,키움,13,0,0,0,-,0,0,2022
154,김웅빈,키움,45,2,0,2,0.0,0,0,2022
155,김재현,키움,56,0,0,0,-,1,0,2022
156,김태훈,키움,1,0,0,0,-,0,0,2022
157,김휘집,키움,112,0,0,0,-,2,1,2022
158,노운현,키움,1,0,0,0,-,0,0,2022
159,박승주,키움,1,0,0,0,-,0,0,2022
160,박주성,키움,2,0,0,0,-,0,0,2022
161,박주홍,키움,21,0,0,0,-,0,0,2022
162,박준태,키움,52,0,0,0,-,2,0,2022
163,박찬혁,키움,52,1,0,1,0.0,0,1,2022
164,송성문,키움,142,1,0,1,0.0,1,0,2022
165,신준우,키움,76,0,0,0,-,0,0,2022
166,애플러,키움,1,0,0,0,-,0,0,2022
167,예진원,키움,20,0,0,0,-,0,0,2022
168,이명기,키움,2,0,0,0,-,0,0,2022
169,이재홍,키움,4,0,0,0,-,0,1,2022
170,이주형,키움,32,0,0,0,-,0,0,2022
171,전병우,키움,115,0,0,0,-,0,0,2022
172,하영민,키움,3,0,0,0,-,0,0,2022
0,알포드,KT,133,21,17,4,81.0,12,1,2023
1,배정대,KT,97,16,13,3,81.3,3,0,2023
2,김민혁,KT,113,15,11,4,73.3,5,0,2023
3,안치영,KT,76,8,7,1,87.5,0,0,2023
4,김상수,KT,129,11,5,6,45.5,4,2,2023
5,이호연,KT,85,6,4,2,66.7,3,0,2023
6,조용호,KT,63,4,4,0,100,3,0,2023
7,강백호,KT,71,3,3,0,100,4,0,2023
8,문상철,KT,112,4,3,1,75.0,3,0,2023
9,송민섭,KT,69,4,3,1,75.0,1,0,2023
10,오윤석,KT,82,4,3,1,75.0,0,1,2023
11,장준원,KT,69,3,3,0,100,0,0,2023
12,황재균,KT,109,6,3,3,50.0,2,1,2023
13,박병호,KT,132,2,2,0,100,4,0,2023
14,이상호,KT,63,2,2,0,100,1,0,2023
15,홍현빈,KT,44,2,2,0,100,0,0,2023
16,김준태,KT,69,1,1,0,100,1,0,2023
17,장성우,KT,131,2,1,1,50.0,2,0,2023
18,강민성,KT,12,0,0,0,-,0,0,2023
19,강현우,KT,53,1,0,1,0.0,0,0,2023
20,김민,KT,1,0,0,0,-,0,0,2023
21,김병준,KT,3,0,0,0,-,0,0,2023
22,김병희,KT,5,0,0,0,-,0,0,2023
23,김영현,KT,1,0,0,0,-,0,0,2023
24,김재윤,KT,5,0,0,0,-,0,0,2023
25,류현인,KT,17,0,0,0,-,0,0,2023
26,문상인,KT,1,0,0,0,-,0,0,2023
27,문상준,KT,2,0,0,0,-,0,0,2023
28,박경수,KT,107,0,0,0,-,4,0,2023
29,박민석,KT,4,0,0,0,-,0,0,2023
30,박영현,KT,3,0,0,0,-,0,0,2023
31,손민석,KT,9,0,0,0,-,0,0,2023
32,신본기,KT,40,1,0,1,0.0,1,0,2023
33,이상동,KT,1,0,0,0,-,0,0,2023
34,이선우,KT,1,0,0,0,-,0,0,2023
35,이시원,KT,29,1,0,1,0.0,1,0,2023
36,이채호,KT,1,0,0,0,-,0,0,2023
37,정준영,KT,34,0,0,0,-,0,0,2023
38,하준호,KT,1,0,0,0,-,0,0,2023
39,신민재,LG,122,54,37,17,68.5,6,1,2023
40,박해민,LG,144,38,26,12,68.4,11,2,2023
41,문성주,LG,136,38,24,14,63.2,6,2,2023
42,홍창기,LG,141,46,23,23,50.0,10,3,2023
43,오지환,LG,126,23,16,7,69.6,7,2,2023
44,문보경,LG,131,17,9,8,52.9,8,2,2023
45,최승민,LG,38,11,8,3,72.7,1,1,2023
46,오스틴,LG,139,10,7,3,70.0,5,2,2023
47,이재원,LG,57,6,4,2,66.7,0,0,2023
48,서건창,LG,44,6,3,3,50.0,3,0,2023
49,김민성,LG,112,3,2,1,66.7,2,0,2023
50,김현수,LG,133,3,2,1,66.7,5,0,2023
51,손호영,LG,27,3,2,1,66.7,0,0,2023
52,김기연,LG,28,1,1,0,100,1,0,2023
53,송찬의,LG,19,1,1,0,100,1,0,2023
54,정주현,LG,89,6,1,5,16.7,1,0,2023
55,고우석,LG,1,0,0,0,-,0,0,2023
56,김대현,LG,2,0,0,0,-,0,0,2023
57,김범석,LG,10,0,0,0,-,0,0,2023
58,김주성,LG,11,0,0,0,-,1,0,2023
59,박동원,LG,130,1,0,1,0.0,7,0,2023
60,박명근,LG,2,0,0,0,-,0,0,2023
61,송대현,LG,4,0,0,0,-,0,0,2023
62,안익훈,LG,11,0,0,0,-,3,0,2023
63,오석주,LG,1,0,0,0,-,0,0,2023
64,이정용,LG,1,0,0,0,-,0,0,2023
65,이천웅,LG,4,0,0,0,-,0,0,2023
66,전준호,LG,2,0,0,0,-,0,0,2023
67,최동환,LG,3,0,0,0,-,0,0,2023
68,허도환,LG,47,0,0,0,-,0,0,2023
69,박민우,NC,124,33,26,7,78.8,4,1,2023
70,김주원,NC,127,18,15,3,83.3,6,1,2023
71,마틴,NC,118,18,15,3,83.3,9,1,2023
72,손아섭,NC,140,17,14,3,82.4,4,1,2023
73,박건우,NC,130,12,7,5,58.3,5,0,2023
74,김성욱,NC,93,7,6,1,85.7,0,1,2023
75,박영빈,NC,41,6,4,2,66.7,2,0,2023
76,서호철,NC,114,9,4,5,44.4,3,1,2023
77,최정원,NC,39,5,4,1,80.0,1,0,2023
78,오영수,NC,70,6,3,3,50.0,3,1,2023
79,오태양,NC,21,6,3,3,50.0,1,0,2023
80,권희동,NC,96,2,2,0,100,5,0,2023
81,도태훈,NC,117,3,2,1,66.7,2,0,2023
82,천재환,NC,78,5,2,3,40.0,1,0,2023
83,한석현,NC,27,3,2,1,66.7,1,1,2023
84,박세혁,NC,88,2,1,1,50.0,1,0,2023
85,윤형준,NC,82,2,1,1,50.0,1,0,2023
86,김수윤,NC,16,0,0,0,-,0,0,2023
87,김시훈,NC,1,0,0,0,-,0,0,2023
88,김한별,NC,79,3,0,3,0.0,1,0,2023
89,김형준,NC,26,0,0,0,-,0,0,2023
90,류진욱,NC,2,0,0,0,-,0,0,2023
91,박대온,NC,25,0,0,0,-,0,0,2023
92,박석민,NC,30,0,0,0,-,1,0,2023
93,박주찬,NC,5,0,0,0,-,0,0,2023
94,박한결,NC,12,0,0,0,-,0,0,2023
95,안중열,NC,77,0,0,0,-,2,0,2023
96,오장한,NC,3,0,0,0,-,0,0,2023
97,이용찬,NC,2,0,0,0,-,0,0,2023
98,전사민,NC,1,0,0,0,-,0,0,2023
99,조현진,NC,10,0,0,0,-,0,0,2023
100,채원후,NC,1,0,0,0,-,0,0,2023
101,최보성,NC,12,0,0,0,-,0,0,2023
102,한재승,NC,1,0,0,0,-,0,0,2023
103,최지훈,SSG,117,23,21,2,91.3,4,3,2023
104,오태곤,SSG,123,21,20,1,95.2,2,0,2023
105,에레디아,SSG,122,20,12,8,60.0,5,1,2023
106,하재훈,SSG,77,11,11,0,100,0,1,2023
107,최정,SSG,128,10,7,3,70.0,6,0,2023
108,추신수,SSG,112,10,6,4,60.0,4,0,2023
109,김성현,SSG,112,5,4,1,80.0,2,0,2023
110,박성한,SSG,128,5,4,1,80.0,4,3,2023
111,안상현,SSG,58,4,3,1,75.0,0,0,2023
112,김강민,SSG,70,3,2,1,66.7,2,0,2023
113,최경모,SSG,28,2,2,0,100,0,0,2023
114,최상민,SSG,51,4,2,2,50.0,1,0,2023
115,한유섬,SSG,109,3,2,1,66.7,1,1,2023
116,강진성,SSG,58,0,0,0,-,0,0,2023
117,고명준,SSG,2,0,0,0,-,0,0,2023
118,고효준,SSG,2,0,0,0,-,0,0,2023
119,김건웅,SSG,1,0,0,0,-,0,0,2023
120,김민식,SSG,122,0,0,0,-,5,1,2023
121,김정민,SSG,8,0,0,0,-,0,0,2023
122,김찬형,SSG,36,0,0,0,-,0,0,2023
123,노경은,SSG,1,0,0,0,-,0,0,2023
124,류효승,SSG,3,0,0,0,-,0,0,2023
125,문승원,SSG,1,0,0,0,-,0,0,2023
126,백승건,SSG,1,0,0,0,-,0,0,2023
127,서진용,SSG,3,0,0,0,-,0,0,2023
128,이건욱,SSG,1,0,0,0,-,0,0,2023
129,이재원,SSG,27,0,0,0,-,0,0,2023
130,이정범,SSG,15,0,0,0,-,0,0,2023
131,이흥련,SSG,16,0,0,0,-,0,0,2023
132,임준섭,SSG,1,0,0,0,-,0,0,2023
133,전의산,SSG,56,2,0,2,0.0,0,0,2023
134,조형우,SSG,62,0,0,0,-,1,0,2023
135,채현우,SSG,1,0,0,0,-,0,0,2023
136,최민준,SSG,1,0,0,0,-,0,0,2023
137,최주환,SSG,134,0,0,0,-,5,0,2023
138,최준우,SSG,38,1,0,1,0.0,0,0,2023
139,최항,SSG,21,0,0,0,-,1,0,2023
140,정수빈,두산,137,47,39,8,83.0,5,3,2023
141,조수행,두산,126,32,26,6,81.3,4,0,2023
142,강승호,두산,127,19,13,6,68.4,4,1,2023
143,이유찬,두산,104,17,12,5,70.6,3,1,2023
144,허경민,두산,130,12,9,3,75.0,3,1,2023
145,양의지,두산,129,8,8,0,100,7,1,2023
146,김재호,두산,91,4,4,0,100,2,0,2023
147,양석환,두산,140,4,4,0,100,9,0,2023
148,김재환,두산,132,4,3,1,75.0,4,0,2023
149,양찬열,두산,44,5,3,2,60.0,0,0,2023
150,김인태,두산,47,3,2,1,66.7,2,0,2023
151,박계범,두산,78,4,2,2,50.0,1,2,2023
152,박준영,두산,51,3,2,1,66.7,0,0,2023
153,안재석,두산,27,2,2,0,100,1,2,2023
154,김대한,두산,33,4,1,3,25.0,0,0,2023
155,박지훈,두산,22,1,1,0,100,1,0,2023
156,안승한,두산,22,1,1,0,100,0,0,2023
157,장승현,두산,76,1,1,0,100,0,0,2023
158,권민석,두산,1,0,0,0,-,0,0,2023
159,김민규,두산,1,0,0,0,-,0,0,2023
160,김민혁,두산,21,0,0,0,-,0,0,2023
161,김정우,두산,1,0,0,0,-,0,0,2023
162,김태근,두산,41,3,0,3,0.0,0,0,2023
163,로하스,두산,122,1,0,1,0.0,5,0,2023
164,박신지,두산,1,0,0,0,-,0,0,2023
165,박유연,두산,10,0,0,0,-,0,0,2023
166,박정수,두산,2,0,0,0,-,0,0,2023
167,박치국,두산,1,0,0,0,-,0,0,2023
168,서예일,두산,5,0,0,0,-,0,0,2023
169,송승환,두산,30,1,0,1,0.0,1,0,2023
170,신성현,두산,12,1,0,1,0.0,0,0,2023
171,이형범,두산,2,0,0,0,-,0,0,2023
172,전민재,두산,19,3,0,3,0.0,0,0,2023
173,정철원,두산,3,0,0,0,-,0,0,2023
174,최승용,두산,2,0,0,0,-,0,0,2023
175,홍건희,두산,4,0,0,0,-,0,0,2023
176,홍성호,두산,21,1,0,1,0.0,0,0,2023
