,선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사,년도
116,박세혁,두산,137,10,8,2,80.0,6,0,2019
117,오재원,두산,98,8,6,2,75.0,1,1,2019
118,이유찬,두산,25,5,5,0,100,0,0,2019
119,정진호,두산,66,7,5,2,71.4,1,0,2019
120,김재호,두산,130,6,3,3,50.0,5,0,2019
121,김재환,두산,136,4,3,1,75.0,2,0,2019
122,오재일,두산,130,3,2,1,66.7,2,0,2019
123,김인태,두산,26,2,1,1,50.0,1,0,2019
124,김태근,두산,9,3,1,2,33.3,0,0,2019
125,페르난데스,두산,144,3,1,2,33.3,3,0,2019
126,국해성,두산,21,0,0,0,-,0,0,2019
127,권혁,두산,1,0,0,0,-,0,0,2019
128,김경호,두산,32,0,0,0,-,0,0,2019
129,김대한,두산,19,0,0,0,-,0,0,2019
130,김승회,두산,1,0,0,0,-,0,0,2019
131,박유연,두산,2,0,0,0,-,0,0,2019
132,배영수,두산,2,0,0,0,-,0,0,2019
133,백동훈,두산,41,1,0,1,0.0,0,0,2019
134,서예일,두산,7,0,0,0,-,0,0,2019
135,송승환,두산,2,0,0,0,-,0,0,2019
136,신성현,두산,35,0,0,0,-,0,0,2019
137,이영하,두산,1,0,0,0,-,0,0,2019
138,이흥련,두산,27,0,0,0,-,1,0,2019
139,장승현,두산,35,0,0,0,-,0,0,2019
140,전민재,두산,2,0,0,0,-,0,0,2019
141,정병곤,두산,20,0,0,0,-,0,0,2019
142,최주환,두산,87,0,0,0,-,8,0,2019
143,함덕주,두산,1,0,0,0,-,0,0,2019
144,김하성,키움,139,37,33,4,89.2,3,1,2019
145,김혜성,키움,122,23,20,3,87.0,2,0,2019
146,서건창,키움,113,20,17,3,85.0,6,3,2019
147,이정후,키움,140,20,13,7,65.0,4,0,2019
148,임병욱,키움,117,12,10,2,83.3,3,1,2019
149,박정음,키움,60,11,6,5,54.5,1,0,2019
150,이지영,키움,106,6,5,1,83.3,2,1,2019
151,김규민,키움,94,6,2,4,33.3,1,0,2019
152,송성문,키움,103,3,2,1,66.7,1,0,2019
153,박동원,키움,112,1,1,0,100,3,0,2019
154,샌즈,키움,139,3,1,2,33.3,5,0,2019
155,김웅빈,키움,4,0,0,0,-,0,0,2019
156,김은성,키움,5,0,0,0,-,0,0,2019
157,김주형,키움,3,0,0,0,-,0,0,2019
158,김지수,키움,69,0,0,0,-,1,0,2019
159,박병호,키움,122,1,0,1,0.0,2,0,2019
160,예진원,키움,2,0,0,0,-,0,0,2019
161,윤영삼,키움,1,0,0,0,-,0,0,2019
162,임지열,키움,11,0,0,0,-,0,0,2019
163,장영석,키움,119,0,0,0,-,2,0,2019
164,주효상,키움,18,0,0,0,-,1,0,2019
165,추재현,키움,1,0,0,0,-,0,0,2019
166,허정협,키움,37,0,0,0,-,0,0,2019
0,심우준,KT,144,46,35,11,76.1,3,1,2020
1,배정대,KT,144,35,22,13,62.9,4,2,2020
2,조용호,KT,132,15,12,3,80.0,4,1,2020
3,황재균,KT,134,17,11,6,64.7,3,1,2020
4,김민혁,KT,108,12,8,4,66.7,2,0,2020
5,강백호,KT,129,9,7,2,77.8,10,0,2020
6,박승욱,KT,97,6,5,1,83.3,2,1,2020
7,송민섭,KT,114,7,4,3,57.1,2,0,2020
8,천성호,KT,66,2,1,1,50.0,1,0,2020
9,강민국,KT,81,1,0,1,0.0,1,0,2020
10,강현우,KT,26,0,0,0,-,0,0,2020
11,김민,KT,2,0,0,0,-,0,0,2020
