,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4,년도
22,나지완,KIA,0.000,0,0,1,0.00,0,-,5.00,0.000,-0.1,0.0,2022
23,류승현,KIA,0.000,0,1,1,1.00,0,0.00,3.67,0.000,-0.3,0.0,2022
24,박민,KIA,0.000,0,1,1,1.00,0,-,2.50,0.000,-0.2,0.0,2022
25,신범수,KIA,0.000,0,1,1,1.00,0,0.00,5.67,0.000,-0.3,0.0,2022
26,이정훈,KIA,0.000,0,3,2,1.50,0,0.67,5.30,0.000,-0.1,0.09,2022
27,문상준,KT,0.333,1,0,0,-,0,0.00,3.67,0.333,0.5,0.317,2022
28,전진영,KT,0.333,0,0,2,0.00,0,-,3.67,0.000,0.3,0.233,2022
29,조용호,KT,0.308,25,134,123,1.09,9,0.66,3.97,0.074,68.9,0.264,2022
30,알포드,KT,0.286,34,45,71,0.63,9,0.37,4.06,0.223,52.4,0.29,2022
31,김민혁,KT,0.284,12,121,87,1.39,5,0.60,3.68,0.038,41.2,0.238,2022
32,박병호,KT,0.275,52,75,111,0.68,11,0.31,3.93,0.284,83.6,0.297,2022
33,김준태,KT,0.273,21,46,48,0.96,0,0.43,4.21,0.130,34.8,0.263,2022
34,배정대,KT,0.266,32,117,134,0.87,9,0.43,4.12,0.091,67.7,0.242,2022
35,황재균,KT,0.262,38,132,154,0.86,4,0.54,3.82,0.118,63.2,0.246,2022
36,장성우,KT,0.260,29,83,109,0.76,10,0.66,4.05,0.180,56.7,0.269,2022
37,라모스,KT,0.250,5,17,20,0.85,1,0.22,3.74,0.167,9.6,0.241,2022
38,장준원,KT,0.246,5,15,11,1.36,0,0.18,3.48,0.193,5.7,0.237,2022
39,강백호,KT,0.245,18,66,71,0.93,4,0.52,4.11,0.127,27.4,0.233,2022
40,심우준,KT,0.240,14,104,120,0.87,4,0.57,4.31,0.062,42.6,0.218,2022
41,홍현빈,KT,0.237,2,24,8,3.00,1,0.38,4.22,0.026,8.0,0.212,2022
42,오윤석,KT,0.234,19,73,83,0.88,7,0.49,3.84,0.108,34.5,0.231,2022
43,문상철,KT,0.224,5,10,11,0.91,0,0.18,4.00,0.184,4.9,0.223,2022
44,유준규,KT,0.214,0,2,3,0.67,0,0.17,3.63,0.000,0.8,0.174,2022
45,김병희,KT,0.203,3,14,20,0.70,0,0.27,3.76,0.068,5.4,0.2,2022
46,신본기,KT,0.182,4,40,32,1.25,1,0.36,3.80,0.050,5.9,0.172,2022
47,송민섭,KT,0.156,3,20,15,1.33,0,0.26,3.75,0.078,2.5,0.156,2022
48,이시원,KT,0.133,0,6,3,2.00,0,0.00,3.81,0.000,0.5,0.118,2022
49,권동진,KT,0.132,2,13,4,3.25,0,0.06,3.83,0.079,1.3,0.122,2022
50,박경수,KT,0.120,6,26,51,0.51,0,0.34,4.63,0.072,7.6,0.154,2022
51,고명성,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
52,김재윤,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
53,김태훈,KT,0.000,0,3,5,0.60,0,0.00,3.90,0.000,-0.9,0.0,2022
54,문상인,KT,0.000,0,1,0,-,0,0.00,3.67,0.000,-0.7,0.0,2022
55,박영현,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
56,배제성,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
57,심재민,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
58,양승혁,KT,0.000,0,3,1,3.00,0,0.00,3.20,0.000,-0.6,0.0,2022
59,이상우,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
60,이정현,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
61,조대현,KT,0.000,0,1,0,-,0,0.00,4.00,0.000,-0.4,0.0,2022
62,주권,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
63,지명성,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
64,문보경,LG,0.315,34,124,105,1.18,7,0.84,3.73,0.135,69.7,0.285,2022
65,문성주,LG,0.303,24,116,77,1.51,3,1.42,3.81,0.119,53.0,0.286,2022
66,채은성,LG,0.296,40,115,137,0.84,11,0.31,3.71,0.141,69.8,0.269,2022
67,박해민,LG,0.289,31,158,168,0.94,9,0.52,4.01,0.079,78.4,0.248,2022
68,김현수,LG,0.286,50,145,170,0.85,17,1.15,3.76,0.187,93.6,0.287,2022
69,홍창기,LG,0.286,24,154,88,1.75,8,0.79,4.10,0.069,66.7,0.264,2022
70,오지환,LG,0.269,45,135,122,1.11,11,0.58,4.07,0.200,84.1,0.278,2022
71,이형종,LG,0.264,3,13,19,0.68,1,0.50,3.81,0.057,7.3,0.226,2022
72,손호영,LG,0.257,5,22,20,1.10,1,0.43,3.73,0.176,9.1,0.247,2022
73,유강남,LG,0.255,24,102,112,0.91,4,0.35,3.93,0.096,48.2,0.234,2022
74,이상호,LG,0.250,2,31,17,1.82,1,0.67,3.51,0.028,5.5,0.204,2022
75,허도환,LG,0.247,6,24,14,1.71,0,0.08,3.97,0.094,7.3,0.212,2022
76,송찬의,LG,0.236,7,11,21,0.52,0,0.08,3.82,0.181,9.2,0.231,2022
77,이재원,LG,0.224,23,44,52,0.85,2,0.23,3.72,0.229,33.0,0.255,2022
78,서건창,LG,0.224,13,58,69,0.84,1,0.45,3.99,0.082,20.7,0.211,2022
79,김기연,LG,0.222,0,2,2,1.00,0,0.00,3.89,0.000,0.3,0.155,2022
80,한석현,LG,0.222,0,2,2,1.00,0,0.00,3.40,0.000,0.1,0.155,2022
81,김민성,LG,0.207,7,40,45,0.89,1,0.37,3.76,0.093,11.1,0.198,2022
82,가르시아,LG,0.206,11,24,44,0.55,3,0.48,4.34,0.147,15.3,0.227,2022
83,이천웅,LG,0.200,0,7,6,1.17,0,1.00,3.52,0.000,1.6,0.187,2022
84,최민창,LG,0.200,0,3,0,-,0,0.00,3.20,0.000,0.1,0.14,2022
85,이영빈,LG,0.184,4,18,19,0.95,0,0.28,3.46,0.079,4.1,0.18,2022
86,루이즈,LG,0.155,6,36,23,1.57,1,0.69,3.69,0.107,4.1,0.171,2022
87,고우석,LG,0.000,0,1,0,-,0,-,4.00,0.000,-0.1,0.0,2022
88,김진성,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
89,김호은,LG,0.000,0,1,0,-,0,0.00,4.00,0.000,-0.2,0.0,2022
90,박용택,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
91,박재욱,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
92,배재준,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
93,백승현,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
94,송승기,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
95,송은범,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
96,신민재,LG,0.000,0,2,1,2.00,0,-,4.33,0.000,-0.6,0.0,2022
97,안익훈,LG,0.000,0,1,2,0.50,0,-,5.25,0.000,0.1,0.113,2022
98,정우영,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
99,진해수,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
100,채원후,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
101,최동환,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
102,최성훈,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
103,함덕주,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
104,허준혁,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
105,라가레스,SSG,0.315,15,50,59,0.85,1,0.78,3.82,0.149,29.8,0.279,2022
106,최지훈,SSG,0.304,46,151,172,0.88,9,0.61,3.63,0.123,90.0,0.27,2022
107,김강민,SSG,0.303,16,47,39,1.21,1,0.46,3.70,0.146,28.9,0.281,2022
108,최경모,SSG,0.301,2,17,16,1.06,0,0.06,3.51,0.027,7.1,0.222,2022
109,박성한,SSG,0.298,30,156,112,1.39,7,0.74,3.99,0.077,70.7,0.262,2022
110,이정범,SSG,0.273,0,5,1,5.00,0,0.00,3.45,0.000,0.8,0.191,2022
111,최정,SSG,0.266,47,72,142,0.51,9,0.69,3.92,0.239,85.1,0.3,2022
112,한유섬,SSG,0.264,55,114,91,1.25,15,0.48,4.02,0.214,82.7,0.287,2022
113,추신수,SSG,0.259,37,101,106,0.95,5,0.71,4.09,0.171,73.8,0.279,2022
114,최준우,SSG,0.250,0,4,3,1.33,0,1.00,3.63,0.000,2.1,0.231,2022
115,전의산,SSG,0.249,29,47,51,0.92,3,0.29,3.73,0.232,35.1,0.262,2022
116,오태곤,SSG,0.232,19,56,81,0.69,5,0.22,3.55,0.106,28.1,0.216,2022
117,오준혁,SSG,0.230,2,15,17,0.88,0,0.33,3.43,0.033,3.4,0.195,2022
118,김재현,SSG,0.222,1,6,5,1.20,0,0.00,3.50,0.056,0.3,0.169,2022
119,석정우,SSG,0.222,0,3,1,3.00,0,0.00,2.89,0.000,0.0,0.155,2022
120,크론,SSG,0.222,25,49,76,0.64,7,0.13,3.88,0.198,27.6,0.22,2022
121,김민식,SSG,0.221,12,46,85,0.54,4,0.71,3.90,0.077,24.4,0.218,2022
122,김성현,SSG,0.219,12,114,89,1.28,7,0.86,3.46,0.056,24.1,0.202,2022
123,하재훈,SSG,0.215,13,20,26,0.77,2,0.10,3.65,0.243,13.7,0.225,2022
124,최주환,SSG,0.211,25,65,117,0.56,4,0.53,4.06,0.151,32.5,0.22,2022
125,이재원,SSG,0.201,10,72,74,0.97,0,0.57,3.43,0.077,19.4,0.203,2022
126,조형우,SSG,0.167,1,4,3,1.33,0,0.33,3.31,0.083,0.6,0.166,2022
127,안상현,SSG,0.158,2,14,6,2.33,1,0.42,3.36,0.158,3.7,0.202,2022
128,이현석,SSG,0.133,0,3,5,0.60,0,0.00,3.60,0.000,-0.6,0.093,2022
129,이흥련,SSG,0.133,2,9,8,1.13,0,0.23,3.96,0.044,1.5,0.157,2022
130,최항,SSG,0.100,0,4,8,0.50,0,0.29,3.83,0.000,0.7,0.119,2022
131,최상민,SSG,0.071,0,7,2,3.50,1,0.75,4.06,0.000,0.6,0.124,2022
132,고효준,SSG,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
133,김규남,SSG,0.000,0,1,2,0.50,0,0.00,3.80,0.000,-0.8,0.0,2022
134,김택형,SSG,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
135,박민호,SSG,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
136,서동민,SSG,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
137,전경원,SSG,0.000,0,1,0,-,0,-,2.00,0.000,-0.1,0.0,2022
138,조요한,SSG,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
139,최민준,SSG,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
140,이정후,키움,0.349,69,154,177,0.87,15,2.06,3.69,0.226,120.2,0.333,2022
141,김혜성,키움,0.318,29,165,107,1.54,5,0.57,3.87,0.085,78.5,0.269,2022
142,푸이그,키움,0.277,51,88,158,0.56,8,0.58,3.83,0.197,83.4,0.284,2022
143,임지열,키움,0.275,7,23,31,0.74,0,0.23,4.11,0.069,15.7,0.235,2022
144,김태진,키움,0.268,6,94,63,1.49,2,0.57,3.80,0.028,23.3,0.216,2022
145,이지영,키움,0.267,19,158,106,1.49,6,0.45,3.37,0.064,36.4,0.219,2022
146,이명기,키움,0.250,0,1,0,-,0,0.00,3.25,0.000,0.2,0.175,2022
147,이재홍,키움,0.250,0,0,1,0.00,0,0.00,3.00,0.000,0.2,0.175,2022
148,송성문,키움,0.247,38,156,198,0.79,11,0.69,3.57,0.124,63.4,0.229,2022
149,김웅빈,키움,0.226,7,32,19,1.68,2,0.34,3.81,0.087,11.7,0.225,2022
150,박주홍,키움,0.224,2,15,5,3.00,0,0.44,4.09,0.061,5.0,0.221,2022
151,김휘집,키움,0.222,21,57,91,0.63,6,0.34,4.26,0.114,40.9,0.231,2022
152,박찬혁,키움,0.211,11,24,36,0.67,0,0.13,3.92,0.143,15.8,0.212,2022
153,김재현,키움,0.207,5,26,21,1.24,1,0.11,3.53,0.085,4.7,0.178,2022
154,전병우,키움,0.203,12,39,51,0.76,5,0.25,3.90,0.112,18.6,0.208,2022
155,김주형,키움,0.200,9,34,26,1.31,0,0.14,3.70,0.109,10.8,0.215,2022
156,이용규,키움,0.199,6,113,64,1.77,3,1.07,4.42,0.022,25.8,0.202,2022
157,김준완,키움,0.192,13,108,80,1.35,3,0.90,4.59,0.054,35.3,0.214,2022
158,이병규,키움,0.184,2,15,5,3.00,0,0.18,4.20,0.079,2.2,0.167,2022
159,김수환,키움,0.179,10,24,36,0.67,2,0.38,4.08,0.129,15.4,0.21,2022
160,이주형,키움,0.169,1,20,13,1.54,2,0.37,3.98,0.042,6.2,0.185,2022
161,박준태,키움,0.157,5,11,15,0.73,1,0.33,4.43,0.100,6.2,0.194,2022
162,신준우,키움,0.140,3,9,9,1.00,0,0.37,3.65,0.070,3.3,0.182,2022
163,예진원,키움,0.100,0,4,2,2.00,0,1.00,3.93,0.000,0.7,0.164,2022
164,김시앙,키움,0.083,0,2,1,2.00,0,0.13,4.00,0.000,-0.5,0.09,2022
165,강민국,키움,0.000,0,1,1,1.00,1,1.00,3.75,0.000,0.1,0.113,2022
166,김성진,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
167,김태훈,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
168,노운현,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
169,박승주,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
170,박주성,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
171,애플러,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
172,하영민,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
0,김민혁,KT,0.297,26,136,100,1.36,8,0.75,3.63,0.088,57.0,0.256,2023
1,황재균,KT,0.295,34,96,128,0.75,7,0.70,3.86,0.118,56.2,0.268,2023
2,정준영,KT,0.292,2,15,8,1.88,0,0.27,3.82,0.042,5.1,0.233,2023
3,안치영,KT,0.290,4,40,14,2.86,2,0.17,3.74,0.040,14.8,0.232,2023
4,알포드,KT,0.289,49,77,135,0.57,11,0.34,4.02,0.167,79.6,0.274,2023
5,장성우,KT,0.288,33,91,138,0.66,4,0.60,3.85,0.134,60.3,0.263,2023
6,박병호,KT,0.283,33,96,107,0.90,14,0.40,3.85,0.160,70.7,0.271,2023
7,이호연,KT,0.278,9,62,51,1.22,4,0.39,3.71,0.075,24.9,0.241,2023
8,배정대,KT,0.277,18,67,87,0.77,1,0.50,3.98,0.071,44.0,0.247,2023
9,김상수,KT,0.271,23,128,130,0.98,6,0.81,4.20,0.068,54.7,0.244,2023
10,강백호,KT,0.265,19,60,62,0.97,6,0.56,4.17,0.151,36.7,0.26,2023
11,문상철,KT,0.260,29,61,89,0.69,6,0.20,3.87,0.155,38.8,0.238,2023
12,오윤석,KT,0.251,18,56,49,1.14,1,0.30,3.80,0.136,22.3,0.238,2023
13,박민석,KT,0.250,0,0,0,-,0,0.00,5.75,0.000,0.2,0.175,2023
14,조용호,KT,0.248,2,46,50,0.92,0,0.92,4.26,0.012,16.8,0.219,2023
15,홍현빈,KT,0.233,2,14,21,0.67,0,0.62,4.55,0.027,7.8,0.222,2023
16,김준태,KT,0.209,7,29,30,0.97,0,0.59,4.10,0.113,13.2,0.227,2023
17,신본기,KT,0.204,3,22,17,1.29,0,1.75,4.29,0.093,8.5,0.238,2023
18,문상준,KT,0.200,0,0,0,-,0,0.00,4.80,0.000,0.1,0.14,2023
19,박경수,KT,0.200,14,40,62,0.65,1,0.65,4.40,0.086,18.5,0.213,2023
20,강현우,KT,0.194,7,39,27,1.44,1,0.35,3.98,0.087,5.6,0.181,2023
21,강민성,KT,0.182,1,2,6,0.33,0,0.40,3.93,0.045,1.9,0.195,2023
22,장준원,KT,0.172,4,25,23,1.09,1,0.48,4.20,0.080,7.8,0.188,2023
23,이상호,KT,0.148,1,20,17,1.18,1,0.22,3.43,0.019,0.5,0.122,2023
24,이시원,KT,0.138,0,13,6,2.17,0,0.33,4.25,0.000,0.1,0.122,2023
25,류현인,KT,0.130,0,10,6,1.67,0,0.25,3.83,0.000,0.0,0.108,2023
26,송민섭,KT,0.130,0,6,6,1.00,0,0.13,4.12,0.000,0.5,0.123,2023
27,손민석,KT,0.100,0,5,1,5.00,0,0.33,3.92,0.000,0.3,0.138,2023
28,김민,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
29,김병준,KT,0.000,0,0,0,-,0,0.00,3.50,0.000,-0.2,0.0,2023
30,김병희,KT,0.000,0,2,2,1.00,0,0.25,3.89,0.000,-0.4,0.05,2023
31,김영현,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
32,김재윤,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
33,문상인,KT,-,0,0,0,-,0,-,4.00,-,0.3,0.45,2023
34,박영현,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
35,이상동,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
36,이선우,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
37,이채호,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
38,하준호,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
39,이천웅,LG,1.000,0,0,0,-,1,-,2.33,0.000,1.5,0.7,2023
40,홍창기,LG,0.332,38,158,115,1.37,5,1.06,4.14,0.080,98.6,0.303,2023
41,안익훈,LG,0.318,1,9,4,2.25,0,0.00,3.09,0.045,2.7,0.248,2023
42,오스틴,LG,0.313,56,107,182,0.59,15,0.71,3.78,0.204,96.6,0.298,2023
43,문보경,LG,0.301,44,125,124,1.01,11,0.70,3.87,0.147,78.1,0.282,2023
44,문성주,LG,0.294,27,168,119,1.41,5,1.97,3.79,0.078,69.2,0.269,2023
45,김현수,LG,0.293,30,148,152,0.97,10,1.09,3.85,0.090,70.6,0.26,2023
46,박해민,LG,0.285,22,124,150,0.83,3,0.61,3.90,0.074,62.9,0.246,2023
47,신민재,LG,0.277,7,116,56,2.07,2,0.85,3.87,0.032,33.5,0.232,2023
48,정주현,LG,0.273,3,25,24,1.04,2,0.56,3.90,0.057,9.2,0.234,2023
49,오지환,LG,0.268,35,108,123,0.88,11,0.78,4.03,0.128,67.7,0.266,2023
50,박동원,LG,0.249,38,118,107,1.10,8,0.54,3.83,0.193,64.9,0.261,2023
51,김민성,LG,0.249,19,72,77,0.94,5,0.43,3.99,0.128,34.5,0.241,2023
52,이재원,LG,0.214,9,20,31,0.65,1,0.30,3.88,0.152,14.0,0.224,2023
53,손호영,LG,0.205,1,14,9,1.56,1,0.08,3.98,0.068,0.7,0.168,2023
54,김주성,LG,0.200,0,1,1,1.00,0,0.50,3.57,0.000,0.8,0.243,2023
55,서건창,LG,0.200,7,36,41,0.88,0,0.71,3.77,0.082,7.5,0.188,2023
56,허도환,LG,0.141,5,18,18,1.00,2,0.15,3.78,0.141,4.5,0.18,2023
57,김기연,LG,0.118,0,7,13,0.54,0,0.50,3.83,0.000,1.1,0.133,2023
58,김범석,LG,0.111,2,12,8,1.50,0,0.20,4.41,0.148,0.8,0.127,2023
59,최승민,LG,0.071,0,5,4,1.25,0,0.25,3.87,0.000,-0.3,0.078,2023
60,송찬의,LG,0.056,1,5,6,0.83,0,0.67,3.82,0.056,0.7,0.13,2023
61,고우석,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
62,김대현,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
63,박명근,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
64,송대현,LG,0.000,0,0,1,0.00,0,0.00,4.67,0.000,-0.3,0.0,2023
65,오석주,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
66,이정용,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
67,전준호,LG,0.000,0,1,0,-,0,-,5.00,0.000,-0.1,0.0,2023
68,최동환,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
69,손아섭,NC,0.339,44,181,121,1.50,5,0.75,3.74,0.103,91.7,0.288,2023
70,박한결,NC,0.333,2,0,3,0.00,0,0.43,4.06,0.267,3.7,0.35,2023
71,박건우,NC,0.319,48,103,147,0.70,10,0.79,3.78,0.162,84.1,0.299,2023
72,박민우,NC,0.316,29,140,115,1.22,6,0.70,3.77,0.088,68.6,0.273,2023
73,서호철,NC,0.287,25,113,123,0.92,3,0.39,3.54,0.096,48.2,0.245,2023
74,박대온,NC,0.286,3,4,9,0.44,0,0.38,3.33,0.107,4.5,0.262,2023
75,권희동,NC,0.285,23,73,103,0.71,10,0.98,4.40,0.120,53.4,0.276,2023
76,마틴,NC,0.283,39,85,130,0.65,10,0.53,4.10,0.172,76.0,0.276,2023
77,최보성,NC,0.263,0,4,8,0.50,0,1.00,3.33,0.000,1.5,0.216,2023
78,최정원,NC,0.260,5,13,11,1.18,1,0.08,3.64,0.140,6.3,0.242,2023
79,윤형준,NC,0.252,18,48,60,0.80,6,0.17,3.85,0.133,23.5,0.227,2023
80,천재환,NC,0.239,10,36,46,0.78,2,0.18,3.55,0.092,14.4,0.212,2023
81,김형준,NC,0.236,8,11,20,0.55,0,0.33,4.18,0.278,11.4,0.273,2023
82,오영수,NC,0.236,14,62,45,1.38,2,0.31,3.82,0.111,22.5,0.224,2023
83,도태훈,NC,0.234,11,68,68,1.00,2,0.79,4.12,0.088,33.5,0.25,2023
84,김주원,NC,0.233,21,90,117,0.77,6,0.42,4.11,0.107,52.1,0.233,2023
85,김성욱,NC,0.223,16,29,48,0.60,3,0.25,3.88,0.156,20.6,0.231,2023
86,김한별,NC,0.216,1,41,12,3.42,0,0.17,3.71,0.021,3.0,0.177,2023
87,김수윤,NC,0.214,0,4,3,1.33,1,0.25,4.00,0.000,0.8,0.174,2023
88,박세혁,NC,0.211,18,57,92,0.62,3,0.70,3.81,0.136,28.1,0.225,2023
89,조현진,NC,0.200,0,2,1,2.00,0,0.00,4.20,0.000,-0.2,0.14,2023
90,한석현,NC,0.200,1,15,13,1.15,0,0.20,3.71,0.017,2.5,0.167,2023
91,안중열,NC,0.195,10,40,41,0.98,0,0.36,3.96,0.117,13.3,0.202,2023
92,박석민,NC,0.193,2,20,30,0.67,0,0.64,4.09,0.045,7.8,0.204,2023
93,박주찬,NC,0.143,0,4,6,0.67,0,0.00,4.07,0.000,-0.1,0.1,2023
94,오장한,NC,0.143,0,1,0,-,0,0.20,4.25,0.000,0.3,0.148,2023
95,박영빈,NC,0.071,1,5,2,2.50,0,0.17,3.47,0.071,0.0,0.096,2023
96,김시훈,NC,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
97,류진욱,NC,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
98,오태양,NC,0.000,0,0,0,-,0,0.00,3.67,0.000,-0.7,0.0,2023
99,이용찬,NC,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
100,전사민,NC,0.000,0,1,0,-,0,-,2.00,0.000,-0.1,0.0,2023
101,채원후,NC,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
102,한재승,NC,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
103,김정민,SSG,0.500,0,0,0,-,0,0.00,4.00,0.000,0.4,0.35,2023
104,에레디아,SSG,0.323,41,117,129,0.91,12,0.52,3.60,0.137,75.9,0.289,2023
105,하재훈,SSG,0.303,18,32,57,0.56,3,0.36,3.82,0.164,37.7,0.285,2023
106,최정,SSG,0.297,60,84,166,0.51,13,0.68,3.88,0.251,96.3,0.312,2023
107,최항,SSG,0.286,2,4,5,0.80,1,0.42,3.66,0.143,5.0,0.279,2023
108,한유섬,SSG,0.273,24,69,99,0.70,7,0.42,4.02,0.120,51.2,0.258,2023
109,최지훈,SSG,0.268,29,124,165,0.75,4,0.58,3.65,0.089,55.2,0.231,2023
110,김성현,SSG,0.268,15,101,92,1.10,2,0.81,3.60,0.055,34.0,0.228,2023
111,최준우,SSG,0.267,1,24,11,2.18,0,0.80,4.01,0.017,5.8,0.227,2023
112,박성한,SSG,0.266,28,140,145,0.97,7,1.04,4.02,0.100,62.4,0.248,2023
113,강진성,SSG,0.261,10,31,49,0.63,0,0.30,3.68,0.127,15.8,0.235,2023
114,추신수,SSG,0.254,30,105,103,1.02,3,0.82,3.94,0.144,61.8,0.27,2023
115,안상현,SSG,0.241,3,16,13,1.23,0,0.33,3.55,0.052,5.3,0.209,2023
116,오태곤,SSG,0.239,22,65,78,0.83,3,0.27,3.66,0.136,33.5,0.226,2023
117,최상민,SSG,0.235,0,13,7,1.86,0,0.57,3.85,0.000,3.1,0.197,2023
118,최주환,SSG,0.235,44,88,147,0.60,7,0.47,4.26,0.197,58.9,0.248,2023
119,김찬형,SSG,0.229,4,13,14,0.93,0,0.20,3.74,0.125,4.4,0.212,2023
120,김강민,SSG,0.226,5,25,46,0.54,0,0.61,4.22,0.066,16.8,0.224,2023
121,김민식,SSG,0.218,15,61,92,0.66,4,0.54,3.86,0.098,27.4,0.215,2023
122,전의산,SSG,0.201,10,32,36,0.89,3,0.38,4.07,0.134,14.1,0.216,2023
123,조형우,SSG,0.185,7,28,45,0.62,0,0.32,3.64,0.101,8.2,0.18,2023
124,이정범,SSG,0.172,0,12,8,1.50,2,0.33,3.00,0.000,1.3,0.138,2023
125,최경모,SSG,0.150,0,3,9,0.33,0,0.00,3.65,0.000,0.3,0.105,2023
126,이재원,SSG,0.091,1,12,21,0.57,0,0.25,3.56,0.023,-1.8,0.086,2023
127,이흥련,SSG,0.071,1,3,4,0.75,0,0.33,3.47,0.214,0.9,0.156,2023
128,고명준,SSG,0.000,0,1,0,-,0,0.00,4.25,0.000,-0.4,0.0,2023
129,고효준,SSG,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
130,김건웅,SSG,0.000,0,1,0,-,0,0.00,2.67,0.000,-0.3,0.0,2023
131,노경은,SSG,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
132,류효승,SSG,0.000,0,3,0,-,0,-,3.00,0.000,-0.3,0.113,2023
133,문승원,SSG,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
134,백승건,SSG,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
135,서진용,SSG,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
136,이건욱,SSG,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
137,임준섭,SSG,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
138,채현우,SSG,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
139,최민준,SSG,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
140,양의지,두산,0.305,40,87,165,0.53,6,1.02,3.73,0.169,77.7,0.297,2023
141,홍성호,두산,0.292,4,8,12,0.67,1,0.14,3.65,0.083,5.4,0.244,2023
142,정수빈,두산,0.287,27,179,115,1.56,4,1.02,4.21,0.084,78.9,0.262,2023
143,김재호,두산,0.283,16,66,89,0.74,7,1.25,3.85,0.089,35.3,0.262,2023
144,양석환,두산,0.281,49,86,169,0.51,14,0.31,3.98,0.174,81.6,0.263,2023
145,허경민,두산,0.268,31,129,164,0.79,6,1.35,3.73,0.107,55.2,0.241,2023
146,박유연,두산,0.267,2,2,5,0.40,0,0.00,3.50,0.133,1.5,0.22,2023
147,강승호,두산,0.265,31,108,93,1.16,5,0.25,3.94,0.122,49.2,0.239,2023
148,김인태,두산,0.255,6,25,22,1.14,2,0.58,4.10,0.082,12.9,0.246,2023
149,로하스,두산,0.253,47,71,165,0.43,6,0.81,4.11,0.221,67.1,0.274,2023
