,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4,년도
168,주효상,키움,0.190,4,21,22,0.95,2,0.50,3.99,0.048,7.5,0.193,2020
169,박정음,키움,0.186,1,12,9,1.33,1,0.14,3.79,0.047,3.9,0.173,2020
170,김수환,키움,0.182,1,3,1,3.00,0,0.20,4.42,0.091,0.3,0.181,2020
171,모터,키움,0.114,1,9,13,0.69,0,0.10,4.24,0.086,0.8,0.111,2020
172,김동혁,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
173,김병휘,키움,0.000,0,0,0,-,0,0.00,7.00,0.000,-0.1,0.0,2020
174,김상수,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
175,김성민,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
176,김재웅,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
177,김재현,키움,0.000,0,1,0,-,0,0.00,5.00,0.000,-0.3,0.0,2020
178,문찬종,키움,0.000,0,0,1,0.00,0,-,1.00,0.000,-0.1,0.0,2020
179,송우현,키움,0.000,0,3,5,0.60,0,0.50,3.87,0.000,-0.1,0.09,2020
180,신재영,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
181,안우진,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
182,양지율,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
183,양현,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
184,윤정현,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
185,임규빈,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
186,조상우,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
187,조성운,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
188,조영건,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
0,강백호,KT,0.347,57,131,129,1.02,11,1.21,4.20,0.174,117.6,0.333,2021
1,박승욱,KT,0.333,1,3,0,-,0,0.00,3.00,0.167,1.0,0.275,2021
2,김민혁,KT,0.320,9,49,42,1.17,1,0.77,3.82,0.076,26.8,0.277,2021
3,유한준,KT,0.309,21,77,88,0.88,5,1.29,3.86,0.110,48.0,0.289,2021
4,황재균,KT,0.291,28,88,145,0.61,5,0.50,4.02,0.110,65.1,0.262,2021
5,김병희,KT,0.288,8,9,13,0.69,1,0.87,4.00,0.346,15.5,0.364,2021
6,천성호,KT,0.286,1,14,7,2.00,1,0.33,3.43,0.024,5.3,0.24,2021
7,허도환,KT,0.276,8,28,20,1.40,3,0.29,3.77,0.114,13.3,0.25,2021
8,알몬테,KT,0.271,16,60,56,1.07,1,0.44,3.92,0.133,29.3,0.252,2021
9,심우준,KT,0.268,28,92,147,0.63,7,0.49,4.12,0.103,53.4,0.238,2021
10,배정대,KT,0.259,36,121,130,0.93,7,0.49,4.02,0.120,73.6,0.253,2021
11,권동진,KT,0.254,6,14,6,2.33,0,0.60,4.07,0.119,11.5,0.279,2021
12,강민국,KT,0.244,2,20,8,2.50,1,0.50,3.94,0.044,3.6,0.204,2021
13,오윤석,KT,0.244,15,34,43,0.79,0,0.57,3.95,0.140,23.9,0.257,2021
14,호잉,KT,0.239,23,67,83,0.81,8,0.50,3.78,0.178,37.5,0.245,2021
15,조용호,KT,0.236,15,145,102,1.42,5,0.87,4.30,0.037,48.6,0.225,2021
16,신본기,KT,0.236,9,53,36,1.47,1,0.49,3.91,0.063,17.6,0.225,2021
17,장성우,KT,0.231,27,113,117,0.97,10,0.87,3.95,0.143,49.6,0.245,2021
18,김태훈,KT,0.230,6,25,23,1.09,1,0.11,3.51,0.103,7.0,0.198,2021
19,송민섭,KT,0.229,0,8,7,1.14,0,0.55,4.09,0.000,8.7,0.23,2021
20,문상철,KT,0.219,8,17,25,0.68,1,0.24,3.73,0.125,10.1,0.217,2021
21,김건형,KT,0.212,1,13,7,1.86,0,1.00,3.72,0.030,3.5,0.21,2021
22,김준태,KT,0.195,9,27,38,0.71,0,0.45,4.25,0.133,13.9,0.215,2021
23,박경수,KT,0.192,19,41,76,0.54,4,0.45,4.08,0.155,25.3,0.222,2021
24,홍현빈,KT,0.182,0,1,0,-,0,0.00,4.75,0.000,-0.2,0.127,2021
25,이홍구,KT,0.164,1,9,10,0.90,0,0.07,3.83,0.055,0.6,0.14,2021
26,고명성,KT,0.000,0,0,1,0.00,0,-,1.00,0.000,-0.1,0.0,2021
27,고영표,KT,-,0,0,0,-,0,-,6.00,-,0.3,0.45,2021
28,김민수,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
29,김재윤,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
30,박시영,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
31,심재민,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
32,안영명,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
33,유원상,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
34,이대은,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
35,이창재,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
36,조현우,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
37,하준호,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
38,홍창기,LG,0.328,32,138,121,1.14,8,1.15,4.17,0.080,106.4,0.307,2021
39,이상호,LG,0.308,2,20,15,1.33,1,0.10,3.46,0.031,6.0,0.228,2021
40,한석현,LG,0.286,3,3,6,0.50,0,0.43,4.31,0.190,4.3,0.292,2021
41,김현수,LG,0.285,41,156,173,0.90,19,1.83,3.79,0.150,88.7,0.278,2021
42,채은성,LG,0.276,36,89,118,0.75,7,0.48,3.88,0.176,64.6,0.275,2021
43,오지환,LG,0.254,29,142,127,1.12,8,0.66,3.86,0.101,58.2,0.24,2021
44,서건창,LG,0.253,32,154,155,0.99,4,0.88,3.93,0.090,65.6,0.243,2021
45,유강남,LG,0.252,27,120,104,1.15,11,0.33,3.90,0.123,46.9,0.236,2021
46,이재원,LG,0.247,11,30,39,0.77,0,0.29,4.18,0.136,19.8,0.238,2021
47,라모스,LG,0.243,16,36,61,0.59,2,0.42,3.99,0.178,25.2,0.248,2021
48,이영빈,LG,0.243,11,33,29,1.14,4,0.29,3.99,0.101,17.7,0.232,2021
49,정주현,LG,0.238,11,56,50,1.12,1,0.75,3.79,0.099,20.3,0.231,2021
50,문보경,LG,0.230,20,80,72,1.11,1,0.72,4.22,0.133,37.5,0.242,2021
51,문성주,LG,0.228,2,26,21,1.24,1,0.47,3.79,0.051,7.5,0.206,2021
52,김민성,LG,0.222,30,91,121,0.75,1,0.58,4.19,0.128,42.7,0.228,2021
53,이형종,LG,0.218,21,46,76,0.61,3,0.52,4.12,0.172,30.9,0.247,2021
54,이성우,LG,0.212,0,13,5,2.60,0,0.13,3.90,0.000,1.3,0.159,2021
55,이천웅,LG,0.199,9,71,52,1.37,1,1.09,3.89,0.072,13.9,0.205,2021
56,보어,LG,0.170,5,26,30,0.87,3,0.37,4.12,0.110,9.2,0.189,2021
57,김주성,LG,0.167,1,1,1,1.00,0,0.33,4.29,0.500,1.3,0.295,2021
58,김용의,LG,0.148,2,11,8,1.38,0,1.80,3.63,0.074,4.6,0.213,2021
59,안익훈,LG,0.143,1,5,5,1.00,0,0.00,4.13,0.071,0.4,0.166,2021
60,김재성,LG,0.138,4,11,33,0.33,0,0.38,3.58,0.108,3.2,0.155,2021
61,구본혁,LG,0.132,2,12,16,0.75,0,0.43,4.58,0.053,2.1,0.138,2021
62,신민재,LG,0.130,0,8,6,1.33,0,0.67,4.11,0.000,1.1,0.149,2021
63,이주형,LG,0.125,0,2,5,0.40,0,0.14,3.95,0.000,0.4,0.131,2021
64,손호영,LG,0.100,0,2,5,0.40,0,0.50,3.58,0.000,0.4,0.138,2021
65,고우석,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
66,김지용,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
67,김진수,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
68,김호은,LG,0.000,0,4,1,4.00,0,0.00,4.56,0.000,-0.8,0.0,2021
69,류원석,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
70,이상규,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
71,이상영,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
72,이우찬,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
73,이정용,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
74,이찬혁,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
75,장준원,LG,0.000,0,1,2,0.50,0,-,1.00,0.000,-0.3,0.0,2021
