순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,김민혁,KT,0.297,113,448,397,68,118,20,3,3,153,41,7,5,36,0,3,48,4,0.385,0.356,0.741,33,0.284,0.286
2,황재균,KT,0.295,109,457,407,62,120,26,2,6,168,49,3,1,45,1,1,64,15,0.413,0.366,0.779,35,0.314,0.0
3,정준영,KT,0.292,34,55,48,6,14,2,0,0,16,6,4,0,3,0,0,11,1,0.333,0.333,0.666,1,0.214,0.333
4,안치영,KT,0.290,76,136,124,20,36,3,1,0,41,9,3,1,6,0,2,35,1,0.331,0.331,0.662,10,0.276,0.333
5,알포드,KT,0.289,133,547,491,83,142,31,3,15,224,70,0,3,47,1,6,140,6,0.456,0.356,0.812,43,0.303,0.667
6,장성우,KT,0.288,131,464,410,37,118,22,0,11,173,65,3,7,42,1,2,70,12,0.422,0.351,0.773,36,0.267,0.25
7,박병호,KT,0.283,132,493,431,53,122,15,0,18,191,87,0,8,46,2,8,114,9,0.443,0.357,0.800,31,0.34,0.25
8,이호연,KT,0.278,85,234,212,28,59,5,1,3,75,17,1,1,16,0,4,41,6,0.354,0.339,0.693,12,0.222,0.357
9,배정대,KT,0.277,97,361,311,48,86,16,0,2,108,38,4,5,38,1,3,76,2,0.347,0.356,0.703,25,0.293,0.0
10,김상수,KT,0.271,129,512,443,58,120,19,1,3,150,56,8,3,55,0,3,68,9,0.339,0.353,0.692,30,0.336,0.5
11,강백호,KT,0.265,71,271,238,32,63,10,1,8,99,39,0,2,31,4,0,55,1,0.416,0.347,0.763,15,0.345,0.3
12,문상철,KT,0.260,112,330,304,30,79,20,0,9,126,46,1,6,16,1,3,81,4,0.414,0.298,0.712,16,0.219,0.229
13,오윤석,KT,0.251,82,223,199,24,50,13,1,4,77,17,6,0,13,1,5,44,7,0.387,0.313,0.700,17,0.262,0.222
14,박민석,KT,0.250,4,4,4,1,1,0,0,0,1,0,0,0,0,0,0,3,0,0.250,0.250,0.500,0,0.0,0.0
15,조용호,KT,0.248,63,184,161,20,40,2,0,0,42,7,0,0,23,0,0,25,3,0.261,0.342,0.603,9,0.196,0.364
16,홍현빈,KT,0.233,44,86,73,15,17,2,0,0,19,1,0,0,13,0,0,21,2,0.260,0.349,0.609,4,0.067,0.0
17,김준태,KT,0.209,69,136,115,10,24,4,0,3,37,23,1,0,19,0,1,32,3,0.322,0.326,0.648,2,0.4,0.3
18,신본기,KT,0.204,40,75,54,8,11,2,0,1,16,7,1,4,14,0,2,8,3,0.296,0.365,0.661,1,0.0,0.0
19,문상준,KT,0.200,2,5,5,1,1,0,0,0,1,0,0,0,0,0,0,4,0,0.200,0.200,0.400,0,0.0,0.0
19,박경수,KT,0.200,107,221,185,12,37,13,0,1,53,12,5,0,30,1,1,46,2,0.286,0.315,0.601,8,0.139,0.077
21,강현우,KT,0.194,53,111,103,11,20,6,0,1,29,11,1,0,6,0,1,17,3,0.282,0.245,0.527,3,0.206,0.167
22,강민성,KT,0.182,12,27,22,2,4,1,0,0,5,0,1,0,4,0,0,10,0,0.227,0.308,0.535,0,0.333,0.0
23,장준원,KT,0.172,69,104,87,10,15,2,1,1,22,10,3,1,12,0,1,25,1,0.253,0.277,0.530,1,0.208,0.0
24,이상호,KT,0.148,63,60,54,15,8,1,0,0,9,5,4,0,2,0,0,9,2,0.167,0.179,0.346,0,0.231,0.143
25,이시원,KT,0.138,29,32,29,4,4,0,0,0,4,1,1,0,2,0,0,6,0,0.138,0.194,0.332,1,0.111,0.0
26,류현인,KT,0.130,17,24,23,6,3,0,0,0,3,3,0,0,1,0,0,4,0,0.130,0.167,0.297,0,0.25,0.0
26,송민섭,KT,0.130,69,25,23,6,3,0,0,0,3,0,0,0,1,0,1,8,0,0.130,0.200,0.330,0,0.0,0.0
28,손민석,KT,0.100,9,12,10,2,1,0,0,0,1,1,0,0,1,0,1,3,0,0.100,0.250,0.350,0,0.0,0.0
29,김민,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
29,김병준,KT,0.000,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0.000,0,0.0,0.0
29,김병희,KT,0.000,5,9,8,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0.000,0.111,0.111,0,0.0,0.0
29,김영현,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
29,김재윤,KT,-,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
29,문상인,KT,-,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-,1.000,1.000,0,0.0,0.0
29,박영현,KT,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
29,이상동,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
29,이선우,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
29,이채호,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
29,하준호,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
