순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,김민혁,KT,0.297,26,136,100,1.36,8,0.75,3.63,0.088,57.0,0.256
2,황재균,KT,0.295,34,96,128,0.75,7,0.70,3.86,0.118,56.2,0.268
3,정준영,KT,0.292,2,15,8,1.88,0,0.27,3.82,0.042,5.1,0.233
4,안치영,KT,0.290,4,40,14,2.86,2,0.17,3.74,0.040,14.8,0.232
5,알포드,KT,0.289,49,77,135,0.57,11,0.34,4.02,0.167,79.6,0.274
6,장성우,KT,0.288,33,91,138,0.66,4,0.60,3.85,0.134,60.3,0.263
7,박병호,KT,0.283,33,96,107,0.90,14,0.40,3.85,0.160,70.7,0.271
8,이호연,KT,0.278,9,62,51,1.22,4,0.39,3.71,0.075,24.9,0.241
9,배정대,KT,0.277,18,67,87,0.77,1,0.50,3.98,0.071,44.0,0.247
10,김상수,KT,0.271,23,128,130,0.98,6,0.81,4.20,0.068,54.7,0.244
11,강백호,KT,0.265,19,60,62,0.97,6,0.56,4.17,0.151,36.7,0.26
12,문상철,KT,0.260,29,61,89,0.69,6,0.20,3.87,0.155,38.8,0.238
13,오윤석,KT,0.251,18,56,49,1.14,1,0.30,3.80,0.136,22.3,0.238
14,박민석,KT,0.250,0,0,0,-,0,0.00,5.75,0.000,0.2,0.175
15,조용호,KT,0.248,2,46,50,0.92,0,0.92,4.26,0.012,16.8,0.219
16,홍현빈,KT,0.233,2,14,21,0.67,0,0.62,4.55,0.027,7.8,0.222
17,김준태,KT,0.209,7,29,30,0.97,0,0.59,4.10,0.113,13.2,0.227
18,신본기,KT,0.204,3,22,17,1.29,0,1.75,4.29,0.093,8.5,0.238
19,문상준,KT,0.200,0,0,0,-,0,0.00,4.80,0.000,0.1,0.14
19,박경수,KT,0.200,14,40,62,0.65,1,0.65,4.40,0.086,18.5,0.213
21,강현우,KT,0.194,7,39,27,1.44,1,0.35,3.98,0.087,5.6,0.181
22,강민성,KT,0.182,1,2,6,0.33,0,0.40,3.93,0.045,1.9,0.195
23,장준원,KT,0.172,4,25,23,1.09,1,0.48,4.20,0.080,7.8,0.188
24,이상호,KT,0.148,1,20,17,1.18,1,0.22,3.43,0.019,0.5,0.122
25,이시원,KT,0.138,0,13,6,2.17,0,0.33,4.25,0.000,0.1,0.122
26,류현인,KT,0.130,0,10,6,1.67,0,0.25,3.83,0.000,0.0,0.108
26,송민섭,KT,0.130,0,6,6,1.00,0,0.13,4.12,0.000,0.5,0.123
28,손민석,KT,0.100,0,5,1,5.00,0,0.33,3.92,0.000,0.3,0.138
29,김민,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
29,김병준,KT,0.000,0,0,0,-,0,0.00,3.50,0.000,-0.2,0.0
29,김병희,KT,0.000,0,2,2,1.00,0,0.25,3.89,0.000,-0.4,0.05
29,김영현,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
29,김재윤,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
29,문상인,KT,-,0,0,0,-,0,-,4.00,-,0.3,0.45
29,박영현,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
29,이상동,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
29,이선우,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
29,이채호,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
29,하준호,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
