º¯¿ß,º±ºˆ∏Ì,∆¿∏Ì,≈∏¿≤,∞Ê±‚,≈∏ºÆ,≈∏ºˆ,µÊ¡°,æ»≈∏,2∑Á≈∏,3∑Á≈∏,»®∑±,∑Á≈∏,≈∏¡°,»Òª˝π¯∆Æ,»Òª˝«√∂Û¿Ã,∫º≥›,∞Ì¿«4±∏,ªÁ±∏,ªÔ¡¯,∫¥ªÏ≈∏,¿Â≈∏¿≤,√‚∑Á¿≤,√‚∑Á¿≤+¿Â≈∏¿≤,∏÷∆º»˜∆Æ,µÊ¡°±«≈∏¿≤,¥Î≈∏≈∏¿≤
1,¿±¡§∫Û,ªÔº∫,0.417,12,40,36,7,15,2,0,3,26,7,0,0,4,0,0,12,0,0.722,0.475,1.197,5,0.2,0.0
2,¿Ã¿Á«ˆ,ªÔº∫,0.320,45,189,169,31,54,11,0,7,86,28,0,1,19,1,0,32,1,0.509,0.386,0.895,16,0.367,0.5
3,±∏¿⁄øÌ,ªÔº∫,0.311,73,325,289,48,90,22,1,16,162,59,0,2,26,1,8,45,3,0.561,0.382,0.943,25,0.313,0.0
4,∏∆≈∞≥Õ,ªÔº∫,0.302,63,281,245,27,74,12,0,4,98,33,0,1,34,3,1,28,6,0.400,0.388,0.788,23,0.29,0.0
5,±Ë«Â∞Ô,ªÔº∫,0.301,58,146,133,24,40,6,0,6,64,19,1,0,10,0,2,26,3,0.481,0.359,0.840,9,0.371,0.444
6,±Ë¡ˆ¬˘,ªÔº∫,0.298,74,288,245,48,73,9,0,3,91,20,7,1,28,0,7,21,3,0.371,0.384,0.755,17,0.255,0.3
7,∑˘¡ˆ«ı,ªÔº∫,0.296,45,164,142,21,42,5,0,1,50,22,1,2,16,0,3,33,2,0.352,0.374,0.726,13,0.304,0.0
8,¿Ã∫¥«Â,ªÔº∫,0.295,54,102,88,4,26,4,0,1,33,6,1,0,11,0,2,31,0,0.375,0.386,0.761,6,0.15,0.333
9,∞≠πŒ»£,ªÔº∫,0.272,73,222,191,22,52,6,1,4,72,28,0,3,23,1,5,24,8,0.377,0.360,0.737,10,0.273,0.2
10,±Ëøµøı,ªÔº∫,0.269,75,317,279,41,75,11,2,16,138,44,1,2,33,0,2,91,2,0.495,0.348,0.843,19,0.306,0.0
11,±Ë≈¬»∆,ªÔº∫,0.267,9,16,15,2,4,1,0,0,5,1,0,0,0,0,1,2,1,0.333,0.313,0.646,1,0.2,0.4
12,¿Ãº∫±‘,ªÔº∫,0.251,72,196,167,29,42,5,0,12,83,33,4,2,14,0,9,52,2,0.497,0.339,0.836,9,0.308,0.214
13,±Ë¿ÁªÛ,ªÔº∫,0.238,35,91,84,13,20,4,0,2,30,12,1,1,5,0,0,23,0,0.357,0.278,0.635,4,0.222,0.25
14,±Ëº∫¿±,ªÔº∫,0.222,28,77,63,13,14,2,0,0,16,6,3,2,8,0,1,15,1,0.254,0.311,0.565,3,0.3,0.333
15,æ»¡÷«¸,ªÔº∫,0.217,28,70,60,10,13,2,0,0,15,3,3,0,6,0,1,14,1,0.250,0.299,0.549,3,0.231,0.0
16,π⁄∫¥»£,ªÔº∫,0.207,67,213,174,22,36,3,0,8,63,24,0,0,32,0,7,63,11,0.362,0.352,0.714,6,0.158,0.222
17,±Ë¿Áº∫,ªÔº∫,0.200,10,23,20,3,4,1,0,0,5,1,0,0,3,0,0,5,1,0.250,0.304,0.554,1,0.333,0.0
17,¿Ã√¢øÎ,ªÔº∫,0.200,4,10,10,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0.200,0.200,0.400,0,0.167,0.0
19,±Ëµøø±,ªÔº∫,0.182,6,14,11,1,2,1,0,0,3,2,0,1,1,1,1,5,0,0.273,0.286,0.559,1,0.0,0.0
20,±Ë¿Á«ı,ªÔº∫,0.163,24,47,43,5,7,2,1,0,11,6,0,2,2,0,0,18,2,0.256,0.191,0.447,2,0.095,0.0
21,¿¸∫¥øÏ,ªÔº∫,0.162,20,47,37,5,6,2,0,0,8,3,0,1,8,0,1,16,0,0.216,0.319,0.535,1,0.2,0.0
22,±Ë«ˆ¡ÿ,ªÔº∫,0.154,32,89,78,9,12,6,1,0,20,6,1,2,6,0,2,25,4,0.256,0.227,0.483,2,0.125,0.4
23,±Ëµø¡¯,ªÔº∫,0.143,24,32,28,5,4,0,0,1,7,2,2,0,2,0,0,7,0,0.250,0.200,0.450,0,0.333,0.25
24,∞≠«—øÔ,ªÔº∫,0.095,18,25,21,1,2,0,0,0,2,1,3,1,0,0,0,6,1,0.095,0.091,0.186,0,0.167,0.0
25,±Ë»£¡¯,ªÔº∫,0.083,18,27,24,1,2,0,0,0,2,3,0,1,1,0,1,9,1,0.083,0.148,0.231,0,0.125,0.0
26,∞¯πŒ±‘,ªÔº∫,0.077,11,16,13,1,1,0,0,1,4,2,0,0,1,0,2,8,1,0.308,0.250,0.558,0,0.0,0.0
27,±Ë¥ÎøÏ,ªÔº∫,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,±Ë¿Á¿±,ªÔº∫,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,±Ë≈¬»∆,ªÔº∫,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,∑˘Ω¬πŒ,ªÔº∫,0.000,5,3,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0.000,0.667,0.667,0,0.0,0.0
27,æÁøÏ«ˆ,ªÔº∫,0.000,3,11,9,0,0,0,0,0,0,1,1,0,1,0,0,4,0,0.000,0.100,0.100,0,0.0,0.0
27,ø¿Ω¬»Ø,ªÔº∫,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,¿∞º±ø±,ªÔº∫,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,¿ÃªÛπŒ,ªÔº∫,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,√÷¡ˆ±§,ªÔº∫,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
