¼øÀ§,¼±¼ö¸í,ÆÀ¸í,Å¸À²,ÀåÅ¸,¶¥º¼,¶á°ø,¶¥º¼/¶á°ø,°á½ÂÅ¸,º¼³Ý/»ïÁø,Åõ±¸¼ö/Å¸¼®,¼ø¼öÀåÅ¸À²,ÃßÁ¤µæÁ¡,(1.8xÃâ·çÀ²+ÀåÅ¸À²)/4
1,±èÇå°ï,»ï¼º,0.297,26,138,116,1.19,1,0.90,3.90,0.090,54.5,0.259
2,·¯ÇÁ,»ï¼º,0.292,59,129,127,1.02,10,0.92,4.08,0.222,93.5,0.307
3,¹ÚÂùµµ,»ï¼º,0.281,1,8,5,1.60,0,0.20,3.65,0.031,2.8,0.224
4,Àª¸®¾ö½¼,»ï¼º,0.273,12,28,35,0.80,3,0.26,3.88,0.136,20.1,0.249
5,±è»ó¼ö,»ï¼º,0.271,27,145,133,1.09,4,0.75,3.95,0.083,63.8,0.25
6,±¸ÀÚ¿í,»ï¼º,0.267,48,110,156,0.71,9,0.43,3.65,0.177,71.3,0.258
7,ÀÌÇÐÁÖ,»ï¼º,0.262,24,81,118,0.69,10,0.36,3.71,0.106,51.5,0.242
8,¹ÚÇÑÀÌ,»ï¼º,0.257,5,16,23,0.70,2,0.53,4.01,0.122,10.4,0.244
9,¹Ú°è¹ü,»ï¼º,0.256,13,40,43,0.93,1,0.49,4.10,0.131,24.5,0.256
10,ÀÌ¼º±Ô,»ï¼º,0.256,4,8,8,1.00,1,0.13,3.93,0.186,5.3,0.247
11,ÃÖ¿µÁø,»ï¼º,0.251,21,74,67,1.10,2,0.30,3.71,0.127,27.2,0.228
12,ÀÌ¿ø¼®,»ï¼º,0.246,39,87,145,0.60,4,0.59,4.00,0.195,59.7,0.257
13,°ø¹Î±Ô,»ï¼º,0.245,4,12,10,1.20,0,0.33,4.17,0.189,8.2,0.258
14,¹ÚÇØ¹Î,»ï¼º,0.239,28,152,154,0.99,2,0.71,4.10,0.089,59.8,0.225
15,¹é½Â¹Î,»ï¼º,0.238,1,10,11,0.91,0,0.17,4.44,0.024,2.6,0.186
16,¼ÛÁØ¼®,»ï¼º,0.235,4,16,10,1.60,0,0.14,3.66,0.118,4.3,0.211
17,°­¹ÎÈ£,»ï¼º,0.234,33,102,90,1.13,4,0.43,3.91,0.171,44.6,0.243
18,±èÀÀ¹Î,»ï¼º,0.231,1,1,3,0.33,0,0.00,3.46,0.077,0.4,0.181
19,±èÈ£Àç,»ï¼º,0.219,1,10,8,1.25,0,0.14,3.82,0.031,1.1,0.171
20,±èµ¿¿±,»ï¼º,0.215,11,49,59,0.83,2,0.26,3.35,0.123,18.7,0.204
21,±è¹Î¼ö,»ï¼º,0.205,1,7,9,0.78,0,0.06,3.88,0.026,2.0,0.157
22,±èµµÈ¯,»ï¼º,0.204,8,15,24,0.63,1,0.22,4.18,0.129,9.0,0.203
23,¼ÕÁÖÀÎ,»ï¼º,0.194,1,11,8,1.38,0,0.33,3.49,0.097,1.0,0.181
24,¹Ú½Â±Ô,»ï¼º,0.190,0,5,5,1.00,0,0.29,3.57,0.000,1.0,0.165
25,±è¼ºÈÆ,»ï¼º,0.182,3,30,22,1.36,0,0.64,3.50,0.078,5.2,0.178
26,ÀÌ¼º°ï,»ï¼º,0.179,3,10,7,1.43,0,0.00,3.61,0.107,1.0,0.152
27,ÃÖ¼±È£,»ï¼º,0.167,0,1,4,0.25,0,-,3.38,0.000,0.9,0.211
28,±Ç¿ÀÁØ,»ï¼º,-,0,0,0,-,0,-,-,-,0.0,0.0
28,±èÀçÇö,»ï¼º,0.000,0,1,0,-,0,0.00,6.00,0.000,-0.2,0.0
28,¾ç¿ìÇö,»ï¼º,0.000,0,1,0,-,0,-,1.00,0.000,-0.1,0.0
28,ÀÌÇöµ¿,»ï¼º,0.000,0,1,0,-,0,0.00,3.00,0.000,-0.2,0.0
28,ÃÖÁö±¤,»ï¼º,-,0,0,0,-,0,-,-,-,0.0,0.0
