º¯¿ß,º±ºˆ∏Ì,∆¿∏Ì,≈∏¿≤,∞Ê±‚,≈∏ºÆ,≈∏ºˆ,µÊ¡°,æ»≈∏,2∑Á≈∏,3∑Á≈∏,»®∑±,∑Á≈∏,≈∏¡°,»Òª˝π¯∆Æ,»Òª˝«√∂Û¿Ã,∫º≥›,∞Ì¿«4±∏,ªÁ±∏,ªÔ¡¯,∫¥ªÏ≈∏,¿Â≈∏¿≤,√‚∑Á¿≤,√‚∑Á¿≤+¿Â≈∏¿≤,∏÷∆º»˜∆Æ,µÊ¡°±«≈∏¿≤,¥Î≈∏≈∏¿≤
1,±∏¿⁄øÌ,ªÔº∫,0.336,119,515,453,65,152,37,1,11,224,71,2,3,53,2,4,81,5,0.494,0.407,0.901,50,0.395,0.0
2,±Ëº∫¿±,ªÔº∫,0.314,101,272,245,40,77,4,6,2,99,28,4,5,14,0,4,35,2,0.404,0.354,0.758,24,0.293,0.222
3,±Ë¡ˆ¬˘,ªÔº∫,0.292,99,355,291,59,85,4,2,1,96,18,7,0,48,0,9,36,1,0.33,0.408,0.738,22,0.274,0.167
4,∞≠πŒ»£,ªÔº∫,0.29,125,495,434,60,126,19,0,16,193,77,1,5,49,4,6,65,17,0.445,0.366,0.811,32,0.301,0.0
5,««∑º∂Û,ªÔº∫,0.285,139,605,557,66,159,28,1,16,237,80,0,2,42,5,4,69,20,0.425,0.339,0.764,43,0.253,0.0
6,±Ë«ˆ¡ÿ,ªÔº∫,0.275,109,479,433,62,119,10,6,3,150,46,8,3,30,0,5,84,5,0.346,0.327,0.673,28,0.288,0.0
7,∑˘¡ˆ«ı,ªÔº∫,0.268,132,522,455,63,122,11,1,2,141,45,10,5,46,1,6,73,12,0.31,0.34,0.65,35,0.271,0.167
8,±Ëµø¡¯,ªÔº∫,0.262,44,137,122,14,32,7,0,0,39,8,3,2,9,0,1,26,4,0.32,0.313,0.633,7,0.25,0.333
9,±Ëµøø±,ªÔº∫,0.255,69,182,165,20,42,7,0,5,64,18,0,2,13,0,2,29,8,0.388,0.313,0.701,8,0.186,0.148
10,º€¡ÿºÆ,ªÔº∫,0.25,7,8,8,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0.25,0.25,0.5,0,0.0,0.5
