순위,선수명,팀명,포지션,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
58,육선엽,삼성,투수,4,0,6 2/3,0,0,2,0,0,1.000,0,0,0,-
58,홍원표,삼성,투수,4,0,6 1/3,0,0,2,3,0,1.000,0,0,0,-
64,강한울,삼성,유격수,3,0,3,0,0,1,0,0,1.000,0,0,0,-
64,김헌곤,삼성,중견수,3,1,10,0,0,0,0,0,-,0,0,0,-
64,백정현,삼성,투수,3,3,13 1/3,0,0,2,2,1,1.000,0,0,0,-
64,양우현,삼성,2루수,3,3,27,0,0,6,10,3,1.000,0,0,0,-
64,윤정빈,삼성,좌익수,3,2,19 1/3,0,0,4,0,0,1.000,0,0,0,-
64,이재익,삼성,투수,3,0,2 2/3,0,0,0,0,0,-,0,0,0,-
70,공민규,삼성,1루수,2,0,5,0,0,5,2,0,1.000,0,0,0,-
70,김재상,삼성,3루수,2,0,3,0,0,0,1,0,1.000,0,0,0,-
70,김태훈,삼성,좌익수,2,0,3 2/3,0,0,0,0,0,-,0,0,0,-
70,김현준,삼성,좌익수,2,2,12 1/3,0,0,1,0,0,1.000,0,0,0,-
70,안주형,삼성,3루수,2,0,3,0,0,1,2,0,1.000,0,0,0,-
70,이창용,삼성,1루수,2,2,15,1,0,16,0,0,0.941,0,0,0,-
76,강한울,삼성,1루수,1,0,1,0,0,1,0,0,1.000,0,0,0,-
76,김성윤,삼성,좌익수,1,1,8,0,0,3,0,0,1.000,0,0,0,-
76,김재상,삼성,유격수,1,0,1,0,0,0,2,0,1.000,0,0,0,-
76,김재성,삼성,1루수,1,1,5,1,0,3,0,1,0.750,0,0,0,-
76,김호진,삼성,1루수,1,0,1,0,0,0,0,0,-,0,0,0,-
76,김호진,삼성,2루수,1,0,2,0,0,1,0,0,1.000,0,0,0,-
76,윤정빈,삼성,1루수,1,0,3,0,0,1,0,1,1.000,0,0,0,-
76,이창용,삼성,3루수,1,1,4,0,0,0,1,0,1.000,0,0,0,-
76,장필준,삼성,투수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
76,전병우,삼성,1루수,1,1,6,0,0,4,0,0,1.000,0,0,0,-
76,홍정우,삼성,투수,1,0,1,0,0,0,0,0,-,0,0,0,-
