º¯¿ß,º±ºˆ∏Ì,∆¿∏Ì,≈∏¿≤,∞Ê±‚,≈∏ºÆ,≈∏ºˆ,µÊ¡°,æ»≈∏,2∑Á≈∏,3∑Á≈∏,»®∑±,∑Á≈∏,≈∏¡°,»Òª˝π¯∆Æ,»Òª˝«√∂Û¿Ã,∫º≥›,∞Ì¿«4±∏,ªÁ±∏,ªÔ¡¯,∫¥ªÏ≈∏,¿Â≈∏¿≤,√‚∑Á¿≤,√‚∑Á¿≤+¿Â≈∏¿≤,∏÷∆º»˜∆Æ,µÊ¡°±«≈∏¿≤,¥Î≈∏≈∏¿≤
1,±Ëº∫«•,ªÔº∫,0.333,39,24,18,10,6,0,0,0,6,1,1,0,5,0,0,7,0,0.333,0.478,0.811,1,0.25,0.0
2,±∏¿⁄øÌ,ªÔº∫,0.306,139,610,543,107,166,30,10,22,282,88,1,12,48,3,6,98,9,0.519,0.361,0.880,45,0.283,0.0
3,π⁄«ÿπŒ,ªÔº∫,0.291,127,542,454,78,132,22,1,5,171,54,9,7,69,2,3,82,3,0.377,0.383,0.760,36,0.327,0.0
4,∞≠πŒ»£,ªÔº∫,0.291,123,462,406,55,118,22,0,18,194,67,0,7,45,4,4,53,18,0.478,0.361,0.839,34,0.25,0.25
5,««∑º∂Û,ªÔº∫,0.286,140,621,553,102,158,25,2,29,274,97,0,3,57,2,8,89,8,0.495,0.359,0.854,52,0.288,0.0
6,ø¿¿Á¿œ,ªÔº∫,0.285,120,484,418,64,119,20,0,25,214,97,0,8,58,8,0,106,5,0.512,0.366,0.878,36,0.276,0.0
7,±Ë«Â∞Ô,ªÔº∫,0.281,118,364,317,38,89,8,2,4,113,27,3,5,34,0,5,46,9,0.356,0.355,0.711,24,0.217,0.25
8,√÷øµ¡¯,ªÔº∫,0.281,44,63,57,9,16,1,2,1,24,6,0,0,5,0,1,12,1,0.421,0.349,0.770,3,0.267,0.222
9,±Ë¡ˆ¬˘,ªÔº∫,0.274,120,336,296,50,81,6,0,1,90,26,10,3,27,0,0,31,0,0.304,0.331,0.635,20,0.278,0.333
10,±ËπŒºˆ,ªÔº∫,0.263,47,87,76,9,20,5,0,3,34,13,2,2,6,0,1,13,2,0.447,0.318,0.765,5,0.217,0.0
11,∞≠«—øÔ,ªÔº∫,0.260,124,258,223,25,58,5,0,0,63,27,3,3,29,0,0,58,5,0.283,0.341,0.624,8,0.339,0.348
12,±Ë«ˆ¡ÿ,ªÔº∫,0.250,13,4,4,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0.250,0.250,0.500,0,0.0,0.0
13,±Ëµøø±,ªÔº∫,0.238,69,203,185,20,44,9,0,4,65,24,0,4,10,0,4,42,2,0.351,0.286,0.637,10,0.258,0.111
14,±ËªÛºˆ,ªÔº∫,0.235,132,496,429,46,101,17,1,3,129,42,8,4,52,0,3,51,14,0.301,0.320,0.621,24,0.223,0.333
15,º€¡ÿºÆ,ªÔº∫,0.235,19,55,51,5,12,2,0,2,20,4,0,0,3,0,1,13,1,0.392,0.291,0.683,3,0.188,0.0
16,¿Ãø¯ºÆ,ªÔº∫,0.231,131,480,399,40,92,19,0,9,138,59,2,8,60,2,11,80,11,0.346,0.341,0.687,18,0.309,0.25
17,±Ë»£¿Á,ªÔº∫,0.227,87,90,75,9,17,2,0,0,19,7,3,1,9,0,2,14,0,0.253,0.322,0.575,0,0.333,0.333
18,ø¿º±¡¯,ªÔº∫,0.214,23,46,42,5,9,0,0,0,9,2,0,0,3,0,1,8,2,0.214,0.283,0.497,1,0.154,1.0
19,¿Ã«–¡÷,ªÔº∫,0.206,66,174,155,17,32,8,0,4,52,20,4,0,14,0,1,61,3,0.335,0.276,0.611,9,0.244,0.0
20,π⁄Ω¬±‘,ªÔº∫,0.182,59,78,66,13,12,1,0,3,22,5,1,0,9,0,2,9,4,0.333,0.299,0.632,1,0.143,0.222
21,±Ëº∫¿±,ªÔº∫,0.167,30,19,18,7,3,0,0,0,3,2,0,1,0,0,0,5,0,0.167,0.158,0.325,0,0.4,0.0
22,±Ëµµ»Ø,ªÔº∫,0.146,25,46,41,1,6,2,0,0,8,1,1,0,2,0,2,20,0,0.195,0.222,0.417,1,0.0,0.0
23,±«¡§øı,ªÔº∫,0.000,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0
23,±Ë¿±ºˆ,ªÔº∫,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
23,±Ë¿¿πŒ,ªÔº∫,0.000,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0
23,≥Î∞«øÏ,ªÔº∫,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
23,πÆøÎ¿Õ,ªÔº∫,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
23,πÈΩ¬πŒ,ªÔº∫,0.000,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0.000,0,0.0,0.0
23,æ»¡÷«¸,ªÔº∫,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
23,ø¿Ω¬»Ø,ªÔº∫,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
