순위,선수명,팀명,타율,타수,안타,2루타,3루타,홈런,타점,볼넷,사구,삼진,병살타,타순
1,최정,SSG,1.000,1,1,0,0,0,0,0,0,0,0,1번
2,최경모,SSG,0.500,2,1,0,0,0,0,0,0,1,0,1번
3,박성한,SSG,0.375,8,3,0,0,0,0,0,0,0,0,1번
4,라가레스,SSG,0.306,36,11,1,0,1,7,2,1,2,1,1번
5,추신수,SSG,0.259,398,103,19,1,16,57,69,13,98,6,1번
6,최지훈,SSG,0.255,94,24,5,0,0,8,5,2,15,0,1번
7,김강민,SSG,0.222,9,2,0,0,0,0,0,0,4,0,1번
8,오태곤,SSG,0.200,10,2,0,0,0,2,1,0,4,0,1번
8,하재훈,SSG,0.200,5,1,1,0,0,0,0,1,3,0,1번
10,오준혁,SSG,0.167,6,1,0,0,0,0,0,0,0,1,1번
11,김민식,SSG,0.000,1,0,0,0,0,0,0,0,0,0,1번
11,전의산,SSG,0.000,5,0,0,0,0,0,0,0,4,0,1번
11,조형우,SSG,-,0,0,0,0,0,0,1,0,0,0,1번
11,최주환,SSG,0.000,1,0,0,0,0,0,1,0,0,0,1번
11,최항,SSG,0.000,1,0,0,0,0,0,0,0,1,0,1번
11,크론,SSG,0.000,2,0,0,0,0,0,0,0,2,0,1번
1,오준혁,SSG,0.364,11,4,1,0,0,0,0,0,3,2,2번
2,라가레스,SSG,0.333,3,1,1,0,0,2,0,0,0,0,2번
2,이정범,SSG,0.333,3,1,0,0,0,0,0,0,1,0,2번
4,최지훈,SSG,0.309,453,140,24,2,10,49,40,4,61,7,2번
5,김강민,SSG,0.2,15,3,2,0,0,0,2,1,3,0,2번
5,박성한,SSG,0.2,15,3,0,0,0,1,3,0,1,1,2번
5,오태곤,SSG,0.2,20,4,1,0,0,0,1,0,5,0,2번
5,최주환,SSG,0.2,25,5,4,0,0,7,1,0,3,0,2번
9,전의산,SSG,0.182,22,4,2,0,0,2,3,0,7,0,2번
10,안상현,SSG,0.167,6,1,0,0,0,0,0,0,0,1,2번
11,한유섬,SSG,0.143,7,1,0,0,0,0,1,0,4,0,2번
12,김성현,SSG,0.083,12,1,1,0,0,0,0,0,2,2,2번
13,이현석,SSG,0.0,1,0,0,0,0,0,0,0,1,0,2번
13,전경원,SSG,0.0,1,0,0,0,0,0,0,0,0,0,2번
13,최항,SSG,0.0,3,0,0,0,0,0,0,0,2,0,2번
13,하재훈,SSG,0.0,3,0,0,0,0,0,0,0,3,0,2번
1,안상현,SSG,1.000,1,1,0,0,1,1,1,0,0,0,3번
1,이재원,SSG,1.000,1,1,0,0,0,2,0,0,0,0,3번
3,오태곤,SSG,0.571,7,4,1,0,1,2,1,1,1,0,3번
4,한유섬,SSG,0.400,5,2,1,0,0,0,2,0,2,0,3번
5,김강민,SSG,0.333,27,9,1,0,1,3,1,1,7,0,3번
6,추신수,SSG,0.286,7,2,0,0,0,1,2,0,0,0,3번
7,최정,SSG,0.279,333,93,17,0,20,71,53,14,79,3,3번
8,최경모,SSG,0.250,12,3,0,0,0,1,0,0,3,0,3번
8,하재훈,SSG,0.250,12,3,0,0,2,2,0,0,3,0,3번
10,라가레스,SSG,0.217,23,5,0,0,0,2,2,0,3,1,3번
11,최주환,SSG,0.214,70,15,3,0,3,11,8,0,12,1,3번
12,전의산,SSG,0.200,5,1,0,0,0,2,2,0,0,0,3번
13,김성현,SSG,0.182,11,2,1,0,0,1,2,0,0,0,3번
13,박성한,SSG,0.182,33,6,0,1,0,3,4,0,7,1,3번
15,석정우,SSG,0.000,1,0,0,0,0,0,0,0,0,0,3번
15,최상민,SSG,-,0,0,0,0,0,0,1,0,0,0,3번
15,최준우,SSG,0.000,3,0,0,0,0,0,0,0,1,0,3번
15,최항,SSG,0.000,2,0,0,0,0,0,0,0,0,0,3번
15,크론,SSG,0.000,3,0,0,0,0,0,0,0,0,1,3번
1,하재훈,SSG,0.750,4,3,0,1,0,1,1,0,1,0,4번
2,김강민,SSG,0.500,4,2,2,0,0,1,0,0,2,0,4번
2,오태곤,SSG,0.500,4,2,0,1,0,1,0,0,0,0,4번
4,크론,SSG,0.400,20,8,0,0,1,2,1,0,4,1,4번
5,라가레스,SSG,0.333,3,1,0,0,0,0,1,0,0,0,4번
5,최상민,SSG,0.333,3,1,0,0,0,0,0,0,1,0,4번
7,한유섬,SSG,0.250,360,90,28,1,12,78,48,13,109,5,4번
8,전의산,SSG,0.243,37,9,2,0,2,7,1,0,15,0,4번
9,최정,SSG,0.205,78,16,4,0,6,16,12,5,17,3,4번
10,최주환,SSG,0.161,31,5,0,0,2,2,4,0,8,1,4번
11,김민식,SSG,0.000,1,0,0,0,0,0,0,0,0,0,4번
11,김성현,SSG,0.000,1,0,0,0,0,0,0,0,0,0,4번
11,안상현,SSG,-,0,0,0,0,0,1,1,1,0,0,4번
11,오준혁,SSG,0.000,2,0,0,0,0,0,1,0,0,0,4번
11,최경모,SSG,0.000,1,0,0,0,0,0,0,0,0,0,4번
11,최지훈,SSG,-,0,0,0,0,0,1,0,0,0,0,4번
1,김강민,SSG,0.379,29,11,2,0,1,2,3,0,7,0,5번
2,라가레스,SSG,0.364,33,12,1,0,1,6,3,0,4,1,5번
3,오준혁,SSG,0.333,3,1,1,0,0,3,1,0,1,0,5번
3,최경모,SSG,0.333,3,1,0,0,0,0,0,0,1,0,5번
5,박성한,SSG,0.324,176,57,10,0,0,27,21,1,32,1,5번
6,한유섬,SSG,0.319,47,15,2,0,5,12,8,2,9,1,5번
7,전의산,SSG,0.306,49,15,3,0,3,10,6,0,17,0,5번
8,오태곤,SSG,0.25,4,1,0,0,1,1,1,0,0,0,5번
8,이정범,SSG,0.25,4,1,0,0,0,0,0,0,0,0,5번
10,크론,SSG,0.24,146,35,9,0,8,24,6,2,46,1,5번
11,최주환,SSG,0.229,48,11,0,1,3,10,1,2,8,2,5번
12,하재훈,SSG,0.071,14,1,0,0,0,1,2,0,7,0,5번
13,김성현,SSG,0.0,2,0,0,0,0,0,0,0,0,0,5번
13,김재현,SSG,0.0,1,0,0,0,0,0,0,0,1,0,5번
13,최상민,SSG,0.0,1,0,0,0,0,0,1,0,0,0,5번
1,추신수,SSG,1.0,1,1,1,0,0,0,0,0,0,0,6번
2,라가레스,SSG,0.35,60,21,6,0,4,10,4,0,6,1,6번
3,최지훈,SSG,0.333,3,1,0,1,0,0,1,0,0,0,6번
4,박성한,SSG,0.322,118,38,9,1,1,15,19,1,14,1,6번
5,한유섬,SSG,0.286,28,8,2,0,2,6,6,1,10,2,6번
6,전의산,SSG,0.275,80,22,6,1,7,21,7,0,24,5,6번
7,오준혁,SSG,0.25,12,3,0,0,0,2,2,0,2,1,6번
8,오태곤,SSG,0.231,39,9,2,0,0,2,2,3,8,1,6번
9,김강민,SSG,0.188,32,6,2,0,0,1,7,1,9,0,6번
10,크론,SSG,0.167,66,11,4,1,2,9,2,1,15,0,6번
11,하재훈,SSG,0.158,19,3,1,0,1,1,1,0,7,0,6번
12,김민식,SSG,0.125,8,1,0,1,0,2,1,0,1,0,6번
13,최주환,SSG,0.122,49,6,2,0,0,2,3,1,10,0,6번
14,김성현,SSG,0.071,14,1,0,1,0,1,3,0,2,0,6번
15,김규남,SSG,0.0,3,0,0,0,0,0,0,0,1,1,6번
15,김재현,SSG,0.0,1,0,0,0,0,0,0,0,0,0,6번
15,석정우,SSG,0.0,1,0,0,0,0,0,0,0,0,0,6번
15,안상현,SSG,0.0,2,0,0,0,0,0,0,0,0,0,6번
15,이흥련,SSG,0.0,1,0,0,0,0,0,0,0,0,1,6번
15,조형우,SSG,0.0,1,0,0,0,0,0,0,0,1,0,6번
15,최항,SSG,0.0,2,0,0,0,0,0,0,1,1,0,6번
1,석정우,SSG,0.5,2,1,0,0,0,0,0,0,1,0,7번
1,최경모,SSG,0.5,4,2,0,0,0,1,0,0,1,0,7번
1,한유섬,SSG,0.5,8,4,0,0,2,3,1,0,2,0,7번
4,김강민,SSG,0.379,29,11,1,0,3,7,1,0,3,0,7번
5,최주환,SSG,0.314,35,11,3,1,0,4,6,1,7,1,7번
6,라가레스,SSG,0.286,21,6,0,0,0,5,2,0,3,0,7번
7,박성한,SSG,0.275,138,38,5,1,1,10,13,0,27,1,7번
8,김성현,SSG,0.247,73,18,2,0,0,7,8,1,9,4,7번
9,오태곤,SSG,0.229,105,24,4,0,1,6,8,3,26,2,7번
10,하재훈,SSG,0.225,40,9,2,0,3,5,0,0,12,0,7번
11,전의산,SSG,0.179,39,7,2,0,1,2,5,0,16,1,7번
12,김민식,SSG,0.143,7,1,0,0,0,0,1,0,3,0,7번
12,오준혁,SSG,0.143,7,1,0,0,0,0,1,0,1,0,7번
14,김규남,SSG,0.0,2,0,0,0,0,0,0,0,1,0,7번
14,안상현,SSG,0.0,7,0,0,0,0,0,0,0,4,0,7번
14,이정범,SSG,0.0,1,0,0,0,0,0,0,0,0,0,7번
14,조형우,SSG,0.0,3,0,0,0,0,0,0,0,0,0,7번
14,최상민,SSG,0.0,1,0,0,0,0,1,1,0,0,0,7번
14,최준우,SSG,0.0,1,0,0,0,0,0,0,0,0,0,7번
14,최항,SSG,0.0,3,0,0,0,0,0,0,0,2,0,7번
14,추신수,SSG,0.0,1,0,0,0,0,0,0,0,0,0,7번
14,크론,SSG,0.0,4,0,0,0,0,0,0,0,0,0,7번
1,전의산,SSG,1.0,1,1,0,0,0,0,0,0,0,0,8번
2,최준우,SSG,0.5,2,1,0,0,0,1,1,0,0,0,8번
2,한유섬,SSG,0.5,2,1,0,0,0,1,0,0,0,0,8번
4,김강민,SSG,0.429,14,6,0,0,0,3,1,0,2,0,8번
5,최지훈,SSG,0.417,12,5,2,1,0,2,0,1,0,0,8번
6,최주환,SSG,0.346,26,9,2,0,1,5,5,0,4,0,8번
7,최항,SSG,0.286,7,2,0,0,0,1,2,0,1,0,8번
8,오태곤,SSG,0.282,39,11,3,0,1,8,0,1,12,0,8번
9,조형우,SSG,0.25,8,2,1,0,0,1,0,0,2,0,8번
10,김민식,SSG,0.225,160,36,8,0,2,22,28,2,34,2,8번
11,오준혁,SSG,0.222,9,2,0,0,0,0,0,0,3,0,8번
12,이재원,SSG,0.212,165,35,5,0,2,17,21,7,28,8,8번
13,김성현,SSG,0.211,57,12,2,0,0,3,5,1,7,1,8번
14,이흥련,SSG,0.125,8,1,0,0,0,0,0,1,2,0,8번
