순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,박성한,SSG,0.302,26,109,104,1.05,4,0.67,4.01,0.086,62.7,0.267
2,남태혁,SSG,0.300,2,5,2,2.50,0,0.14,4.64,0.200,3.2,0.289
3,김성현,SSG,0.283,21,72,73,0.99,5,1.00,3.63,0.139,35.7,0.266
4,이재원,SSG,0.280,16,63,87,0.72,5,0.62,3.86,0.081,32.1,0.252
5,한유섬,SSG,0.278,50,108,121,0.89,4,0.63,4.04,0.256,87.5,0.301
6,최정,SSG,0.278,53,77,148,0.52,13,0.82,4.02,0.284,105.0,0.325
7,최항,SSG,0.275,3,17,18,0.94,1,0.38,3.97,0.058,7.6,0.239
8,오태곤,SSG,0.268,19,51,70,0.73,2,0.27,3.80,0.157,31.0,0.247
9,고종욱,SSG,0.267,7,52,52,1.00,2,0.53,3.90,0.061,18.3,0.227
10,이현석,SSG,0.266,9,8,23,0.35,0,0.17,3.76,0.215,12.5,0.256
11,추신수,SSG,0.265,42,118,102,1.16,4,0.84,4.11,0.187,93.4,0.297
12,최지훈,SSG,0.262,30,111,164,0.68,3,0.72,3.82,0.100,64.6,0.244
13,안상현,SSG,0.256,3,7,7,1.00,0,0.07,3.35,0.128,4.2,0.22
14,최주환,SSG,0.256,34,77,143,0.54,5,0.63,4.39,0.172,63.5,0.266
15,이정범,SSG,0.254,7,17,12,1.42,1,0.47,3.74,0.220,9.1,0.269
16,김강민,SSG,0.238,20,49,72,0.68,1,0.48,4.01,0.166,31.4,0.248
17,이흥련,SSG,0.236,6,37,29,1.28,1,0.39,3.77,0.094,13.9,0.229
18,정의윤,SSG,0.230,9,44,48,0.92,4,0.30,4.08,0.139,16.8,0.216
19,김찬형,SSG,0.227,9,28,42,0.67,1,0.50,3.88,0.098,15.8,0.23
20,로맥,SSG,0.225,31,82,113,0.73,6,0.71,4.02,0.200,55.1,0.259
21,오준혁,SSG,0.217,4,12,9,1.33,0,0.27,3.58,0.174,4.6,0.224
22,김창평,SSG,0.080,0,11,6,1.83,0,0.17,3.57,0.000,-0.7,0.072
23,고명준,SSG,0.000,0,2,0,-,0,0.00,4.20,0.000,-0.8,0.0
23,김규남,SSG,0.000,0,1,3,0.33,0,0.00,4.29,0.000,-0.7,0.0
23,김상수,SSG,-,0,0,0,-,0,-,-,-,0.0,0.0
23,김태훈,SSG,-,0,0,0,-,0,-,-,-,0.0,0.0
23,김택형,SSG,-,0,0,0,-,0,-,-,-,0.0,0.0
23,박민호,SSG,-,0,0,0,-,0,-,-,-,0.0,0.0
23,서동민,SSG,-,0,0,0,-,0,-,-,-,0.0,0.0
23,서진용,SSG,0.000,0,0,0,-,0,0.00,6.00,0.000,-0.1,0.0
23,신재영,SSG,-,0,0,0,-,0,-,-,-,0.0,0.0
23,유서준,SSG,0.000,0,0,1,0.00,0,0.00,3.50,0.000,-0.2,0.0
23,장지훈,SSG,-,0,0,0,-,0,-,-,-,0.0,0.0
23,정상호,SSG,0.000,0,0,1,0.00,0,0.00,3.00,0.000,-0.3,0.0
23,정수민,SSG,-,0,0,0,-,0,-,-,-,0.0,0.0
23,조요한,SSG,-,0,0,0,-,0,-,-,-,0.0,0.0
23,하재훈,SSG,-,0,0,0,-,0,-,-,-,0.0,0.0
