순위,선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
1,고종욱,SK,137,41,31,10,75.6,8,1
2,노수광,SK,117,37,27,10,73.0,7,1
3,김강민,SK,127,23,15,8,65.2,3,1
4,김재현,SK,83,19,13,6,68.4,2,2
5,안상현,SK,65,10,7,3,70.0,2,0
6,김성현,SK,144,8,6,2,75.0,5,0
6,로맥,SK,137,9,6,3,66.7,3,0
8,채현우,SK,9,4,3,1,75.0,0,0
8,최정,SK,141,5,3,2,60.0,3,1
10,배영섭,SK,30,2,2,0,100,0,0
10,최항,SK,52,2,2,0,100,0,1
12,나주환,SK,94,3,1,2,33.3,2,2
12,이재원,SK,139,1,1,0,100,3,1
12,정현,SK,27,2,1,1,50.0,0,0
15,강승호,SK,15,0,0,0,-,0,0
15,김성민,SK,2,0,0,0,-,0,1
15,김창평,SK,18,0,0,0,-,1,0
15,김태훈,SK,1,0,0,0,-,0,0
15,남태혁,SK,12,0,0,0,-,0,0
15,박정권,SK,18,0,0,0,-,0,0
15,신재웅,SK,1,0,0,0,-,0,0
15,오준혁,SK,2,0,0,0,-,0,0
15,이승진,SK,1,0,0,0,-,0,0
15,이현석,SK,2,0,0,0,-,0,0
15,임재현,SK,6,0,0,0,-,0,0
15,정의윤,SK,110,0,0,0,-,3,1
15,정진기,SK,13,0,0,0,-,0,0
15,최경모,SK,17,0,0,0,-,0,0
15,최민재,SK,1,0,0,0,-,0,0
15,최승준,SK,10,0,0,0,-,0,0
15,최준우,SK,15,0,0,0,-,0,0
15,한유섬,SK,125,1,0,1,0.0,8,0
15,허도환,SK,56,1,0,1,0.0,1,0
