순위,선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
1,심우준,KT,132,25,23,2,92.0,3,0
2,배정대,KT,144,23,19,4,82.6,9,2
3,김민혁,KT,132,15,6,9,40.0,3,1
3,황재균,KT,141,9,6,3,66.7,3,1
5,박병호,KT,124,8,5,3,62.5,3,0
5,알포드,KT,80,6,5,1,83.3,6,1
5,조용호,KT,131,9,5,4,55.6,4,0
8,권동진,KT,48,4,4,0,100,1,0
8,홍현빈,KT,61,4,4,0,100,0,0
10,김준태,KT,98,2,2,0,100,2,0
10,라모스,KT,18,2,2,0,100,1,0
10,오윤석,KT,112,3,2,1,66.7,1,0
10,이시원,KT,31,2,2,0,100,0,0
14,문상철,KT,28,1,1,0,100,0,0
14,양승혁,KT,11,2,1,1,50.0,0,1
14,장성우,KT,117,1,1,0,100,0,0
14,장준원,KT,35,1,1,0,100,0,0
18,강백호,KT,62,0,0,0,-,1,0
18,고명성,KT,1,0,0,0,-,0,0
18,김병희,KT,41,3,0,3,0.0,1,0
18,김재윤,KT,1,0,0,0,-,0,0
18,김태훈,KT,7,0,0,0,-,0,0
18,문상인,KT,12,0,0,0,-,0,0
18,문상준,KT,2,0,0,0,-,0,0
18,박경수,KT,100,0,0,0,-,0,0
18,박영현,KT,4,0,0,0,-,0,0
18,배제성,KT,1,0,0,0,-,0,0
18,송민섭,KT,119,2,0,2,0.0,0,0
18,신본기,KT,74,1,0,1,0.0,0,0
18,심재민,KT,2,0,0,0,-,0,0
18,유준규,KT,7,0,0,0,-,0,0
18,이상우,KT,1,0,0,0,-,0,0
18,이정현,KT,1,0,0,0,-,0,0
18,전진영,KT,4,0,0,0,-,0,0
18,조대현,KT,6,0,0,0,-,0,0
18,주권,KT,1,0,0,0,-,0,0
18,지명성,KT,1,0,0,0,-,0,0
