순위,선수명,팀명,타율,타수,안타,2루타,3루타,홈런,타점,볼넷,사구,삼진,병살타,타순
1,이우성,KIA,1.0,1,1,0,0,0,0,0,0,0,0,1번
1,이창진,KIA,1.0,1,1,1,0,0,1,0,0,0,0,1번
3,김태진,KIA,0.5,4,2,0,0,0,1,1,0,0,0,1번
4,최정민,KIA,0.333,3,1,0,0,0,1,0,0,2,0,1번
5,최원준,KIA,0.294,585,172,21,6,4,43,60,11,68,7,1번
6,강경학,KIA,0.0,7,0,0,0,0,0,1,0,3,0,1번
6,김선빈,KIA,0.0,5,0,0,0,0,0,0,0,0,0,1번
6,박정우,KIA,0.0,2,0,0,0,0,0,0,0,0,0,1번
1,최정민,KIA,1.0,1,1,0,0,0,0,0,0,0,0,2번
2,박찬호,KIA,0.471,17,8,1,0,0,4,2,0,2,1,2번
3,터커,KIA,0.45,20,9,3,0,0,5,2,0,4,0,2번
4,김태진,KIA,0.356,59,21,0,0,0,4,7,0,12,3,2번
5,김선빈,KIA,0.318,444,141,30,0,5,66,46,1,36,16,2번
6,김규성,KIA,0.25,4,1,1,0,0,2,1,0,2,0,2번
6,유민상,KIA,0.25,8,2,0,0,1,1,1,0,4,0,2번
8,오정환,KIA,0.222,9,2,1,0,0,2,0,0,3,0,2번
9,이창진,KIA,0.167,12,2,0,0,0,0,1,0,2,0,2번
10,강경학,KIA,0.0,11,0,0,0,0,0,2,0,6,0,2번
10,김민식,KIA,0.0,1,0,0,0,0,0,0,0,0,0,2번
10,나주환,KIA,0.0,1,0,0,0,0,0,0,0,1,0,2번
10,박민,KIA,0.0,3,0,0,0,0,0,0,0,1,0,2번
10,최정용,KIA,0.0,12,0,0,0,0,0,1,0,6,0,2번
1,이우성,KIA,0.5,2,1,0,0,0,0,0,0,0,0,3번
2,이정훈,KIA,0.353,17,6,0,0,2,6,3,3,3,0,3번
3,류지혁,KIA,0.333,24,8,0,0,0,3,2,0,5,1,3번
4,터커,KIA,0.244,176,43,8,1,2,20,24,3,20,5,3번
5,최형우,KIA,0.208,178,37,9,0,5,22,28,1,30,4,3번
6,김태진,KIA,0.204,137,28,6,2,0,9,9,0,24,2,3번
7,김선빈,KIA,0.143,14,2,0,0,0,0,4,0,2,2,3번
8,강경학,KIA,0.0,1,0,0,0,0,0,0,0,1,0,3번
8,김규성,KIA,0.0,3,0,0,0,0,0,0,0,2,0,3번
8,나지완,KIA,0.0,1,0,0,0,0,0,0,0,0,0,3번
8,유민상,KIA,0.0,2,0,0,0,0,0,2,0,1,0,3번
8,이창진,KIA,0.0,2,0,0,0,0,0,0,0,1,0,3번
8,최정용,KIA,0.0,1,0,0,0,0,0,0,0,0,1,3번
1,박정우,KIA,1.000,1,1,0,0,0,0,0,0,0,0,4번
2,류지혁,KIA,0.444,27,12,1,0,0,6,6,0,6,0,4번
3,이정훈,KIA,0.267,90,24,4,0,0,6,12,0,26,1,4번
4,최형우,KIA,0.257,191,49,6,1,7,33,39,3,36,5,4번
5,나지완,KIA,0.250,4,1,0,0,0,0,1,0,1,0,4번
6,황대인,KIA,0.207,164,34,5,1,7,28,10,1,37,5,4번
7,터커,KIA,0.200,30,6,2,0,2,6,4,2,7,1,4번
8,유민상,KIA,0.095,21,2,0,0,0,0,2,3,6,1,4번
9,김민식,KIA,0.000,1,0,0,0,0,0,0,0,0,0,4번
9,김태진,KIA,0.000,1,0,0,0,0,0,1,0,0,0,4번
9,나주환,KIA,0.000,1,0,0,0,0,0,0,0,1,0,4번
9,이진영,KIA,-,0,0,0,0,0,0,0,1,0,0,4번
9,이창진,KIA,0.000,11,0,0,0,0,2,1,0,3,0,4번
9,최정용,KIA,0.000,2,0,0,0,0,0,0,0,1,0,4번
1,박정우,KIA,1.0,1,1,0,0,0,0,0,0,0,0,5번
2,최정용,KIA,0.75,4,3,1,0,0,0,2,0,1,0,5번
3,이우성,KIA,0.6,5,3,0,0,0,2,1,0,1,0,5번
4,최원준,KIA,0.5,4,2,0,0,0,1,1,0,0,0,5번
5,김석환,KIA,0.375,8,3,0,0,1,2,0,0,2,0,5번
6,김민식,KIA,0.286,21,6,2,0,0,0,3,0,4,0,5번
6,김태진,KIA,0.286,91,26,2,1,1,11,3,0,13,0,5번
8,황대인,KIA,0.282,85,24,3,0,3,9,6,0,19,2,5번
9,류지혁,KIA,0.261,111,29,3,0,1,12,18,1,17,2,5번
10,유민상,KIA,0.25,12,3,1,0,0,2,0,1,3,0,5번
11,나지완,KIA,0.191,47,9,1,0,0,4,8,4,17,2,5번
12,터커,KIA,0.178,101,18,7,0,1,12,10,2,15,3,5번
13,이창진,KIA,0.172,29,5,1,0,0,3,5,0,5,0,5번
14,이정훈,KIA,0.133,15,2,2,0,0,2,4,0,4,2,5번
15,김호령,KIA,0.0,2,0,0,0,0,0,1,0,1,0,5번
15,오정환,KIA,0.0,4,0,0,0,0,0,0,0,4,0,5번
15,이진영,KIA,0.0,4,0,0,0,0,0,0,1,4,0,5번
15,최형우,KIA,0.0,1,0,0,0,0,0,0,0,0,0,5번
1,김규성,KIA,1.0,1,1,0,0,0,0,0,0,0,0,6번
2,오정환,KIA,0.5,4,2,0,0,0,0,1,0,2,0,6번
2,유민상,KIA,0.5,6,3,0,0,0,2,3,2,2,0,6번
4,한승택,KIA,0.462,13,6,2,0,0,0,1,0,3,0,6번
5,김태진,KIA,0.293,58,17,2,1,0,8,2,0,9,1,6번
6,터커,KIA,0.255,137,35,4,0,4,16,21,1,19,3,6번
7,박찬호,KIA,0.25,8,2,0,0,0,0,1,0,0,1,6번
8,나주환,KIA,0.222,9,2,0,0,0,0,0,0,3,1,6번
9,류지혁,KIA,0.171,70,12,2,0,1,6,12,4,11,3,6번
10,이창진,KIA,0.167,24,4,1,0,0,1,4,0,6,1,6번
10,황윤호,KIA,0.167,6,1,0,0,0,0,1,0,2,0,6번
12,김선빈,KIA,0.16,25,4,0,0,0,0,6,0,0,1,6번
13,김민식,KIA,0.155,71,11,2,0,1,6,14,0,22,1,6번
14,이진영,KIA,0.143,7,1,1,0,0,1,0,0,4,0,6번
15,황대인,KIA,0.133,15,2,1,0,0,2,1,1,4,0,6번
16,이우성,KIA,0.129,31,4,2,0,0,0,5,0,5,1,6번
17,김석환,KIA,0.0,4,0,0,0,0,0,0,0,4,0,6번
17,김호령,KIA,0.0,6,0,0,0,0,0,1,0,1,0,6번
17,나지완,KIA,0.0,8,0,0,0,0,0,2,0,4,0,6번
17,박정우,KIA,0.0,1,0,0,0,0,0,0,0,1,0,6번
17,이정훈,KIA,0.0,1,0,0,0,0,0,0,0,0,0,6번
17,최정용,KIA,0.0,5,0,0,0,0,0,1,0,1,0,6번
17,최형우,KIA,0.0,1,0,0,0,0,0,0,0,0,0,6번
1,김선빈,KIA,0.538,13,7,2,0,0,1,0,0,1,0,7번
2,최정민,KIA,0.5,2,1,0,0,0,0,2,0,0,0,7번
3,황대인,KIA,0.429,14,6,1,0,2,4,0,0,2,0,7번
4,김태진,KIA,0.417,24,10,2,1,0,3,0,0,4,1,7번
5,유민상,KIA,0.4,5,2,1,0,0,0,0,0,1,0,7번
5,황윤호,KIA,0.4,5,2,0,0,0,0,0,0,0,0,7번
7,류지혁,KIA,0.364,22,8,1,0,0,3,4,1,3,1,7번
8,이진영,KIA,0.333,12,4,1,0,2,4,0,1,7,0,7번
9,김석환,KIA,0.286,7,2,0,0,0,1,0,1,1,0,7번
10,김호령,KIA,0.263,57,15,0,0,3,13,3,1,18,1,7번
11,박찬호,KIA,0.259,54,14,2,2,0,5,8,0,10,1,7번
12,이우성,KIA,0.25,28,7,3,0,0,0,4,0,7,0,7번
13,이창진,KIA,0.246,65,16,4,1,1,14,10,0,11,2,7번
14,김민식,KIA,0.237,93,22,3,0,1,14,14,4,15,1,7번
15,박정우,KIA,0.2,25,5,0,0,0,4,7,1,3,0,7번
16,나지완,KIA,0.167,18,3,0,0,0,2,1,2,5,0,7번
17,한승택,KIA,0.111,36,4,0,0,1,1,3,0,10,1,7번
18,권혁경,KIA,0.0,3,0,0,0,0,0,0,0,3,0,7번
18,나주환,KIA,0.0,5,0,0,0,0,0,0,0,1,1,7번
18,박민,KIA,0.0,4,0,0,0,0,0,0,0,3,1,7번
18,오선우,KIA,0.0,7,0,0,0,0,0,1,0,5,0,7번
18,최정용,KIA,0.0,7,0,0,0,0,0,0,0,0,0,7번
18,최형우,KIA,0.0,1,0,0,0,0,0,0,0,1,0,7번
18,터커,KIA,0.0,4,0,0,0,0,0,0,0,1,0,7번
1,박민,KIA,1.0,1,1,0,0,0,0,0,0,0,0,8번
1,최형우,KIA,1.0,1,1,0,0,0,0,0,0,0,0,8번
3,최정용,KIA,0.417,12,5,0,0,0,0,4,0,4,0,8번
4,류지혁,KIA,0.412,17,7,1,0,0,4,0,1,3,0,8번
5,이진영,KIA,0.3,10,3,0,1,0,0,3,0,4,0,8번
6,나주환,KIA,0.273,11,3,0,0,0,3,0,0,3,0,8번
7,김민식,KIA,0.258,62,16,1,0,1,6,9,0,7,0,8번
8,한승택,KIA,0.221,154,34,5,0,2,15,24,3,48,5,8번
9,이창진,KIA,0.217,83,18,1,0,1,9,11,1,21,5,8번
10,박찬호,KIA,0.212,33,7,1,0,0,0,5,0,4,0,8번
11,강경학,KIA,0.2,5,1,0,0,0,1,2,1,0,0,8번
11,김호령,KIA,0.2,40,8,1,0,1,2,7,3,15,1,8번
13,권혁경,KIA,0.182,11,2,0,0,0,0,0,0,3,1,8번
14,김태진,KIA,0.143,7,1,0,0,0,0,0,0,2,0,8번
15,박정우,KIA,0.125,8,1,1,0,0,0,1,1,1,2,8번
16,나지완,KIA,0.0,2,0,0,0,0,1,1,0,1,1,8번
16,오선우,KIA,0.0,2,0,0,0,0,0,0,0,2,0,8번
16,유민상,KIA,0.0,1,0,0,0,0,0,0,0,0,0,8번
16,이우성,KIA,0.0,16,0,0,0,0,1,3,0,4,0,8번
16,이정훈,KIA,0.0,2,0,0,0,0,0,0,0,0,0,8번
16,황대인,KIA,0.0,1,0,0,0,0,0,1,0,0,0,8번
1,권혁경,KIA,0.5,4,2,0,0,0,0,0,0,0,1,9번
1,이우성,KIA,0.5,2,1,0,0,0,1,0,0,0,1,9번
3,강경학,KIA,0.444,9,4,0,0,0,0,0,0,3,0,9번
4,유민상,KIA,0.4,5,2,0,0,0,1,0,0,1,0,9번
5,황대인,KIA,0.333,3,1,0,0,1,2,0,0,0,1,9번
6,이창진,KIA,0.273,22,6,0,0,1,3,4,0,5,2,9번
7,박찬호,KIA,0.235,306,72,11,3,1,50,38,0,57,8,9번
8,최정민,KIA,0.222,9,2,0,0,0,0,1,1,5,1,9번
8,최정용,KIA,0.222,9,2,0,0,0,2,1,0,3,0,9번
10,박민,KIA,0.185,27,5,1,0,0,3,2,1,6,0,9번
11,오선우,KIA,0.167,6,1,0,0,0,0,0,0,2,0,9번
12,김호령,KIA,0.16,25,4,1,0,0,0,4,2,9,0,9번
13,김규성,KIA,0.107,28,3,0,0,0,0,4,0,13,0,9번
14,박정우,KIA,0.1,10,1,0,0,0,0,2,0,3,0,9번
15,김민식,KIA,0.0,1,0,0,0,0,0,1,0,1,0,9번
