선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
최정민,KIA,0.333,0,1,2,0.50,0,0.43,4.00,0.000,1.9,0.297
김선빈,KIA,0.307,37,181,132,1.37,7,1.44,3.82,0.094,71.3,0.269
최원준,KIA,0.295,31,185,165,1.12,5,0.90,3.82,0.076,86.9,0.260
류지혁,KIA,0.278,10,80,74,1.08,2,0.91,3.63,0.051,38.7,0.256
김태진,KIA,0.276,18,120,96,1.25,0,0.36,3.56,0.066,40.1,0.227
김석환,KIA,0.263,1,4,3,1.33,0,0.00,3.45,0.158,2.5,0.240
이정훈,KIA,0.248,8,32,32,1.00,1,0.58,4.15,0.093,16.6,0.246
박찬호,KIA,0.246,21,147,98,1.50,7,0.74,4.10,0.067,45.6,0.227
황대인,KIA,0.238,24,69,89,0.78,2,0.29,3.67,0.181,34.3,0.232
터커,KIA,0.237,34,121,172,0.70,4,0.92,3.76,0.113,56.8,0.238
오정환,KIA,0.235,1,2,2,1.00,0,0.11,4.61,0.059,1.3,0.199
유민상,KIA,0.233,3,15,13,1.15,1,0.44,4.16,0.083,8.5,0.249
최형우,KIA,0.233,28,110,111,0.99,11,1.00,4.00,0.142,53.0,0.253
권혁경,KIA,0.222,0,4,4,1.00,0,0.00,3.39,0.000,0.0,0.155
김민식,KIA,0.220,11,57,92,0.62,4,0.84,4.20,0.068,29.8,0.223
한승택,KIA,0.217,10,50,48,1.04,1,0.46,3.96,0.079,20.1,0.218
이창진,KIA,0.209,12,80,66,1.21,6,0.67,4.03,0.076,24.0,0.210
김호령,KIA,0.208,6,29,30,0.97,3,0.36,4.06,0.108,15.3,0.224
이우성,KIA,0.200,5,26,26,1.00,0,0.76,3.94,0.059,7.5,0.201
이진영,KIA,0.200,5,6,4,1.50,0,0.14,4.45,0.250,6.4,0.256
최정용,KIA,0.192,1,9,18,0.50,0,0.56,3.94,0.019,4.9,0.191
박정우,KIA,0.188,1,21,10,2.10,2,1.25,4.02,0.021,3.9,0.210
황윤호,KIA,0.176,0,4,7,0.57,0,0.33,3.05,0.000,0.5,0.162
박민,KIA,0.171,1,6,13,0.46,0,0.20,4.34,0.029,0.9,0.157
나주환,KIA,0.161,0,4,11,0.36,0,0.00,3.94,0.000,-0.3,0.110
나지완,KIA,0.160,1,26,14,1.86,1,0.48,4.27,0.012,6.4,0.189
강경학,KIA,0.152,0,6,9,0.67,0,0.38,4.28,0.000,2.1,0.165
김규성,KIA,0.139,1,10,4,2.50,0,0.29,4.32,0.028,1.2,0.152
오선우,KIA,0.067,0,4,1,4.00,0,0.11,3.56,0.000,-0.5,0.073
장현식,KIA,-,0,0,0,-,0,-,-,-,0.0,0.000
정해영,KIA,-,0,0,0,-,0,-,-,-,0.0,0.000
