선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
박찬호,KIA,141,23,15,8,65.2,3,0
최원준,KIA,123,17,14,3,82.4,5,2
김태진,KIA,82,11,7,4,63.6,3,0
김호령,KIA,89,6,3,3,50.0,1,0
김규성,KIA,103,3,2,1,66.7,3,2
황윤호,KIA,25,2,2,0,100,0,0
김선빈,KIA,85,2,1,1,50.0,3,0
김영환,KIA,14,2,1,1,50.0,0,0
류지혁,KIA,25,2,1,1,50.0,0,0
이우성,KIA,48,1,1,0,100,0,0
이진영,KIA,32,1,1,0,100,0,0
최정민,KIA,24,1,1,0,100,1,1
고장혁,KIA,7,0,0,0,-,1,0
김민식,KIA,69,0,0,0,-,3,0
김주찬,KIA,7,1,0,1,0.0,0,0
김현준,KIA,1,0,0,0,-,0,0
나주환,KIA,64,0,0,0,-,1,0
나지완,KIA,137,0,0,0,-,7,0
문선재,KIA,15,0,0,0,-,2,0
박민,KIA,6,0,0,0,-,0,0
백용환,KIA,52,0,0,0,-,0,0
오선우,KIA,59,0,0,0,-,0,0
유민상,KIA,126,0,0,0,-,4,0
이정훈,KIA,3,0,0,0,-,0,0
이창진,KIA,22,1,0,1,0.0,2,1
장영석,KIA,11,0,0,0,-,0,0
장현식,KIA,1,0,0,0,-,0,0
최정용,KIA,38,0,0,0,-,0,0
최형우,KIA,140,0,0,0,-,3,0
터커,KIA,142,2,0,2,0.0,3,0
한승택,KIA,83,0,0,0,-,2,0
홍종표,KIA,40,2,0,2,0.0,1,0
황대인,KIA,63,0,0,0,-,1,0
