Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼
Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼
21,김선빈,23 2B,0.013,114,111,895.1,457,180,270,7,98.5,4.52,-5.42,,1.23,-0.33,,,,,-4.52,-5.47,4.65,0.13,-0.438,0.013
22,한승택,23 C,0.004,48,32,273.1,243,223,18,2,99.2,7.94,-1.00,,0.23,,0.08,-0.83,0.79,-1.68,-2.41,-7.07,2.45,0.04,-0.233,0.004
23,황대인,23 1B,0.001,54,50,389.1,391,355,33,3,99.2,8.97,4.11,,-0.10,,-0.37,,,,3.63,8.72,-3.62,0.01,0.352,0.001
24,최원준,23 LF,-0.005,3,3,22.0,6,6,0,0,100.0,2.45,-0.36,0.40,0.04,,,,,,0.09,0.18,-0.14,-0.05,0.008,-0.005
25,김석환,23 LF,-0.024,5,1,17.1,2,2,0,0,100.0,1.04,-0.06,-0.17,0.03,,,,,,-0.20,-2.38,-0.05,-0.25,-0.019,-0.024
26,류지혁,23 1B,-0.039,5,2,18.0,13,13,0,0,100.0,6.50,-0.22,,0.04,,,,,,-0.18,-0.19,-0.22,-0.40,-0.017,-0.039
27,윤도현,23 3B,-0.041,1,0,5.0,2,1,0,1,50.0,1.80,0.05,,-0.48,,,,,,-0.43,-61.54,0.00,-0.43,-0.041,-0.041
28,홍종표,23 SS,-0.048,8,0,9.0,7,5,2,0,100.0,7.00,-0.31,,0.03,-0.23,,,,,-0.51,-1.85,0.02,-0.49,-0.050,-0.048
29,이창진,23 CF,-0.052,5,3,26.1,8,8,0,0,100.0,2.73,-0.64,0.06,0.04,,,,,,-0.54,-0.75,0.00,-0.54,-0.052,-0.052
30,소크라테스,23 RF,-0.053,54,22,261.0,67,63,1,3,95.5,2.21,1.77,-0.08,-0.97,,,,,,0.72,0.73,-1.27,-0.55,0.070,-0.053
Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼
Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼
31,김규성,23 3B,-0.065,7,0,15.1,3,2,1,0,100.0,1.76,-0.72,,0.05,,,,,,-0.67,-0.97,0.00,-0.67,-0.065,-0.065
32,이우성,23 LF,-0.094,59,39,363.2,76,75,0,1,98.7,1.86,0.37,0.19,0.18,,,,,,0.73,0.83,-1.70,-0.97,0.071,-0.094
33,김도영,23 SS,-0.100,4,3,27.0,11,3,6,2,81.8,3.00,-0.69,,-0.41,-0.24,,,,,-1.33,-2.28,0.30,-1.03,-0.129,-0.100
34,박찬호,23 2B,-0.118,1,0,3.0,1,0,0,1,0.0,0.00,-0.75,,-0.48,,,,,,-1.23,-1.36,0.01,-1.22,-0.119,-0.118
35,김석환,23 1B,-0.139,4,4,34.1,32,31,1,0,100.0,8.39,-1.19,,0.08,,,,,,-1.11,-13.34,-0.32,-1.43,-0.108,-0.139
36,오선우,23 1B,-0.155,29,4,82.2,93,89,3,1,98.9,10.02,-1.33,,0.19,,0.05,,,,-1.08,-4.73,-0.52,-1.60,-0.105,-0.155
37,류지혁,23 2B,-0.167,7,7,52.0,29,11,18,0,100.0,5.02,-1.88,,0.19,-0.28,,,,,-1.97,-2.15,0.25,-1.72,-0.191,-0.167
38,소크라테스,23 LF,-0.169,33,12,118.2,35,33,0,2,94.3,2.50,-0.45,0.01,-0.77,,,,,,-1.21,-1.23,-0.53,-1.74,-0.117,-0.169
39,김규성,23 2B,-0.174,48,21,208.1,102,42,54,6,94.1,4.15,-2.21,,-0.74,0.39,,,,,-2.56,-3.73,0.77,-1.79,-0.248,-0.174
40,변우혁,23 3B,-0.197,20,12,104.2,28,6,18,4,85.7,2.06,-1.56,,-0.65,0.15,0.03,,,,-2.03,-3.52,0.00,-2.03,-0.197,-0.197
Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼
Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼
41,고종욱,23 LF,-0.281,45,35,248.1,59,54,3,2,96.6,2.07,-0.52,-0.52,-0.53,,,,,,-1.57,-1.98,-1.34,-2.91,-0.152,-0.281
42,이창진,23 LF,-0.364,69,40,392.0,95,92,2,1,98.9,2.16,-1.74,-0.39,0.23,,,,,,-1.90,-2.63,-1.86,-3.76,-0.184,-0.364
43,류지혁,23 3B,-0.526,55,48,402.2,114,38,72,4,96.5,2.46,-4.67,,0.33,-0.93,-0.17,,,,-5.44,-5.93,0.00,-5.44,-0.526,-0.526
44,변우혁,23 1B,-0.576,55,44,358.0,340,311,24,5,98.5,8.42,-2.47,,-0.18,,-0.17,,,,-2.81,-4.88,-3.14,-5.95,-0.272,-0.576
45,최원준,23 1B,-0.577,39,35,321.0,311,289,15,7,97.7,8.52,-1.25,,-1.25,,,,,,-2.50,-5.37,-3.46,-5.96,-0.242,-0.577
46,최형우,23 LF,-0.619,15,14,107.0,19,18,0,1,94.7,1.51,-5.27,-0.26,-0.30,,,,,,-5.83,-6.93,-0.57,-6.40,-0.564,-0.619
47,나성범,23 RF,-0.833,50,49,410.2,93,88,4,1,98.9,2.02,-7.51,0.27,0.81,,,,,,-6.43,-15.97,-2.17,-8.60,-0.623,-0.833
48,홍종표,23 3B,,3,0,5.0,3,1,2,0,100.0,5.40,0.08,,0.02,0.33,,,,,0.43,1.56,,,0.042,
48,박정우,23 CF,,1,0,2.0,1,1,0,0,100.0,4.50,0.54,,0.00,,,,,,0.54,3.70,,,0.052,
48,박준표,23 P,,33,0,28.0,5,0,5,0,100.0,1.61,,,,,,,,,0.00,0.00,,,0.000,
