선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
최정민,KIA,0.333,39,19,15,5,5,0,0,0,5,1,0,0,3,0,1,7,1,0.333,0.474,0.807,0,0.75,0.0
김선빈,KIA,0.307,130,564,501,55,154,32,0,5,201,67,1,5,56,2,1,39,19,0.401,0.375,0.776,47,0.32,0.0
최원준,KIA,0.295,143,668,589,82,174,21,6,4,219,44,4,3,61,0,11,68,7,0.372,0.370,0.742,46,0.264,0.0
류지혁,KIA,0.278,92,327,273,37,76,8,0,2,90,34,2,3,42,1,7,46,7,0.330,0.385,0.715,21,0.346,0.167
김태진,KIA,0.276,99,414,381,43,105,12,5,1,130,36,6,4,23,1,0,64,7,0.341,0.314,0.655,27,0.287,1.0
김석환,KIA,0.263,5,20,19,1,5,0,0,1,8,3,0,0,0,0,1,7,0,0.421,0.300,0.721,2,0.333,0.0
이정훈,KIA,0.248,41,151,129,14,32,6,0,2,44,14,0,0,19,0,3,33,3,0.341,0.358,0.699,8,0.25,0.111
박찬호,KIA,0.246,131,483,418,51,103,15,5,1,131,59,8,3,54,0,0,73,11,0.313,0.331,0.644,22,0.291,1.0
황대인,KIA,0.238,86,308,282,30,67,10,1,13,118,45,1,5,18,0,2,62,8,0.418,0.283,0.701,18,0.205,0.364
터커,KIA,0.237,127,539,468,42,111,24,1,9,164,59,0,2,61,1,8,66,12,0.350,0.334,0.684,24,0.266,0.0
오정환,KIA,0.235,9,18,17,1,4,1,0,0,5,2,0,0,1,0,0,9,0,0.294,0.278,0.572,1,0.5,0.0
유민상,KIA,0.233,24,74,60,7,14,2,0,1,19,6,0,0,8,0,6,18,1,0.317,0.378,0.695,4,0.2,0.25
최형우,KIA,0.233,104,446,373,52,87,15,1,12,140,55,0,2,67,10,4,67,9,0.375,0.354,0.729,22,0.264,0.333
권혁경,KIA,0.222,5,18,18,1,4,0,0,0,4,0,0,0,0,0,0,6,2,0.222,0.222,0.444,1,0.25,0.0
김민식,KIA,0.220,100,301,250,30,55,8,0,3,72,26,3,3,41,1,4,49,2,0.288,0.336,0.624,9,0.255,0.238
한승택,KIA,0.217,82,239,203,17,44,7,0,3,60,16,5,0,28,0,3,61,6,0.296,0.321,0.617,8,0.213,0.0
이창진,KIA,0.209,105,293,249,35,52,8,1,3,71,33,4,3,36,0,1,54,10,0.285,0.308,0.593,10,0.27,0.222
김호령,KIA,0.208,62,154,130,16,27,2,0,4,41,15,2,0,16,0,6,44,2,0.315,0.322,0.637,6,0.175,0.0
이우성,KIA,0.200,65,100,85,12,17,5,0,0,22,4,1,1,13,0,0,17,2,0.259,0.303,0.562,2,0.111,0.5
이진영,KIA,0.200,17,47,40,8,8,2,1,2,18,5,0,0,3,0,4,22,0,0.450,0.319,0.769,2,0.182,0.0
최정용,KIA,0.192,53,65,52,7,10,1,0,0,11,2,3,1,9,0,0,16,1,0.212,0.306,0.518,2,0.091,0.167
박정우,KIA,0.188,32,61,48,3,9,1,0,0,10,4,1,0,10,0,2,8,2,0.208,0.350,0.558,0,0.154,0.0
황윤호,KIA,0.176,6,19,17,2,3,0,0,0,3,0,0,0,1,0,1,3,1,0.176,0.263,0.439,1,0.0,0.0
박민,KIA,0.171,18,38,35,3,6,1,0,0,7,3,0,0,2,0,1,10,1,0.200,0.237,0.437,1,0.25,1.0
나주환,KIA,0.161,19,32,31,0,5,0,0,0,5,3,0,1,0,0,0,12,2,0.161,0.156,0.317,1,0.25,0.0
나지완,KIA,0.160,31,102,81,3,13,1,0,0,14,7,0,1,14,0,6,29,3,0.173,0.324,0.497,3,0.2,0.0
강경학,KIA,0.152,25,39,33,3,5,0,0,0,5,1,0,0,5,0,1,13,0,0.152,0.282,0.434,1,0.143,0.25
김규성,KIA,0.139,54,41,36,8,5,1,0,0,6,2,0,0,5,0,0,17,0,0.167,0.244,0.411,0,0.25,0.0
오선우,KIA,0.067,9,16,15,1,1,0,0,0,1,0,0,0,1,0,0,9,0,0.067,0.125,0.192,0,0.0,0.0
장현식,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
정해영,KIA,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
