선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
박찬호,KIA,130,38,30,8,78.9,5,1
김도영,KIA,84,29,25,4,86.2,2,2
소크라테스,KIA,142,21,15,6,71.4,3,1
최원준,KIA,67,18,13,5,72.2,1,1
이창진,KIA,104,11,9,2,81.8,1,0
이우성,KIA,126,9,8,1,88.9,7,0
김규성,KIA,99,8,6,2,75.0,0,1
최정용,KIA,56,4,4,0,100,1,0
김선빈,KIA,119,4,3,1,75.0,4,0
고종욱,KIA,114,4,2,2,50.0,0,0
김태군,KIA,114,3,2,1,66.7,5,0
김호령,KIA,76,1,1,0,100,0,0
김기훈,KIA,1,0,0,0,-,0,0
김석환,KIA,12,0,0,0,-,0,0
김선우,KIA,5,0,0,0,-,0,0
나성범,KIA,58,0,0,0,-,5,0
박정우,KIA,21,0,0,0,-,0,0
박준표,KIA,1,0,0,0,-,0,0
변우혁,KIA,83,0,0,0,-,0,0
신범수,KIA,36,0,0,0,-,1,0
오선우,KIA,33,0,0,0,-,0,0
윤도현,KIA,1,0,0,0,-,0,0
윤중현,KIA,1,0,0,0,-,0,0
정해영,KIA,2,0,0,0,-,0,0
주효상,KIA,19,0,0,0,-,0,0
최형우,KIA,121,0,0,0,-,4,0
한승택,KIA,49,0,0,0,-,0,0
한준수,KIA,48,0,0,0,-,0,0
홍종표,KIA,40,0,0,0,-,0,0
황대인,KIA,60,0,0,0,-,1,0
황동하,KIA,1,0,0,0,-,0,0
