선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
박찬호,KIA,133,45,39,6,86.7,8,3
이창진,KIA,133,16,8,8,50.0,3,1
최원준,KIA,90,12,8,4,66.7,4,0
김선빈,KIA,121,9,5,4,55.6,5,0
안치홍,KIA,105,6,4,2,66.7,5,0
유재신,KIA,71,7,4,3,57.1,2,0
김주찬,KIA,100,4,3,1,75.0,4,1
류승현,KIA,57,5,3,2,60.0,1,0
김민식,KIA,53,2,2,0,100,1,1
문선재,KIA,29,3,2,1,66.7,1,0
황윤호,KIA,57,4,2,2,50.0,3,0
박준태,KIA,38,2,1,1,50.0,0,0
한승택,KIA,105,1,1,0,100,4,0
해즐베이커,KIA,11,2,1,1,50.0,0,0
고영창,KIA,1,0,0,0,-,0,0
고장혁,KIA,22,1,0,1,0.0,0,0
김세현,KIA,1,0,0,0,-,0,0
나지완,KIA,56,0,0,0,-,0,0
문경찬,KIA,2,0,0,0,-,0,0
백용환,KIA,28,0,0,0,-,0,0
신범수,KIA,39,0,0,0,-,0,0
양승철,KIA,1,0,0,0,-,0,0
오선우,KIA,27,0,0,0,-,0,0
오정환,KIA,30,2,0,2,0.0,1,0
유민상,KIA,61,0,0,0,-,4,0
윤해진,KIA,2,0,0,0,-,0,0
이민우,KIA,1,0,0,0,-,0,0
이범호,KIA,19,0,0,0,-,0,0
이우성,KIA,60,0,0,0,-,0,0
이인행,KIA,9,0,0,0,-,0,0
이정훈,KIA,7,0,0,0,-,0,0
이진영,KIA,11,0,0,0,-,0,0
임기준,KIA,1,0,0,0,-,0,0
장지수,KIA,1,0,0,0,-,0,0
전상현,KIA,1,0,0,0,-,0,0
최정민,KIA,4,0,0,0,-,1,0
최정용,KIA,8,0,0,0,-,0,0
최형우,KIA,136,1,0,1,0.0,6,0
터커,KIA,95,0,0,0,-,3,0
한준수,KIA,7,0,0,0,-,1,0
홍재호,KIA,10,0,0,0,-,0,0
황대인,KIA,12,0,0,0,-,1,0
