순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,페라자,한화,0.318,32,46,47,0.98,2,0.51,4.01,0.278,48.8,0.329
2,이재원,한화,0.314,0,13,14,0.93,0,0.56,3.17,0.000,7.1,0.254
3,황영묵,한화,0.311,9,58,36,1.61,3,0.55,3.69,0.072,21.8,0.259
4,김태연,한화,0.297,21,46,54,0.85,2,0.69,3.94,0.190,36.4,0.296
5,박상언,한화,0.286,3,6,12,0.50,0,0.75,4.02,0.071,7.4,0.28
6,이도윤,한화,0.281,5,47,51,0.92,4,0.60,3.73,0.042,20.2,0.235
7,안치홍,한화,0.271,19,71,88,0.81,5,0.69,3.89,0.125,42.0,0.259
8,최재훈,한화,0.270,10,40,43,0.93,0,0.69,4.13,0.081,24.7,0.267
9,김강민,한화,0.270,1,10,19,0.53,0,0.41,3.73,0.048,8.2,0.246
10,최인호,한화,0.270,14,56,46,1.22,3,0.77,3.99,0.101,25.9,0.254
11,이원석,한화,0.269,2,15,8,1.88,0,0.31,3.90,0.058,6.1,0.229
12,문현빈,한화,0.267,13,45,36,1.25,2,0.39,3.76,0.143,19.0,0.25
13,노시환,한화,0.263,26,69,82,0.84,4,0.42,3.91,0.194,46.1,0.265
14,장진혁,한화,0.258,6,22,22,1.00,1,0.28,4.14,0.124,12.8,0.241
15,채은성,한화,0.245,16,50,68,0.74,2,0.45,3.76,0.132,25.6,0.236
16,하주석,한화,0.242,4,17,11,1.55,0,0.16,3.58,0.065,4.9,0.206
17,유로결,한화,0.214,0,5,4,1.25,0,1.00,3.69,0.000,0.5,0.194
18,이진영,한화,0.200,4,14,12,1.17,0,0.33,4.27,0.073,4.6,0.204
19,정은원,한화,0.172,5,22,15,1.47,0,0.81,4.37,0.125,7.6,0.215
20,임종찬,한화,0.158,5,12,17,0.71,2,0.32,3.66,0.123,3.1,0.183
21,김인환,한화,0.000,0,0,2,0.00,0,0.00,4.25,0.000,-0.4,0.0
21,박상원,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
21,이명기,한화,0.000,0,2,2,1.00,0,0.00,3.63,0.000,-0.6,0.0
21,이상혁,한화,0.000,0,2,0,-,0,-,2.00,0.000,0.2,0.0
21,주현상,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
