순위,선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
1,하주석,한화,138,29,23,6,79.3,6,2
2,정은원,한화,139,30,19,11,63.3,6,1
3,노수광,한화,52,14,13,1,92.9,5,1
4,김민하,한화,46,9,6,3,66.7,3,1
5,김태연,한화,53,8,5,3,62.5,2,1
5,노시환,한화,107,7,5,2,71.4,4,2
7,이원석,한화,43,6,4,2,66.7,2,0
7,정진호,한화,47,5,4,1,80.0,2,0
7,페레즈,한화,59,9,4,5,44.4,2,0
10,강상원,한화,35,3,3,0,100,1,1
10,장운호,한화,103,9,3,6,33.3,4,2
10,조한민,한화,52,5,3,2,60.0,1,1
10,최재훈,한화,116,5,3,2,60.0,7,0
14,유로결,한화,34,3,2,1,66.7,1,0
14,이시원,한화,33,4,2,2,50.0,1,0
14,장지승,한화,24,2,2,0,100,1,0
14,최인호,한화,49,3,2,1,66.7,1,0
14,힐리,한화,67,3,2,1,66.7,2,0
19,박정현,한화,33,1,1,0,100,1,0
19,이도윤,한화,56,3,1,2,33.3,0,0
19,이성열,한화,46,1,1,0,100,3,0
22,강재민,한화,2,0,0,0,-,0,0
22,김기탁,한화,1,0,0,0,-,0,0
22,김종수,한화,1,0,0,0,-,0,0
22,김지수,한화,11,0,0,0,-,0,0
22,김태균,한화,1,0,0,0,-,0,0
22,김건,한화,5,0,0,0,-,0,0
22,노태형,한화,18,0,0,0,-,0,0
22,박상언,한화,1,0,0,0,-,0,0
22,백용환,한화,39,0,0,0,-,1,0
22,송윤준,한화,1,0,0,0,-,0,0
22,송호정,한화,10,0,0,0,-,0,1
22,신정락,한화,1,0,0,0,-,0,0
22,윤대경,한화,1,0,0,0,-,0,0
22,윤호솔,한화,1,0,0,0,-,0,0
22,이성곤,한화,62,3,0,3,0.0,0,0
22,이해창,한화,20,1,0,1,0.0,0,0
22,임종찬,한화,42,1,0,1,0.0,1,0
22,임준섭,한화,1,0,0,0,-,0,0
22,장규현,한화,7,0,0,0,-,0,0
22,장민재,한화,1,0,0,0,-,0,0
22,정민규,한화,6,0,0,0,-,0,0
22,정우람,한화,4,0,0,0,-,0,0
22,허관회,한화,28,0,0,0,-,1,1
