순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,허관회,한화,0.5,0,0,0,-,0,0.0,3.5,0.0,0.4,0.35
2,김건,한화,0.4,0,1,1,1.00,0,0.0,3.6,0.0,0.7,0.28
3,최승준,한화,0.333,0,0,0,-,0,0.0,4.0,0.0,0.6,0.308
4,최재훈,한화,0.301,22,91,102,0.89,3,0.66,3.85,0.083,49.2,0.268
5,이용규,한화,0.286,17,139,125,1.11,2,1.64,4.25,0.05,57.6,0.256
6,하주석,한화,0.286,13,72,51,1.41,3,0.2,3.59,0.065,29.7,0.233
7,김민하,한화,0.284,7,21,16,1.31,1,0.5,3.82,0.122,10.6,0.267
8,박정현,한화,0.279,4,16,11,1.45,0,0.18,3.36,0.098,6.3,0.235
9,정진호,한화,0.277,17,88,68,1.29,3,0.58,3.75,0.078,35.2,0.245
10,이해창,한화,0.269,8,32,34,0.94,1,0.39,3.61,0.118,14.2,0.248
11,반즈,한화,0.265,27,55,74,0.74,6,0.33,3.88,0.163,41.6,0.261
12,노수광,한화,0.251,14,83,72,1.15,3,0.53,3.99,0.065,32.6,0.228
13,정은원,한화,0.248,14,78,73,1.07,3,1.0,4.34,0.087,34.3,0.247
14,최인호,한화,0.236,0,33,32,1.03,0,0.12,3.85,0.0,7.4,0.176
15,송광민,한화,0.235,21,80,66,1.21,1,0.2,3.52,0.141,24.5,0.218
16,최진행,한화,0.234,13,56,52,1.08,3,0.31,4.18,0.136,23.2,0.229
17,오선진,한화,0.234,6,61,51,1.20,1,0.41,3.76,0.051,14.5,0.206
18,임종찬,한화,0.231,6,19,26,0.73,3,0.24,3.93,0.074,9.1,0.21
19,강경학,한화,0.228,12,51,36,1.42,1,0.55,4.19,0.109,26.6,0.243
20,양성우,한화,0.222,0,3,1,3.00,0,0.0,4.33,0.0,0.3,0.155
21,조한민,한화,0.22,4,9,8,1.13,0,0.0,3.98,0.08,3.4,0.188
22,노시환,한화,0.22,32,82,73,1.12,3,0.28,3.88,0.168,39.4,0.231
23,김태균,한화,0.219,13,55,76,0.72,4,0.71,3.98,0.078,21.0,0.216
24,김문호,한화,0.217,3,18,7,2.57,0,0.45,3.56,0.152,5.4,0.231
24,박상언,한화,0.217,3,6,14,0.43,0,0.0,3.83,0.065,2.3,0.176
26,노태형,한화,0.216,5,25,24,1.04,1,0.23,3.93,0.059,8.1,0.197
27,이도윤,한화,0.208,1,7,6,1.17,1,0.17,3.96,0.042,1.3,0.17
28,이성열,한화,0.203,13,59,53,1.11,1,0.23,3.7,0.128,20.3,0.204
29,호잉,한화,0.194,8,23,43,0.53,0,0.26,3.63,0.129,9.2,0.195
30,김회성,한화,0.167,1,5,5,1.00,0,0.5,4.16,0.056,1.4,0.192
30,유로결,한화,0.167,1,13,4,3.25,0,0.22,4.09,0.024,1.5,0.155
32,정기훈,한화,0.161,2,5,6,0.83,0,0.20,4.08,0.065,1.9,0.182
33,김지수,한화,0.160,1,5,9,0.56,0,0.14,3.77,0.120,1.3,0.156
34,장진혁,한화,0.156,1,8,13,0.62,0,0.83,4.05,0.063,2.3,0.176
35,박한결,한화,0.150,0,2,7,0.29,0,0.25,3.42,0.000,-0.1,0.14
36,장운호,한화,0.148,2,5,9,0.56,0,0.22,3.93,0.148,1.7,0.167
37,이시원,한화,0.105,0,15,5,3.00,0,0.00,4.18,0.000,-0.8,0.084
38,김진욱,한화,0.000,0,0,0,-,0,0.00,3.00,0.000,-0.1,0.0
38,정우람,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
