순위,선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
1,호잉,한화,124,29,22,7,75.9,6,0
2,정은원,한화,142,21,14,7,66.7,6,2
3,장진혁,한화,113,18,13,5,72.2,7,1
4,송광민,한화,122,10,8,2,80.0,5,0
4,이성열,한화,129,12,8,4,66.7,3,0
4,정근우,한화,88,13,8,5,61.5,5,0
7,오선진,한화,122,9,7,2,77.8,3,0
8,김민하,한화,72,7,5,2,71.4,2,0
9,김태균,한화,127,3,3,0,100,6,1
9,유로결,한화,38,3,3,0,100,1,0
9,이시원,한화,14,3,3,0,100,1,0
9,최재훈,한화,135,13,3,10,23.1,2,0
13,김회성,한화,58,3,2,1,66.7,0,0
13,노시환,한화,91,4,2,2,50.0,0,1
13,이원석,한화,13,2,2,0,100,2,1
16,강경학,한화,52,3,1,2,33.3,0,0
16,양성우,한화,56,1,1,0,100,0,0
18,김경태,한화,1,0,0,0,-,0,0
18,김인환,한화,18,0,0,0,-,1,0
18,김종민,한화,10,0,0,0,-,0,0
18,김종수,한화,1,0,0,0,-,0,0
18,김창혁,한화,3,0,0,0,-,0,0
18,김태연,한화,9,0,0,0,-,0,0
18,박상언,한화,1,0,0,0,-,0,0
18,박준혁,한화,4,0,0,0,-,0,0
18,박한결,한화,9,1,0,1,0.0,0,0
18,백진우,한화,16,0,0,0,-,0,0
18,변우혁,한화,29,0,0,0,-,0,0
18,서폴드,한화,1,0,0,0,-,0,0
18,신정락,한화,1,0,0,0,-,0,0
18,안영명,한화,1,0,0,0,-,0,0
18,이창열,한화,11,0,0,0,-,0,0
18,임준섭,한화,2,0,0,0,-,0,0
18,장운호,한화,7,1,0,1,0.0,0,0
18,정우람,한화,4,0,0,0,-,0,0
18,지시완,한화,58,0,0,0,-,0,0
18,최윤석,한화,7,0,0,0,-,0,0
18,최진행,한화,45,0,0,0,-,1,0
18,하주석,한화,5,0,0,0,-,0,0
