순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,손아섭,NC,0.339,44,181,121,1.50,5,0.75,3.74,0.103,91.7,0.288
2,박한결,NC,0.333,2,0,3,0.00,0,0.43,4.06,0.267,3.7,0.35
3,박건우,NC,0.319,48,103,147,0.70,10,0.79,3.78,0.162,84.1,0.299
4,박민우,NC,0.316,29,140,115,1.22,6,0.70,3.77,0.088,68.6,0.273
5,서호철,NC,0.287,25,113,123,0.92,3,0.39,3.54,0.096,48.2,0.245
6,박대온,NC,0.286,3,4,9,0.44,0,0.38,3.33,0.107,4.5,0.262
7,권희동,NC,0.285,23,73,103,0.71,10,0.98,4.40,0.120,53.4,0.276
8,마틴,NC,0.283,39,85,130,0.65,10,0.53,4.10,0.172,76.0,0.276
9,최보성,NC,0.263,0,4,8,0.50,0,1.00,3.33,0.000,1.5,0.216
10,최정원,NC,0.260,5,13,11,1.18,1,0.08,3.64,0.140,6.3,0.242
11,윤형준,NC,0.252,18,48,60,0.80,6,0.17,3.85,0.133,23.5,0.227
12,천재환,NC,0.239,10,36,46,0.78,2,0.18,3.55,0.092,14.4,0.212
13,김형준,NC,0.236,8,11,20,0.55,0,0.33,4.18,0.278,11.4,0.273
14,오영수,NC,0.236,14,62,45,1.38,2,0.31,3.82,0.111,22.5,0.224
15,도태훈,NC,0.234,11,68,68,1.00,2,0.79,4.12,0.088,33.5,0.25
16,김주원,NC,0.233,21,90,117,0.77,6,0.42,4.11,0.107,52.1,0.233
17,김성욱,NC,0.223,16,29,48,0.60,3,0.25,3.88,0.156,20.6,0.231
18,김한별,NC,0.216,1,41,12,3.42,0,0.17,3.71,0.021,3.0,0.177
19,김수윤,NC,0.214,0,4,3,1.33,1,0.25,4.00,0.000,0.8,0.174
20,박세혁,NC,0.211,18,57,92,0.62,3,0.70,3.81,0.136,28.1,0.225
21,조현진,NC,0.200,0,2,1,2.00,0,0.00,4.20,0.000,-0.2,0.14
21,한석현,NC,0.200,1,15,13,1.15,0,0.20,3.71,0.017,2.5,0.167
23,안중열,NC,0.195,10,40,41,0.98,0,0.36,3.96,0.117,13.3,0.202
24,박석민,NC,0.193,2,20,30,0.67,0,0.64,4.09,0.045,7.8,0.204
25,박주찬,NC,0.143,0,4,6,0.67,0,0.00,4.07,0.000,-0.1,0.1
25,오장한,NC,0.143,0,1,0,-,0,0.20,4.25,0.000,0.3,0.148
27,박영빈,NC,0.071,1,5,2,2.50,0,0.17,3.47,0.071,0.0,0.096
28,김시훈,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
28,류진욱,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
28,오태양,NC,0.000,0,0,0,-,0,0.00,3.67,0.000,-0.7,0.0
28,이용찬,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
28,전사민,NC,0.000,0,1,0,-,0,-,2.00,0.000,-0.1,0.0
28,채원후,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
28,한재승,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
