순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,김한별,NC,0.370,1,5,5,1.00,0,0.14,4.26,0.037,5.0,0.305
2,박건우,NC,0.353,29,52,70,0.74,3,0.66,3.80,0.180,51.0,0.323
3,김수윤,NC,0.333,0,0,1,0.00,0,0.33,4.00,0.000,1.0,0.276
3,박민우,NC,0.333,19,49,66,0.74,3,0.78,3.97,0.126,46.1,0.306
3,박영빈,NC,0.333,1,0,0,-,0,0.00,5.33,0.333,0.9,0.317
6,손아섭,NC,0.297,22,102,62,1.65,6,0.24,3.80,0.118,41.6,0.249
7,서호철,NC,0.295,13,68,65,1.05,2,0.38,3.83,0.075,35.2,0.259
8,데이비슨,NC,0.284,33,44,66,0.67,3,0.29,3.95,0.307,54.2,0.309
9,천재환,NC,0.283,4,10,15,0.67,0,0.38,3.77,0.152,6.6,0.268
10,최정원,NC,0.271,2,24,9,2.67,1,0.63,4.38,0.029,10.3,0.253
11,권희동,NC,0.270,15,69,70,0.99,6,1.05,4.56,0.082,37.9,0.264
12,박시원,NC,0.269,3,7,8,0.88,0,0.50,3.46,0.269,4.5,0.279
13,박한결,NC,0.265,7,6,9,0.67,0,0.20,3.89,0.559,8.7,0.344
14,박세혁,NC,0.236,5,12,16,0.75,1,0.30,3.91,0.069,7.1,0.221
15,김형준,NC,0.227,20,30,47,0.64,6,0.43,4.22,0.217,33.3,0.265
16,김휘집,NC,0.221,21,41,82,0.50,1,0.33,4.14,0.164,28.3,0.229
17,한석현,NC,0.217,0,7,4,1.75,0,0.14,4.00,0.000,0.8,0.18
18,도태훈,NC,0.205,3,24,17,1.41,1,0.67,4.30,0.041,7.9,0.217
19,김성욱,NC,0.204,17,45,80,0.56,3,0.45,4.03,0.175,26.9,0.233
20,김주원,NC,0.200,12,37,62,0.60,2,0.40,4.15,0.115,24.9,0.223
20,오영수,NC,0.200,3,3,16,0.19,0,0.33,4.24,0.300,5.0,0.244
22,김세훈,NC,0.000,0,2,0,-,0,0.50,4.40,0.000,0.0,0.09
22,김영규,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
22,김재열,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
22,류진욱,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
22,송명기,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
22,한재승,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
