순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,박건우,NC,0.336,111,463,408,52,137,18,1,10,187,61,0,3,44,1,8,62,10,0.458,0.408,0.866,40,0.317,0.0
2,최승민,NC,0.324,44,34,34,19,11,0,0,0,11,3,0,0,0,0,0,7,1,0.324,0.324,0.648,1,0.154,0.0
3,마티니,NC,0.296,139,576,510,67,151,34,1,16,235,85,0,7,51,5,8,86,8,0.461,0.365,0.826,42,0.306,1.0
4,양의지,NC,0.283,130,510,427,61,121,24,0,20,205,94,0,10,60,6,13,48,16,0.480,0.380,0.860,28,0.35,0.667
5,노진혁,NC,0.280,115,451,396,50,111,24,0,15,180,75,3,5,45,3,2,105,11,0.455,0.353,0.808,26,0.295,0.0
6,손아섭,NC,0.277,138,617,548,72,152,29,4,4,201,48,1,6,59,2,3,76,9,0.367,0.347,0.714,45,0.3,0.0
7,전민수,NC,0.275,20,41,40,3,11,2,0,0,13,2,0,0,1,0,0,14,0,0.325,0.293,0.618,2,0.2,0.5
8,박민우,NC,0.267,104,451,390,61,104,22,1,4,140,38,6,3,42,5,10,55,7,0.359,0.351,0.710,28,0.264,0.0
9,이명기,NC,0.260,94,341,300,36,78,13,2,0,95,23,6,2,30,0,3,56,8,0.317,0.331,0.648,20,0.253,0.167
10,오영수,NC,0.238,83,259,231,25,55,10,0,6,83,31,0,3,22,0,3,58,4,0.359,0.309,0.668,12,0.3,0.3
11,권희동,NC,0.227,82,280,238,30,54,5,1,5,76,22,2,1,31,1,8,44,3,0.319,0.335,0.654,13,0.218,0.0
12,김주원,NC,0.223,96,326,273,35,61,9,3,10,106,47,9,0,30,1,14,89,4,0.388,0.331,0.719,13,0.293,0.333
13,김기환,NC,0.221,73,131,113,26,25,5,1,0,32,6,2,1,13,0,2,38,0,0.283,0.310,0.593,4,0.241,0.0
14,박준영,NC,0.216,75,240,208,27,45,8,1,4,67,19,3,1,27,0,1,54,6,0.322,0.308,0.630,11,0.179,0.0
15,도태훈,NC,0.216,91,163,139,18,30,7,0,2,43,13,7,3,13,0,1,23,5,0.309,0.282,0.591,6,0.086,0.167
16,윤형준,NC,0.209,35,69,67,5,14,1,0,1,18,5,0,0,1,0,1,21,1,0.269,0.232,0.501,2,0.333,0.267
17,서호철,NC,0.205,89,214,195,26,40,8,0,2,54,14,3,0,12,0,4,41,6,0.277,0.265,0.542,9,0.137,0.143
18,이재용,NC,0.200,8,6,5,1,1,0,0,1,4,2,0,0,1,0,0,2,1,0.800,0.333,1.133,0,1.0,0.0
19,정진기,NC,0.189,39,59,53,4,10,2,0,1,15,4,0,0,6,0,0,19,1,0.283,0.271,0.554,0,0.231,0.273
20,박대온,NC,0.181,59,133,127,8,23,4,0,1,30,10,3,1,0,0,2,37,4,0.236,0.192,0.428,5,0.194,0.0
21,박석민,NC,0.149,16,58,47,3,7,2,0,0,9,2,1,0,9,0,1,8,3,0.191,0.298,0.489,2,0.0,0.0
22,정범모,NC,0.143,5,7,7,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0.143,0.143,0.286,0,0.5,0.0
22,천재환,NC,0.143,29,36,35,4,5,1,0,1,9,1,0,0,0,0,1,11,1,0.257,0.167,0.424,0,0.0,0.286
24,김응민,NC,0.134,34,75,67,7,9,1,0,1,13,5,2,1,3,0,2,12,3,0.194,0.192,0.386,1,0.105,0.0
25,김수윤,NC,0.118,10,18,17,1,2,1,0,1,6,2,0,0,1,0,0,7,0,0.353,0.167,0.520,0,0.333,0.0
26,김한별,NC,0.095,24,23,21,0,2,0,0,0,2,0,2,0,0,0,0,6,0,0.095,0.095,0.190,0,0.0,0.0
27,김진호,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,김태경,NC,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,류진욱,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,오태양,NC,0.000,15,4,3,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0.000,0.250,0.250,0,0.0,0.0
27,원종현,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,이용준,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,이용찬,NC,-,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,하준영,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,한재승,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
