순위,선수명,팀명,타율,타수,안타,2루타,3루타,홈런,타점,볼넷,사구,삼진,병살타,타순
1,김성욱,NC,1.0,1,1,0,0,1,1,0,0,0,0,1번
1,김주원,NC,1.0,1,1,0,0,0,1,1,0,0,0,1번
3,서호철,NC,0.4,5,2,0,0,0,0,0,1,1,1,1번
4,박민우,NC,0.329,228,75,13,2,4,19,31,7,40,3,1번
5,손아섭,NC,0.259,58,15,2,0,0,5,2,0,11,1,1번
6,최정원,NC,0.231,26,6,0,0,0,3,4,0,9,1,1번
7,김한별,NC,0.0,1,0,0,0,0,0,0,0,0,0,1번
7,김휘집,NC,0.0,1,0,0,0,0,0,0,0,1,0,1번
7,도태훈,NC,0.0,3,0,0,0,0,0,0,1,1,0,1번
7,박한결,NC,0.0,1,0,0,0,0,0,0,0,1,0,1번
1,김수윤,NC,1.0,1,1,0,0,0,0,0,0,0,0,2번
2,김한별,NC,0.5,2,1,0,0,0,0,0,0,1,0,2번
3,도태훈,NC,0.333,3,1,0,0,0,0,0,0,0,0,2번
3,박영빈,NC,0.333,3,1,1,0,0,0,0,0,2,0,2번
5,손아섭,NC,0.32,97,31,5,0,3,14,3,0,17,0,2번
6,최정원,NC,0.314,35,11,2,0,0,4,7,2,8,0,2번
7,권희동,NC,0.293,92,27,7,0,1,10,17,3,18,3,2번
8,서호철,NC,0.232,69,16,2,0,1,6,4,5,17,1,2번
9,김성욱,NC,0.0,3,0,0,0,0,0,0,0,0,1,2번
9,김주원,NC,0.0,1,0,0,0,0,1,1,0,0,0,2번
9,김휘집,NC,0.0,9,0,0,0,0,0,1,0,4,0,2번
9,박한결,NC,0.0,1,0,0,0,0,0,0,0,1,0,2번
9,천재환,NC,0.0,1,0,0,0,0,0,0,0,0,0,2번
9,한석현,NC,0.0,3,0,0,0,0,0,0,0,1,0,2번
1,박세혁,NC,1.0,1,1,1,0,0,0,0,0,0,0,3번
1,서호철,NC,1.0,1,1,0,0,0,0,0,0,0,0,3번
3,김성욱,NC,0.5,2,1,0,1,0,0,0,0,1,0,3번
4,김휘집,NC,0.429,7,3,1,0,0,0,1,1,1,0,3번
5,권희동,NC,0.364,11,4,1,0,0,5,2,0,3,0,3번
6,박건우,NC,0.351,168,59,18,0,5,24,16,1,29,6,3번
7,최정원,NC,0.333,3,1,0,0,0,0,0,0,0,0,3번
8,손아섭,NC,0.291,117,34,7,0,2,20,6,0,22,0,3번
9,박한결,NC,0.25,4,1,0,0,1,1,1,0,2,0,3번
10,한석현,NC,0.167,6,1,0,0,0,1,1,0,1,2,3번
11,김수윤,NC,0.0,1,0,0,0,0,0,0,0,0,0,3번
11,데이비슨,NC,0.0,4,0,0,0,0,0,1,0,3,0,3번
11,도태훈,NC,0.0,1,0,0,0,0,0,1,0,0,0,3번
11,오영수,NC,0.0,1,0,0,0,0,0,0,0,0,0,3번
11,천재환,NC,0.0,4,0,0,0,0,1,0,1,1,0,3번
1,박민우,NC,1.0,2,2,0,0,0,0,0,0,0,0,4번
2,오영수,NC,0.5,4,2,0,0,1,2,0,0,0,0,4번
2,천재환,NC,0.5,2,1,0,0,1,1,0,0,1,0,4번
4,데이비슨,NC,0.289,253,73,10,0,23,57,22,10,76,4,4번
5,권희동,NC,0.265,34,9,3,1,0,7,6,0,4,1,4번
6,도태훈,NC,0.125,8,1,0,0,0,1,0,0,3,0,4번
7,최정원,NC,0.0,1,0,0,0,0,0,0,0,0,0,4번
1,박세혁,NC,0.667,3,2,0,0,0,0,0,0,0,0,5번
2,천재환,NC,0.444,9,4,0,0,0,2,0,1,2,1,5번
3,박건우,NC,0.353,85,30,2,1,3,14,13,1,14,0,5번
4,손아섭,NC,0.324,34,11,1,0,2,9,2,0,5,0,5번
5,박한결,NC,0.308,13,4,0,0,2,4,0,0,4,0,5번
6,권희동,NC,0.25,104,26,1,0,1,14,18,3,17,2,5번
7,김휘집,NC,0.19,42,8,0,0,2,8,6,0,10,4,5번
8,한석현,NC,0.143,7,1,0,0,0,0,0,0,2,0,5번
