순위,선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
1,오지환,LG,134,32,27,5,84.4,5,2
2,이천웅,LG,138,31,21,10,67.7,3,0
3,정주현,LG,129,21,15,6,71.4,4,1
4,신민재,LG,81,18,10,8,55.6,2,1
5,김용의,LG,114,11,8,3,72.7,1,0
6,이형종,LG,120,11,6,5,54.5,4,0
7,김현수,LG,140,4,3,1,75.0,4,0
7,박용택,LG,64,4,3,1,75.0,0,0
7,홍창기,LG,23,3,3,0,100,0,0
10,구본혁,LG,57,3,2,1,66.7,0,0
10,김민성,LG,107,3,2,1,66.7,2,0
10,전민수,LG,75,3,2,1,66.7,0,0
10,채은성,LG,128,4,2,2,50.0,1,1
10,페게로,LG,52,3,2,1,66.7,0,1
15,백승현,LG,14,1,1,0,100,0,0
15,윤진호,LG,106,2,1,1,50.0,1,0
17,고우석,LG,1,0,0,0,-,0,0
17,김재성,LG,3,0,0,0,-,0,0
17,김재율,LG,4,0,0,0,-,0,0
17,류형우,LG,10,0,0,0,-,0,0
17,문광은,LG,2,0,0,0,-,0,0
17,박지규,LG,10,0,0,0,-,0,0
17,서상우,LG,13,0,0,0,-,1,0
17,양원혁,LG,1,0,0,0,-,0,0
17,양종민,LG,18,0,0,0,-,1,0
17,여건욱,LG,3,0,0,0,-,0,0
17,유강남,LG,132,0,0,0,-,8,0
17,이상영,LG,1,0,0,0,-,0,0
17,이성우,LG,55,0,0,0,-,1,0
17,장원삼,LG,1,0,0,0,-,0,0
17,전준호,LG,8,0,0,0,-,0,0
17,정상호,LG,22,0,0,0,-,0,0
17,정우영,LG,1,0,0,0,-,0,0
17,정찬헌,LG,1,0,0,0,-,0,0
17,조셉,LG,55,1,0,1,0.0,0,0
17,최동환,LG,2,0,0,0,-,0,0
