순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,채은성,LG,0.315,31,130,133,0.98,9,0.36,3.64,0.119,71.8,0.27
2,이천웅,LG,0.308,29,186,111,1.68,6,0.70,3.81,0.066,75.4,0.264
3,김현수,LG,0.304,48,165,158,1.04,9,1.04,3.67,0.133,84.2,0.276
4,페게로,LG,0.286,19,32,48,0.67,6,0.19,3.86,0.186,30.3,0.267
5,이형종,LG,0.286,38,103,128,0.80,4,0.54,3.67,0.155,68.0,0.272
6,박용택,LG,0.282,10,48,64,0.75,0,0.60,3.62,0.062,23.5,0.239
7,조셉,LG,0.274,12,44,55,0.80,3,0.30,3.60,0.152,28.3,0.256
8,유강남,LG,0.270,38,115,114,1.01,8,0.37,3.86,0.167,56.8,0.26
9,김민성,LG,0.260,24,86,107,0.80,8,0.40,3.91,0.111,41.1,0.238
10,오지환,LG,0.252,37,122,122,1.00,8,0.50,4.11,0.127,66.7,0.247
11,홍창기,LG,0.250,2,4,2,2.00,0,0.08,4.42,0.083,2.6,0.222
12,전민수,LG,0.240,7,26,29,0.90,1,0.50,4.02,0.073,8.0,0.216
13,서상우,LG,0.238,1,6,2,3.00,0,0.38,4.04,0.048,1.9,0.221
14,신민재,LG,0.235,3,35,11,3.18,1,0.47,4.31,0.037,7.8,0.213
15,정주현,LG,0.231,23,105,94,1.12,3,0.34,3.83,0.077,32.9,0.208
16,김용의,LG,0.218,8,58,45,1.29,3,0.63,3.88,0.061,18.7,0.212
17,김재성,LG,0.200,0,2,0,-,0,1.00,4.29,0.000,0.8,0.243
18,류형우,LG,0.182,0,6,0,-,0,0.33,3.33,0.000,0.1,0.158
19,구본혁,LG,0.176,2,24,30,0.80,2,0.35,3.64,0.047,5.4,0.166
20,백승현,LG,0.167,1,10,5,2.00,0,0.00,3.30,0.033,0.2,0.125
21,이성우,LG,0.156,3,30,13,2.31,2,0.36,3.55,0.047,2.5,0.158
22,양종민,LG,0.136,2,16,8,2.00,0,0.13,3.78,0.045,-0.1,0.122
23,김재율,LG,0.111,0,4,4,1.00,0,-,4.33,0.000,-0.2,0.078
24,윤진호,LG,0.102,3,19,21,0.90,0,0.08,3.37,0.085,-0.2,0.099
25,박지규,LG,0.091,0,2,1,2.00,0,0.57,4.39,0.000,1.6,0.208
26,정상호,LG,0.083,1,6,5,1.20,0,0.00,3.50,0.042,-2.0,0.069
27,고우석,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
27,문광은,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
27,양원혁,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
27,여건욱,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
27,이상영,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
27,장원삼,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
27,전준호,LG,0.000,0,3,1,3.00,0,0.00,4.40,0.000,-0.5,0.0
27,정우영,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
27,정찬헌,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
27,최동환,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
