순위,선수명,팀명,타율,타수,안타,2루타,3루타,홈런,타점,볼넷,사구,삼진,병살타,타순
1,이재원,LG,0.5,2,1,0,0,1,2,0,0,1,0,1번
2,이영빈,LG,0.333,3,1,0,0,0,0,0,0,0,0,1번
3,홍창기,LG,0.328,519,170,25,2,4,52,108,16,94,6,1번
4,서건창,LG,0.274,113,31,4,1,3,10,11,1,19,6,1번
5,이천웅,LG,0.263,19,5,1,0,0,2,2,0,4,0,1번
6,구본혁,LG,0.0,1,0,0,0,0,0,0,0,0,0,1번
6,김용의,LG,0.0,2,0,0,0,0,0,0,0,1,0,1번
6,신민재,LG,0.0,1,0,0,0,0,0,1,0,0,0,1번
6,안익훈,LG,0.0,2,0,0,0,0,0,0,1,0,0,1번
6,이형종,LG,0.0,1,0,0,0,0,0,1,0,0,0,1번
1,안익훈,LG,0.500,2,1,0,0,0,0,0,0,0,0,2번
1,정주현,LG,0.500,4,2,1,0,0,0,1,0,0,0,2번
3,라모스,LG,0.308,26,8,1,0,1,4,4,0,2,0,2번
4,김현수,LG,0.282,117,33,3,0,4,22,11,1,8,2,2번
5,이주형,LG,0.250,4,1,0,0,0,0,0,0,1,0,2번
6,이형종,LG,0.247,81,20,2,0,8,19,18,2,14,6,2번
7,오지환,LG,0.238,168,40,6,1,1,12,14,3,36,3,2번
8,문보경,LG,0.211,19,4,0,0,0,2,4,0,3,0,2번
9,서건창,LG,0.206,126,26,9,0,0,9,24,3,17,3,2번
10,문성주,LG,0.200,10,2,0,0,0,0,1,1,0,1,2번
11,이천웅,LG,0.169,59,10,1,0,1,8,7,0,4,7,2번
12,구본혁,LG,0.000,1,0,0,0,0,0,0,1,0,0,2번
12,김민성,LG,0.000,1,0,0,0,0,0,0,0,0,0,2번
12,김용의,LG,0.000,5,0,0,0,0,0,2,0,3,0,2번
12,손호영,LG,0.000,2,0,0,0,0,0,0,1,1,0,2번
12,유강남,LG,-,0,0,0,0,0,0,1,0,0,0,2번
12,이상호,LG,0.000,1,0,0,0,0,0,0,0,1,0,2번
12,이영빈,LG,0.000,10,0,0,0,0,0,0,0,3,0,2번
12,이재원,LG,0.000,1,0,0,0,0,0,0,0,0,0,2번
1,문성주,LG,1.0,1,1,0,0,0,0,0,0,0,0,3번
1,이영빈,LG,1.0,1,1,0,0,0,0,0,0,0,0,3번
1,홍창기,LG,1.0,1,1,0,0,0,0,1,0,0,0,3번
4,신민재,LG,0.4,5,2,0,0,0,2,0,0,0,0,3번
5,이상호,LG,0.333,6,2,0,0,0,2,0,0,2,0,3번
6,김현수,LG,0.28,321,90,14,0,12,61,55,2,30,5,3번
7,서건창,LG,0.269,212,57,8,1,3,24,23,4,28,5,3번
8,이형종,LG,0.125,24,3,1,0,0,1,1,0,7,0,3번
9,라모스,LG,0.083,12,1,0,0,0,0,2,0,2,0,3번
10,구본혁,LG,0.0,2,0,0,0,0,0,0,0,0,0,3번
10,김용의,LG,0.0,1,0,0,0,0,0,0,0,0,0,3번
10,안익훈,LG,0.0,1,0,0,0,0,0,0,0,0,0,3번
10,유강남,LG,0.0,1,0,0,0,0,0,0,0,0,0,3번
10,이재원,LG,0.0,2,0,0,0,0,0,0,0,2,0,3번
10,이천웅,LG,0.0,3,0,0,0,0,0,0,0,0,0,3번
10,장준원,LG,0.0,1,0,0,0,0,0,0,0,0,0,3번
10,채은성,LG,0.0,10,0,0,0,0,1,0,0,2,0,3번
1,김재성,LG,1.0,1,1,0,0,0,0,0,0,0,0,4번
2,김용의,LG,0.5,2,1,0,0,0,1,1,0,0,0,4번
3,유강남,LG,0.4,5,2,0,0,0,0,0,0,1,0,4번
4,문보경,LG,0.333,3,1,1,0,0,0,0,0,1,0,4번
4,안익훈,LG,0.333,3,1,1,0,0,1,0,1,0,0,4번
6,김현수,LG,0.309,68,21,6,1,1,13,11,0,4,0,4번
7,채은성,LG,0.296,297,88,16,0,14,77,34,15,67,7,4번
8,서건창,LG,0.286,21,6,1,0,0,5,2,0,4,0,4번
9,라모스,LG,0.193,57,11,4,0,3,7,8,0,16,0,4번
10,이형종,LG,0.146,41,6,2,0,1,6,5,1,12,3,4번
11,이재원,LG,0.13,23,3,2,0,1,1,1,2,9,0,4번
12,보어,LG,0.107,28,3,0,0,1,2,2,1,11,2,4번
13,신민재,LG,0.0,3,0,0,0,0,0,0,0,0,0,4번
13,오지환,LG,0.0,4,0,0,0,0,0,0,0,0,0,4번
13,이영빈,LG,0.0,2,0,0,0,0,0,0,0,1,0,4번
