순위,선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
1,신민재,LG,122,54,37,17,68.5,6,1
2,박해민,LG,144,38,26,12,68.4,11,2
3,문성주,LG,136,38,24,14,63.2,6,2
4,홍창기,LG,141,46,23,23,50.0,10,3
5,오지환,LG,126,23,16,7,69.6,7,2
6,문보경,LG,131,17,9,8,52.9,8,2
7,최승민,LG,38,11,8,3,72.7,1,1
8,오스틴,LG,139,10,7,3,70.0,5,2
9,이재원,LG,57,6,4,2,66.7,0,0
10,서건창,LG,44,6,3,3,50.0,3,0
11,김민성,LG,112,3,2,1,66.7,2,0
11,김현수,LG,133,3,2,1,66.7,5,0
11,손호영,LG,27,3,2,1,66.7,0,0
14,김기연,LG,28,1,1,0,100,1,0
14,송찬의,LG,19,1,1,0,100,1,0
14,정주현,LG,89,6,1,5,16.7,1,0
17,고우석,LG,1,0,0,0,-,0,0
17,김대현,LG,2,0,0,0,-,0,0
17,김범석,LG,10,0,0,0,-,0,0
17,김주성,LG,11,0,0,0,-,1,0
17,박동원,LG,130,1,0,1,0.0,7,0
17,박명근,LG,2,0,0,0,-,0,0
17,송대현,LG,4,0,0,0,-,0,0
17,안익훈,LG,11,0,0,0,-,3,0
17,오석주,LG,1,0,0,0,-,0,0
17,이정용,LG,1,0,0,0,-,0,0
17,이천웅,LG,4,0,0,0,-,0,0
17,전준호,LG,2,0,0,0,-,0,0
17,최동환,LG,3,0,0,0,-,0,0
17,허도환,LG,47,0,0,0,-,0,0
