순위,선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
1,박해민,LG,144,30,24,6,80.0,8,1
2,오지환,LG,142,27,20,7,74.1,5,2
3,홍창기,LG,118,17,13,4,76.5,1,0
4,문성주,LG,106,15,9,6,60.0,6,1
5,서건창,LG,77,11,8,3,72.7,2,0
6,문보경,LG,126,7,7,0,100,5,2
7,채은성,LG,126,13,6,7,46.2,3,0
8,가르시아,LG,39,5,4,1,80.0,2,2
9,이재원,LG,85,4,3,1,75.0,4,1
10,김현수,LG,141,3,2,1,66.7,2,0
10,송찬의,LG,33,3,2,1,66.7,2,0
10,신민재,LG,14,4,2,2,50.0,0,0
13,루이즈,LG,27,1,1,0,100,0,0
13,이상호,LG,60,3,1,2,33.3,0,0
15,고우석,LG,4,0,0,0,-,0,0
15,김기연,LG,12,0,0,0,-,0,0
15,김민성,LG,92,1,0,1,0.0,0,0
15,김진성,LG,2,0,0,0,-,0,0
15,김호은,LG,2,0,0,0,-,0,0
15,박용택,LG,1,0,0,0,-,0,0
15,박재욱,LG,1,0,0,0,-,0,0
15,배재준,LG,1,0,0,0,-,0,0
15,백승현,LG,1,0,0,0,-,0,0
15,손호영,LG,36,3,0,3,0.0,1,0
15,송승기,LG,1,0,0,0,-,0,0
15,송은범,LG,2,0,0,0,-,0,0
15,안익훈,LG,14,0,0,0,-,0,0
15,유강남,LG,139,0,0,0,-,5,1
15,이영빈,LG,60,0,0,0,-,0,0
15,이천웅,LG,19,0,0,0,-,0,0
15,이형종,LG,26,0,0,0,-,0,0
15,정우영,LG,1,0,0,0,-,0,0
15,진해수,LG,1,0,0,0,-,0,0
15,채원후,LG,1,0,0,0,-,0,0
15,최동환,LG,4,0,0,0,-,0,0
15,최민창,LG,4,0,0,0,-,0,0
15,최성훈,LG,2,0,0,0,-,0,0
15,한석현,LG,6,1,0,1,0.0,0,0
15,함덕주,LG,1,0,0,0,-,0,0
15,허도환,LG,64,0,0,0,-,0,0
15,허준혁,LG,1,0,0,0,-,0,0
