순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,손호영,LG,0.367,2,5,8,0.63,0,0.17,3.29,0.067,4.7,0.282
2,김현수,LG,0.331,59,153,167,0.92,16,1.19,3.80,0.192,106.7,0.309
3,신민재,LG,0.308,1,13,1,13.00,1,1.00,3.69,0.038,4.4,0.267
4,오지환,LG,0.300,58,123,135,0.91,3,0.39,4.10,0.161,86.9,0.278
5,박용택,LG,0.300,17,57,65,0.88,3,0.44,3.67,0.097,28.0,0.252
6,이형종,LG,0.296,36,54,89,0.61,3,0.44,3.83,0.251,54.4,0.302
7,채은성,LG,0.293,34,114,118,0.97,9,0.46,3.73,0.159,63.9,0.271
8,홍창기,LG,0.279,40,113,97,1.16,7,0.95,4.37,0.137,74.3,0.289
9,라모스,LG,0.278,57,71,108,0.66,6,0.40,4.05,0.313,90.3,0.311
10,김용의,LG,0.271,3,18,19,0.95,0,0.20,3.64,0.086,7.5,0.223
11,박재욱,LG,0.267,0,6,1,6.00,0,0.00,3.06,0.000,0.6,0.208
12,김민성,LG,0.266,25,59,97,0.61,5,0.36,3.96,0.118,36.5,0.242
13,유강남,LG,0.261,34,117,118,0.99,9,0.38,3.60,0.154,55.0,0.252
14,이천웅,LG,0.256,16,103,91,1.13,2,0.80,3.93,0.077,37.9,0.233
15,백승현,LG,0.250,1,9,4,2.25,0,0.50,3.36,0.036,3.7,0.235
16,정주현,LG,0.247,18,89,97,0.92,2,0.46,3.84,0.091,34.8,0.225
17,양석환,LG,0.246,8,21,43,0.49,1,0.40,4.32,0.119,14.0,0.233
18,김호은,LG,0.243,7,29,35,0.83,2,0.50,3.68,0.107,10.7,0.224
19,정근우,LG,0.240,5,48,47,1.02,3,0.74,3.49,0.045,15.6,0.216
20,이성우,LG,0.234,4,28,17,1.65,2,0.43,3.88,0.130,7.7,0.221
21,장준원,LG,0.217,4,23,18,1.28,1,0.86,3.74,0.100,5.5,0.207
22,전민수,LG,0.200,0,0,2,0.00,0,0.50,5.33,0.000,0.5,0.2
23,구본혁,LG,0.163,2,28,26,1.08,0,0.39,3.56,0.058,4.3,0.164
24,이재원,LG,0.050,0,4,4,1.00,0,0.18,3.50,0.000,-0.6,0.074
25,김대현,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
25,남호,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
25,류원석,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
25,박지규,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
25,백청훈,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
25,송은범,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
25,이우찬,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
25,이정용,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
25,이찬혁,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
25,정우영,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
25,진해수,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
25,최동환,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
25,최성훈,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
25,최재원,LG,0.000,0,2,0,-,0,0.00,5.17,0.000,-0.9,0.0
25,한석현,LG,0.000,0,1,0,-,0,1.00,5.33,0.000,0.3,0.15
