순위,선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
1,손아섭,롯데,139,17,11,6,64.7,7,0
2,마차도,롯데,134,13,8,5,61.5,8,1
2,정훈,롯데,135,9,8,1,88.9,13,2
4,김재유,롯데,87,7,7,0,100,0,1
5,전준우,롯데,144,9,6,3,66.7,4,0
6,장두성,롯데,43,6,4,2,66.7,0,1
6,추재현,롯데,95,7,4,3,57.1,1,1
8,신윤후,롯데,71,4,3,1,75.0,3,0
8,안치홍,롯데,119,9,3,6,33.3,4,0
10,최민재,롯데,21,2,2,0,100,1,0
11,나승엽,롯데,60,1,1,0,100,0,0
11,배성근,롯데,78,1,1,0,100,2,0
13,강로한,롯데,21,0,0,0,-,0,0
13,강윤구,롯데,1,0,0,0,-,0,0
13,강태율,롯데,19,1,0,1,0.0,0,0
13,김민수,롯데,82,0,0,0,-,4,1
13,김원중,롯데,3,0,0,0,-,0,0
13,김유영,롯데,2,0,0,0,-,0,0
13,김주현,롯데,8,0,0,0,-,0,0
13,나균안,롯데,1,0,0,0,-,0,0
13,나원탁,롯데,1,0,0,0,-,0,0
13,민병헌,롯데,14,1,0,1,0.0,1,0
13,손성빈,롯데,20,0,0,0,-,0,0
13,송재영,롯데,1,0,0,0,-,0,0
13,안중열,롯데,58,0,0,0,-,0,1
13,오현택,롯데,1,0,0,0,-,0,0
13,이대호,롯데,114,0,0,0,-,3,0
13,이병규,롯데,29,0,0,0,-,0,0
13,이인복,롯데,1,0,0,0,-,0,0
13,이주찬,롯데,3,0,0,0,-,0,0
13,이호연,롯데,7,0,0,0,-,0,0
13,정보근,롯데,11,1,0,1,0.0,0,0
13,지시완,롯데,73,0,0,0,-,1,0
13,최종은,롯데,1,0,0,0,-,0,0
13,한동희,롯데,129,1,0,1,0.0,2,0
