¼øÀ§,¼±¼ö¸í,ÆÀ¸í,Å¸À²,ÀåÅ¸,¶¥º¼,¶á°ø,¶¥º¼/¶á°ø,°á½ÂÅ¸,º¼³Ý/»ïÁø,Åõ±¸¼ö/Å¸¼®,¼ø¼öÀåÅ¸À²,ÃßÁ¤µæÁ¡,(1.8xÃâ·çÀ²+ÀåÅ¸À²)/4
1,¹Îº´Çå,·Ôµ¥,0.304,35,90,115,0.78,5,0.76,3.60,0.149,61.5,0.284
2,ÀüÁØ¿ì,·Ôµ¥,0.301,53,163,154,1.06,9,0.65,3.63,0.180,89.2,0.282
3,¼Õ¾Æ¼·,·Ôµ¥,0.295,33,164,107,1.53,4,0.57,3.95,0.105,73.3,0.262
4,ÀÌ´ëÈ£,·Ôµ¥,0.285,40,146,143,1.02,7,0.72,3.58,0.151,72.5,0.269
5,±èµ¿ÇÑ,·Ôµ¥,0.282,4,18,23,0.78,0,0.40,3.60,0.051,8.3,0.233
6,Á¤ÁØÇõ,·Ôµ¥,0.273,0,2,0,-,0,0.00,4.27,0.000,0.7,0.191
7,½Åº»±â,·Ôµ¥,0.256,10,123,95,1.29,3,0.39,3.74,0.032,32.9,0.213
8,ÇãÀÏ,·Ôµ¥,0.255,5,54,29,1.86,2,0.43,3.78,0.047,14.7,0.217
9,°í½Â¹Î,·Ôµ¥,0.253,8,20,27,0.74,1,0.25,3.49,0.120,8.6,0.221
10,¾Æ¼ö¾ÆÇì,·Ôµ¥,0.252,11,39,60,0.65,0,1.08,3.82,0.117,24.1,0.252
11,Ã¤ÅÂÀÎ,·Ôµ¥,0.251,16,39,43,0.91,1,0.24,3.63,0.156,19.7,0.238
12,Àª½¼,·Ôµ¥,0.251,24,49,65,0.75,5,0.52,3.89,0.182,33.9,0.266
13,¹®±ÔÇö,·Ôµ¥,0.250,2,21,20,1.05,0,0.30,3.72,0.031,5.9,0.192
14,±è¹®È£,·Ôµ¥,0.243,7,29,20,1.45,0,0.13,4.05,0.068,8.5,0.199
15,°­·ÎÇÑ,·Ôµ¥,0.240,25,60,53,1.13,3,0.12,3.83,0.135,29.9,0.219
16,±è¹Î¼ö,·Ôµ¥,0.235,3,7,5,1.40,1,0.07,4.30,0.088,2.5,0.215
17,Á¤ÈÆ,·Ôµ¥,0.226,7,57,44,1.30,2,0.49,4.20,0.063,19.4,0.218
18,¿ÀÀ±¼®,·Ôµ¥,0.222,3,68,47,1.45,2,0.47,3.97,0.025,16.7,0.195
19,¹è¼º±Ù,·Ôµ¥,0.205,1,15,7,2.14,0,0.31,4.02,0.023,3.0,0.179
20,ÇÑµ¿Èñ,·Ôµ¥,0.203,11,53,41,1.29,0,0.32,3.88,0.080,14.9,0.193
21,³ª°æ¹Î,·Ôµ¥,0.200,2,15,9,1.67,0,0.25,4.20,0.089,4.0,0.192
22,¾ÈÁß¿­,·Ôµ¥,0.191,9,33,36,0.92,0,0.15,3.71,0.103,8.2,0.18
23,±èÁØÅÂ,·Ôµ¥,0.159,3,27,24,1.13,0,0.52,4.10,0.034,5.3,0.172
24,ÀÌº´±Ô,·Ôµ¥,0.158,2,3,6,0.50,0,0.29,3.82,0.105,1.1,0.189
25,Á¤º¸±Ù,·Ôµ¥,0.125,0,10,8,1.25,0,0.20,3.77,0.000,-0.3,0.121
26,³ª±Õ¾È,·Ôµ¥,0.124,7,44,32,1.38,1,0.10,4.11,0.070,4.2,0.133
27,Á¶È«¼®,·Ôµ¥,0.117,3,22,18,1.22,1,0.29,3.77,0.067,1.1,0.122
28,½ÅÀ±ÈÄ,·Ôµ¥,0.100,1,9,5,1.80,0,0.00,3.25,0.150,0.3,0.108
29,Àüº´¿ì,·Ôµ¥,0.098,1,6,18,0.33,0,0.14,3.75,0.020,-0.5,0.096
30,°íÈ¿ÁØ,·Ôµ¥,-,0,0,0,-,0,-,-,-,0.0,0.0
30,±¸½Â¹Î,·Ôµ¥,-,0,0,0,-,0,-,-,-,0.0,0.0
30,±è»çÈÆ,·Ôµ¥,0.000,0,1,0,-,0,-,4.00,0.000,-0.1,0.0
30,¹Ú½Ã¿µ,·Ôµ¥,-,0,0,0,-,0,-,-,-,0.0,0.0
30,¹ÚÁøÇü,·Ôµ¥,-,0,0,0,-,0,-,-,-,0.0,0.0
30,¼Õ½Â¶ô,·Ôµ¥,-,0,0,0,-,0,-,-,-,0.0,0.0
30,¿ÀÇöÅÃ,·Ôµ¥,-,0,0,0,-,0,-,-,-,0.0,0.0
30,ÀÌÂù°Ç,·Ôµ¥,0.000,0,0,0,-,0,0.00,4.50,0.000,-0.2,0.0
30,Á¤¼ºÁ¾,·Ôµ¥,0.000,0,0,1,0.00,0,-,2.00,0.000,-0.1,0.0
30,ÃÖ¼³¿ì,·Ôµ¥,-,0,0,0,-,0,-,-,-,0.0,0.0
30,È²Áø¼ö,·Ôµ¥,0.000,0,1,0,-,0,0.50,4.75,0.000,0.1,0.113
