¼øÀ§,¼±¼ö¸í,ÆÀ¸í,Å¸À²,ÀåÅ¸,¶¥º¼,¶á°ø,¶¥º¼/¶á°ø,°á½ÂÅ¸,º¼³Ý/»ïÁø,Åõ±¸¼ö/Å¸¼®,¼ø¼öÀåÅ¸À²,ÃßÁ¤µæÁ¡,(1.8xÃâ·çÀ²+ÀåÅ¸À²)/4
1,Á¤º¸±Ù,·Ôµ¥,0.333,8,23,19,1.21,2,1.08,3.60,0.136,16.8,0.312
2,¹è¿µºó,·Ôµ¥,0.313,2,5,4,1.25,0,0.50,3.72,0.125,2.5,0.268
3,ÀüÁØ¿ì,·Ôµ¥,0.312,41,127,154,0.82,10,0.80,3.77,0.158,87.0,0.289
4,ÀÌÁ¤ÈÆ,·Ôµ¥,0.296,8,40,42,0.95,2,0.46,3.66,0.066,21.2,0.251
5,±¸µå·³,·Ôµ¥,0.295,15,39,41,0.95,4,0.50,4.01,0.092,25.1,0.265
6,¾ÈÄ¡È«,·Ôµ¥,0.292,29,113,140,0.81,6,0.92,3.95,0.108,63.2,0.268
7,À±µ¿Èñ,·Ôµ¥,0.287,21,100,112,0.89,8,0.41,4.08,0.067,43.2,0.238
8,¹Ú½Â¿í,·Ôµ¥,0.286,21,69,52,1.33,5,0.40,4.25,0.083,40.4,0.256
9,Á¤ÈÆ,·Ôµ¥,0.279,20,56,52,1.08,1,0.67,3.94,0.159,31.9,0.271
10,¾È±Ç¼ö,·Ôµ¥,0.269,9,88,71,1.24,2,0.75,3.97,0.052,32.8,0.234
11,¼Õ¼ººó,·Ôµ¥,0.263,4,23,23,1.00,1,0.20,3.71,0.079,6.1,0.212
12,À¯°­³²,·Ôµ¥,0.261,23,117,83,1.41,7,0.58,3.88,0.122,46.2,0.25
13,³ëÁøÇõ,·Ôµ¥,0.257,31,69,99,0.70,5,0.54,4.03,0.120,47.4,0.25
14,±è¹Î¼®,·Ôµ¥,0.255,27,99,92,1.08,2,0.28,3.97,0.083,45.9,0.226
15,±¹ÇØ¼º,·Ôµ¥,0.250,0,2,1,2.00,0,0.67,3.70,0.000,1.1,0.243
15,À±¼ö³ç,·Ôµ¥,0.250,0,2,0,-,0,0.00,4.00,0.000,0.2,0.175
17,·º½º,·Ôµ¥,0.246,10,43,58,0.74,4,0.52,4.12,0.099,25.5,0.238
18,°í½Â¹Î,·Ôµ¥,0.224,18,71,67,1.06,2,0.66,4.02,0.094,32.0,0.228
19,ÇÑµ¿Èñ,·Ôµ¥,0.223,16,106,89,1.19,3,0.45,3.75,0.082,24.2,0.202
20,È²¼ººó,·Ôµ¥,0.212,7,62,45,1.38,1,0.44,3.73,0.053,12.3,0.187
21,±è¹Î¼ö,·Ôµ¥,0.209,2,10,7,1.43,0,0.41,3.98,0.070,3.7,0.214
22,ÀÌÇÐÁÖ,·Ôµ¥,0.209,5,28,28,1.00,0,0.35,3.80,0.100,10.4,0.206
23,ÀåµÎ¼º,·Ôµ¥,0.154,0,6,2,3.00,0,0.33,3.13,0.000,0.4,0.135
24,Á¤´ë¼±,·Ôµ¥,0.150,1,9,19,0.47,0,0.25,3.77,0.025,2.2,0.141
25,Áö½Ã¿Ï,·Ôµ¥,0.125,0,2,0,-,0,0.00,3.90,0.000,-0.1,0.088
26,¼­µ¿¿í,·Ôµ¥,0.118,1,6,4,1.50,0,0.60,4.40,0.059,0.5,0.157
27,½ÅÀ±ÈÄ,·Ôµ¥,0.040,0,11,5,2.20,0,0.00,3.96,0.000,-0.9,0.06
28,±èµ¿Çõ,·Ôµ¥,0.000,0,2,2,1.00,0,0.67,4.67,0.000,0.2,0.1
28,±è»ó¼ö,·Ôµ¥,-,0,0,0,-,0,-,-,-,0.0,0.0
28,±è¿øÁß,·Ôµ¥,-,0,0,0,-,0,-,-,-,0.0,0.0
28,¹ÚÇüÁØ,·Ôµ¥,0.000,0,0,0,-,0,0.00,5.00,0.000,-0.1,0.0
28,ÃÖ¼³¿ì,·Ôµ¥,-,0,0,0,-,0,-,-,-,0.0,0.0
