¼øÀ§,¼±¼ö¸í,ÆÀ¸í,Å¸À²,ÀåÅ¸,¶¥º¼,¶á°ø,¶¥º¼/¶á°ø,°á½ÂÅ¸,º¼³Ý/»ïÁø,Åõ±¸¼ö/Å¸¼®,¼ø¼öÀåÅ¸À²,ÃßÁ¤µæÁ¡,(1.8xÃâ·çÀ²+ÀåÅ¸À²)/4
1,ÀüÁØ¿ì,·Ôµ¥,0.348,53,145,152,0.95,10,0.75,3.64,0.121,98.9,0.3
2,¼Õ¾Æ¼·,·Ôµ¥,0.319,34,179,124,1.44,9,0.91,3.65,0.077,79.5,0.275
3,¼Õ¼ººó,·Ôµ¥,0.316,0,4,3,1.33,0,0.50,4.27,0.000,2.8,0.263
4,¾ÈÄ¡È«,·Ôµ¥,0.306,42,129,114,1.13,9,0.90,4.00,0.152,71.8,0.285
5,Á¤ÈÆ,·Ôµ¥,0.292,42,114,144,0.79,6,0.76,4.18,0.146,82.4,0.281
6,±èÀçÀ¯,·Ôµ¥,0.287,9,49,39,1.26,2,0.28,3.84,0.063,22.1,0.241
7,ÀÌ´ëÈ£,·Ôµ¥,0.286,30,121,135,0.90,5,0.68,3.69,0.162,63.7,0.266
8,¸¶Â÷µµ,·Ôµ¥,0.279,27,133,145,0.92,2,0.89,3.69,0.082,64.4,0.252
9,Á¤º¸±Ù,·Ôµ¥,0.278,0,6,5,1.20,0,1.00,3.20,0.000,1.3,0.227
10,ÇÑµ¿Èñ,·Ôµ¥,0.267,41,135,85,1.59,7,0.64,4.04,0.177,65.1,0.275
11,½ÅÀ±ÈÄ,·Ôµ¥,0.261,8,33,36,0.92,0,0.55,4.02,0.101,15.2,0.241
12,ÃßÀçÇö,·Ôµ¥,0.252,20,83,56,1.48,2,0.46,3.84,0.115,33.0,0.243
13,±èÁÖÇö,·Ôµ¥,0.250,0,1,5,0.20,0,0.17,3.88,0.000,1.2,0.195
14,±è¹Î¼ö,·Ôµ¥,0.241,15,56,34,1.65,4,0.29,3.89,0.111,21.8,0.228
15,Áö½Ã¿Ï,·Ôµ¥,0.241,16,33,39,0.85,4,0.26,4.07,0.181,20.7,0.249
16,ÀÌº´±Ô,·Ôµ¥,0.235,0,8,4,2.00,1,0.57,4.33,0.000,3.9,0.237
17,¾ÈÁß¿­,·Ôµ¥,0.232,8,37,35,1.06,2,1.08,3.73,0.112,19.2,0.253
18,ÀÌÈ£¿¬,·Ôµ¥,0.222,0,5,2,2.50,0,1.00,3.82,0.000,0.7,0.178
18,ÀåµÎ¼º,·Ôµ¥,0.222,3,8,8,1.00,0,0.42,3.85,0.111,4.1,0.226
20,¹è¼º±Ù,·Ôµ¥,0.204,5,28,10,2.80,0,0.39,4.27,0.075,9.0,0.209
21,³ª½Â¿±,·Ôµ¥,0.204,4,35,23,1.52,0,0.42,4.44,0.071,10.4,0.199
22,¹Îº´Çå,·Ôµ¥,0.190,3,9,14,0.64,0,0.55,3.73,0.071,2.5,0.197
23,°­·ÎÇÑ,·Ôµ¥,0.121,2,7,4,1.75,0,0.11,4.31,0.182,1.8,0.153
24,ÃÖ¹ÎÀç,·Ôµ¥,0.080,1,12,3,4.00,0,0.25,3.30,0.040,-0.2,0.097
25,°­ÅÂÀ²,·Ôµ¥,0.077,2,9,6,1.50,0,0.40,3.61,0.154,1.0,0.145
26,°­À±±¸,·Ôµ¥,-,0,0,0,-,0,-,-,-,0.0,0.0
26,±è¿øÁß,·Ôµ¥,-,0,0,0,-,0,-,-,-,0.0,0.0
26,±èÀ¯¿µ,·Ôµ¥,-,0,0,0,-,0,-,-,-,0.0,0.0
26,³ª±Õ¾È,·Ôµ¥,-,0,0,0,-,0,-,-,-,0.0,0.0
26,³ª¿øÅ¹,·Ôµ¥,0.000,0,0,0,-,0,0.00,5.00,0.000,-0.1,0.0
26,¼ÛÀç¿µ,·Ôµ¥,-,0,0,0,-,0,-,-,-,0.0,0.0
26,¿ÀÇöÅÃ,·Ôµ¥,-,0,0,0,-,0,-,-,-,0.0,0.0
26,ÀÌÀÎº¹,·Ôµ¥,-,0,0,0,-,0,-,-,-,0.0,0.0
26,ÀÌÁÖÂù,·Ôµ¥,0.000,0,1,1,1.00,0,0.00,3.63,0.000,-0.6,0.0
26,ÃÖÁ¾Àº,·Ôµ¥,0.000,0,0,0,-,0,0.00,3.00,0.000,-0.1,0.0
