¼øÀ§,¼±¼ö¸í,ÆÀ¸í,Å¸À²,Å¸¼ö,¾ÈÅ¸,2·çÅ¸,3·çÅ¸,È¨·±,Å¸Á¡,º¼³Ý,»ç±¸,»ïÁø,º´»ìÅ¸,Å¸¼ø
18,ÀÌÇÐÁÖ,·Ôµ¥,0.225,102,23,2,0,3,12,8,1,29,1,ÇÏÀ§(6~9¹ø)
19,È²¼ººó,·Ôµ¥,0.214,56,12,2,0,0,2,6,0,6,1,ÇÏÀ§(6~9¹ø)
20,¾ÈÄ¡È«,·Ôµ¥,0.208,24,5,2,1,0,4,1,0,5,0,ÇÏÀ§(6~9¹ø)
21,±è¹Î¼ö,·Ôµ¥,0.179,39,7,0,1,0,2,6,0,17,1,ÇÏÀ§(6~9¹ø)
22,Áö½Ã¿Ï,·Ôµ¥,0.143,7,1,0,0,0,0,0,0,4,0,ÇÏÀ§(6~9¹ø)
23,ÀåµÎ¼º,·Ôµ¥,0.1,10,1,0,0,0,0,1,0,3,0,ÇÏÀ§(6~9¹ø)
24,¼­µ¿¿í,·Ôµ¥,0.067,15,1,1,0,0,0,2,0,5,1,ÇÏÀ§(6~9¹ø)
25,½ÅÀ±ÈÄ,·Ôµ¥,0.053,19,1,0,0,0,0,0,2,5,0,ÇÏÀ§(6~9¹ø)
26,±èµ¿Çõ,·Ôµ¥,0.0,3,0,0,0,0,0,1,0,2,0,ÇÏÀ§(6~9¹ø)
26,·º½º,·Ôµ¥,0.0,1,0,0,0,0,0,0,0,0,0,ÇÏÀ§(6~9¹ø)
26,¹ÚÇüÁØ,·Ôµ¥,0.0,1,0,0,0,0,0,0,0,1,0,ÇÏÀ§(6~9¹ø)
26,À±¼ö³ç,·Ôµ¥,0.0,3,0,0,0,0,0,0,0,1,0,ÇÏÀ§(6~9¹ø)
