순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,이대호,롯데,0.331,142,591,540,53,179,23,0,23,271,101,0,6,43,7,2,56,26,0.502,0.379,0.881,53,0.318,0.2
2,렉스,롯데,0.330,56,251,218,32,72,10,1,8,108,34,0,2,26,2,5,44,4,0.495,0.410,0.905,24,0.449,0.0
3,고승민,롯데,0.316,92,262,234,31,74,15,1,5,106,30,2,1,25,0,0,47,6,0.453,0.381,0.834,17,0.328,0.455
4,한동희,롯데,0.307,129,499,456,43,140,27,0,14,209,65,0,4,33,2,6,64,15,0.458,0.359,0.817,41,0.278,0.444
5,전준우,롯데,0.304,120,517,470,73,143,31,1,11,209,68,0,9,35,1,3,73,14,0.445,0.350,0.795,45,0.285,0.25
6,황성빈,롯데,0.294,102,353,320,62,94,12,4,1,117,16,7,2,22,0,2,55,2,0.366,0.341,0.707,22,0.241,0.25
7,안치홍,롯데,0.284,132,562,493,71,140,27,3,14,215,58,8,5,51,4,5,52,13,0.436,0.354,0.790,38,0.222,0.333
8,김민수,롯데,0.257,57,156,140,9,36,6,0,0,42,11,3,0,9,0,4,48,2,0.300,0.320,0.620,7,0.333,0.5
9,정훈,롯데,0.245,91,340,294,39,72,8,0,3,89,32,6,6,32,0,2,66,6,0.303,0.317,0.620,18,0.235,0.231
10,이호연,롯데,0.244,88,222,205,20,50,10,1,2,68,16,4,0,11,1,2,38,5,0.332,0.289,0.621,11,0.222,0.167
11,신윤후,롯데,0.235,49,73,68,8,16,4,2,2,30,7,0,0,4,0,1,15,0,0.441,0.288,0.729,2,0.176,0.4
12,피터스,롯데,0.228,85,354,316,32,72,16,0,13,127,48,0,4,26,1,8,77,5,0.402,0.299,0.701,18,0.215,0.0
13,박승욱,롯데,0.227,100,228,198,29,45,7,2,1,59,16,12,0,16,0,2,69,1,0.298,0.292,0.590,11,0.255,0.0
14,추재현,롯데,0.224,33,66,58,10,13,4,0,0,17,5,0,0,7,0,1,17,1,0.293,0.318,0.611,1,0.25,0.25
15,지시완,롯데,0.213,75,199,174,16,37,7,0,3,53,17,2,1,20,1,2,55,7,0.305,0.299,0.604,6,0.227,0.313
16,이학주,롯데,0.207,91,260,232,29,48,11,1,3,70,15,9,1,16,0,2,54,3,0.302,0.263,0.565,9,0.19,0.0
17,정보근,롯데,0.191,95,226,199,8,38,2,0,1,43,15,10,1,14,0,2,55,4,0.216,0.250,0.466,6,0.208,0.0
18,조세진,롯데,0.186,39,88,86,6,16,3,0,0,19,6,1,0,1,0,0,25,4,0.221,0.195,0.416,4,0.222,0.125
19,장두성,롯데,0.174,53,28,23,7,4,0,0,0,4,0,0,0,5,0,0,11,0,0.174,0.321,0.495,0,0.0,0.0
20,안중열,롯데,0.155,33,84,71,8,11,0,0,2,17,2,0,0,11,0,2,19,2,0.239,0.286,0.525,2,0.0,0.167
21,윤동희,롯데,0.154,4,13,13,1,2,1,0,0,3,1,0,0,0,0,0,2,1,0.231,0.154,0.385,1,0.0,0.0
22,한태양,롯데,0.148,38,72,61,14,9,1,0,0,10,3,4,0,5,0,2,24,1,0.164,0.235,0.399,1,0.273,0.0
23,김민수,롯데,0.143,5,7,7,0,1,0,0,0,1,1,0,0,0,0,0,4,0,0.143,0.143,0.286,0,0.333,0.0
24,배성근,롯데,0.128,22,41,39,3,5,1,0,0,6,0,0,0,2,0,0,12,3,0.154,0.171,0.325,1,0.167,0.0
25,강태율,롯데,0.094,19,38,32,0,3,1,0,0,4,3,3,0,2,0,1,9,2,0.125,0.171,0.296,0,0.1,0.0
26,강로한,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
26,강윤구,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
26,구승민,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
26,김세민,롯데,0.000,4,4,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0.000,0.500,0.500,0,0.0,0.0
26,김원중,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
26,김재유,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
26,문경찬,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
