¼øÀ§,¼±¼ö¸í,ÆÀ¸í,Å¸À²,ÀåÅ¸,¶¥º¼,¶á°ø,¶¥º¼/¶á°ø,°á½ÂÅ¸,º¼³Ý/»ïÁø,Åõ±¸¼ö/Å¸¼®,¼ø¼öÀåÅ¸À²,ÃßÁ¤µæÁ¡,(1.8xÃâ·çÀ²+ÀåÅ¸À²)/4
1,°­¼º¿ì,·Ôµ¥,0.500,0,0,1,0.00,0,-,2.00,0.000,0.1,0.35
2,±èµ¿Çõ,·Ôµ¥,0.375,1,1,1,1.00,0,0.67,4.30,0.250,2.3,0.381
3,È²¼ººó,·Ôµ¥,0.354,10,47,37,1.27,1,0.75,3.86,0.137,34.2,0.307
4,·¹ÀÌ¿¹½º,·Ôµ¥,0.337,28,87,72,1.21,8,0.44,3.74,0.150,50.6,0.288
5,¼ÕÈ£¿µ,·Ôµ¥,0.324,22,40,50,0.80,2,0.27,3.26,0.227,31.5,0.301
6,ÀÌÁ¤ÈÆ,·Ôµ¥,0.317,6,19,8,2.38,1,0.60,4.07,0.100,9.2,0.284
7,ÀüÁØ¿ì,·Ôµ¥,0.314,19,38,46,0.83,2,0.54,3.61,0.214,29.1,0.301
8,°í½Â¹Î,·Ôµ¥,0.309,20,49,56,0.88,3,0.60,4.11,0.157,36.1,0.287
9,À±µ¿Èñ,·Ôµ¥,0.305,26,76,65,1.17,2,0.66,4.22,0.147,44.9,0.282
10,³ª½Â¿±,·Ôµ¥,0.298,22,43,42,1.02,1,0.62,4.22,0.158,29.5,0.285
11,¹Ú½Â¿í,·Ôµ¥,0.273,14,42,42,1.00,2,0.32,3.99,0.123,24.9,0.254
12,ÀÌÇÐÁÖ,·Ôµ¥,0.269,6,9,17,0.53,0,0.14,4.24,0.129,11.6,0.244
13,ÇÑµ¿Èñ,·Ôµ¥,0.257,2,6,11,0.55,1,0.11,3.56,0.057,2.4,0.204
14,Á¤ÈÆ,·Ôµ¥,0.256,15,44,44,1.00,2,0.50,3.89,0.156,22.1,0.248
15,Á¤º¸±Ù,·Ôµ¥,0.229,3,16,23,0.70,0,0.07,3.55,0.114,4.8,0.193
16,ÃÖÇ×,·Ôµ¥,0.211,2,27,24,1.13,1,0.45,4.36,0.022,5.0,0.186
17,±è¹Î¼®,·Ôµ¥,0.203,4,21,19,1.11,1,0.11,3.43,0.068,3.5,0.181
18,±è¹Î¼º,·Ôµ¥,0.200,7,12,27,0.44,1,0.56,4.20,0.157,8.9,0.234
19,À¯°­³²,·Ôµ¥,0.191,8,50,36,1.39,0,0.36,3.84,0.132,12.7,0.205
20,¼­µ¿¿í,·Ôµ¥,0.182,1,2,5,0.40,0,0.00,3.83,0.091,0.7,0.181
21,ÀÌÁÖÂù,·Ôµ¥,0.174,2,7,3,2.33,1,0.11,3.75,0.174,1.3,0.181
22,¼Õ¼ººó,·Ôµ¥,0.159,4,13,13,1.00,0,0.36,4.33,0.250,4.1,0.205
23,ÀåµÎ¼º,·Ôµ¥,0.154,0,6,0,-,0,0.40,3.76,0.000,2.0,0.197
24,³ëÁøÇõ,·Ôµ¥,0.153,2,15,20,0.75,0,0.35,3.99,0.034,3.1,0.152
25,½ÅÀ±ÈÄ,·Ôµ¥,0.143,0,5,10,0.50,1,0.33,4.25,0.000,0.2,0.133
26,¿À¼±Áø,·Ôµ¥,0.091,0,3,2,1.50,0,0.40,3.67,0.000,1.0,0.173
27,¹éµÎ»ê,·Ôµ¥,0.000,0,0,0,-,0,0.00,4.00,0.000,-0.1,0.0
27,ÀÌ¼±¿ì,·Ôµ¥,-,0,0,0,-,0,-,-,-,0.0,0.0
27,Á¤´ë¼±,·Ôµ¥,0.000,0,0,0,-,0,0.00,4.00,0.000,-0.2,0.0
