선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
류지혁,KIA,0.381,4,13,9,1.44,0,0.17,3.71,0.143,8.8,0.329
최형우,KIA,0.354,66,111,128,0.87,18,0.69,4.13,0.236,119.2,0.342
김주찬,KIA,0.333,1,4,6,0.67,0,0.00,3.11,0.167,1.8,0.275
김선빈,KIA,0.330,20,100,65,1.54,7,0.93,4.04,0.073,48.1,0.283
이창진,KIA,0.330,9,17,25,0.68,0,0.59,3.85,0.114,14.0,0.293
최원준,KIA,0.326,24,100,112,0.89,6,0.94,3.71,0.095,61.7,0.279
터커,KIA,0.306,72,130,183,0.71,10,1.13,3.87,0.251,112.5,0.318
나지완,KIA,0.291,37,84,140,0.60,7,0.56,4.01,0.154,85.7,0.287
나주환,KIA,0.279,11,41,63,0.65,2,0.27,3.98,0.113,24.4,0.242
황대인,KIA,0.276,8,26,30,0.87,1,0.72,4.22,0.138,18.5,0.276
김민식,KIA,0.251,9,56,76,0.74,1,0.61,3.80,0.066,22.1,0.219
홍종표,KIA,0.250,3,28,20,1.40,0,0.31,3.36,0.038,6.0,0.199
유민상,KIA,0.246,31,108,111,0.97,7,0.66,3.99,0.120,49.7,0.245
황윤호,KIA,0.243,3,19,24,0.79,0,0.30,3.49,0.043,4.6,0.195
오선우,KIA,0.239,4,16,9,1.78,2,0.12,3.96,0.179,8.3,0.24
김태진,KIA,0.236,7,67,90,0.74,2,0.29,3.83,0.038,19.6,0.191
김호령,KIA,0.232,11,30,22,1.36,2,0.25,4.31,0.152,17.1,0.237
고장혁,KIA,0.231,0,4,1,4.00,0,0.00,4.00,0.000,0.6,0.162
이진영,KIA,0.227,1,8,0,-,0,0.56,4.52,0.045,2.6,0.235
한승택,KIA,0.226,15,57,60,0.95,1,0.36,4.15,0.146,26.0,0.232
박찬호,KIA,0.223,19,153,136,1.13,1,0.41,3.93,0.052,34.4,0.193
백용환,KIA,0.220,9,18,24,0.75,0,0.52,4.03,0.209,13.4,0.256
이우성,KIA,0.203,1,18,18,1.00,1,0.55,3.55,0.017,4.1,0.19
최정용,KIA,0.196,2,11,19,0.58,1,0.13,3.83,0.071,3.2,0.168
김규성,KIA,0.178,6,28,61,0.46,2,0.33,3.98,0.083,10.7,0.176
문선재,KIA,0.167,0,0,3,0.00,0,0.00,3.50,0.000,0.0,0.117
장영석,KIA,0.129,0,10,11,0.91,1,0.57,3.24,0.000,0.5,0.142
최정민,KIA,0.111,0,7,0,-,0,2.00,2.82,0.000,0.6,0.151
김영환,KIA,0.000,0,4,7,0.57,0,0.20,4.00,0.000,-1.2,0.027
김현준,KIA,-,0,0,0,-,0,-,-,-,0.0,0.0
박민,KIA,0.000,0,0,0,-,0,1.00,5.50,0.000,0.2,0.225
이정훈,KIA,0.000,0,0,2,0.00,0,0.00,4.75,0.000,-0.4,0.0
장현식,KIA,-,0,0,0,-,0,-,-,-,0.0,0.0
로하스,KT,0.349,87,94,140,0.67,16,0.49,4.06,0.331,137.9,0.358
강백호,KT,0.330,60,124,121,1.02,8,0.71,3.81,0.214,104.2,0.321
황재균,KT,0.312,61,112,166,0.67,9,0.48,3.82,0.200,95.3,0.295
조용호,KT,0.296,15,119,88,1.35,6,0.77,4.46,0.037,59.5,0.26
배정대,KT,0.289,41,117,124,0.94,7,0.48,3.99,0.131,84.1,0.272
박경수,KT,0.281,30,64,80,0.80,3,0.50,4.31,0.173,55.8,0.285
유한준,KT,0.280,28,113,115,0.98,8,0.78,3.91,0.130,53.2,0.258
장성우,KT,0.278,28,106,125,0.85,6,0.59,3.79,0.135,54.8,0.255
허도환,KT,0.264,1,11,13,0.85,3,0.40,3.77,0.019,5.6,0.233
박승욱,KT,0.264,6,17,28,0.61,1,0.30,3.77,0.091,15.4,0.246
문상철,KT,0.260,13,33,40,0.83,2,0.26,3.55,0.201,22.1,0.257
김민혁,KT,0.239,12,82,46,1.78,2,0.52,3.81,0.108,25.1,0.227
심우준,KT,0.235,22,138,132,1.05,5,0.38,4.08,0.065,46.0,0.206
강민국,KT,0.224,3,34,29,1.17,0,0.35,3.81,0.028,7.3,0.185
천성호,KT,0.203,3,18,22,0.82,0,0.47,3.68,0.043,5.2,0.19
강현우,KT,0.200,3,7,6,1.17,0,0.18,4.22,0.167,2.4,0.204
송민섭,KT,0.195,3,3,18,0.17,0,0.38,3.82,0.146,4.9,0.217
이홍구,KT,0.190,5,19,24,0.79,1,0.23,3.84,0.131,7.3,0.2
김병희,KT,0.143,1,2,10,0.20,0,0.00,4.14,0.143,1.1,0.133
김민,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
김민수,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
김성훈,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
김재윤,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
김태훈,KT,0.000,0,1,1,1.00,0,0.00,5.00,0.000,-0.3,0.0
류희운,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
문상인,KT,0.000,0,0,1,0.00,0,0.00,3.00,0.000,-0.2,0.0
박준혁,KT,0.000,0,1,0,-,0,0.00,4.00,0.000,-0.2,0.0
안현준,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
유원상,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
이대은,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
이보근,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
이상화,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
이창재,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
전유수,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
정주후,KT,0.000,0,1,0,-,0,-,5.00,0.000,-0.1,0.225
조병욱,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
주권,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
홍현빈,KT,0.000,0,8,5,1.60,0,1.00,4.21,0.000,-0.3,0.098
손호영,LG,0.367,2,5,8,0.63,0,0.17,3.29,0.067,4.7,0.282
김현수,LG,0.331,59,153,167,0.92,16,1.19,3.80,0.192,106.7,0.309
신민재,LG,0.308,1,13,1,13.00,1,1.00,3.69,0.038,4.4,0.267
오지환,LG,0.300,58,123,135,0.91,3,0.39,4.10,0.161,86.9,0.278
박용택,LG,0.300,17,57,65,0.88,3,0.44,3.67,0.097,28.0,0.252
이형종,LG,0.296,36,54,89,0.61,3,0.44,3.83,0.251,54.4,0.302
채은성,LG,0.293,34,114,118,0.97,9,0.46,3.73,0.159,63.9,0.271
홍창기,LG,0.279,40,113,97,1.16,7,0.95,4.37,0.137,74.3,0.289
라모스,LG,0.278,57,71,108,0.66,6,0.40,4.05,0.313,90.3,0.311
김용의,LG,0.271,3,18,19,0.95,0,0.20,3.64,0.086,7.5,0.223
박재욱,LG,0.267,0,6,1,6.00,0,0.00,3.06,0.000,0.6,0.208
김민성,LG,0.266,25,59,97,0.61,5,0.36,3.96,0.118,36.5,0.242
유강남,LG,0.261,34,117,118,0.99,9,0.38,3.60,0.154,55.0,0.252
이천웅,LG,0.256,16,103,91,1.13,2,0.80,3.93,0.077,37.9,0.233
백승현,LG,0.250,1,9,4,2.25,0,0.50,3.36,0.036,3.7,0.235
정주현,LG,0.247,18,89,97,0.92,2,0.46,3.84,0.091,34.8,0.225
양석환,LG,0.246,8,21,43,0.49,1,0.40,4.32,0.119,14.0,0.233
김호은,LG,0.243,7,29,35,0.83,2,0.50,3.68,0.107,10.7,0.224
정근우,LG,0.240,5,48,47,1.02,3,0.74,3.49,0.045,15.6,0.216
이성우,LG,0.234,4,28,17,1.65,2,0.43,3.88,0.130,7.7,0.221
장준원,LG,0.217,4,23,18,1.28,1,0.86,3.74,0.100,5.5,0.207
전민수,LG,0.200,0,0,2,0.00,0,0.50,5.33,0.000,0.5,0.2
구본혁,LG,0.163,2,28,26,1.08,0,0.39,3.56,0.058,4.3,0.164
이재원,LG,0.050,0,4,4,1.00,0,0.18,3.50,0.000,-0.6,0.074
김대현,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
남호,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
류원석,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
박지규,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
백청훈,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
송은범,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
이우찬,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
이정용,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
이찬혁,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
정우영,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
진해수,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
최동환,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
최성훈,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
최재원,LG,0.000,0,2,0,-,0,0.00,5.17,0.000,-0.9,0.0
한석현,LG,0.000,0,1,0,-,0,1.00,5.33,0.000,0.3,0.15
김기환,NC,0.500,1,1,0,-,0,-,2.50,0.500,0.6,0.475
