선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
박찬호,KIA,141,23,15,8,65.2,3,0
최원준,KIA,123,17,14,3,82.4,5,2
김태진,KIA,82,11,7,4,63.6,3,0
김호령,KIA,89,6,3,3,50.0,1,0
김규성,KIA,103,3,2,1,66.7,3,2
황윤호,KIA,25,2,2,0,100,0,0
김선빈,KIA,85,2,1,1,50.0,3,0
김영환,KIA,14,2,1,1,50.0,0,0
류지혁,KIA,25,2,1,1,50.0,0,0
이우성,KIA,48,1,1,0,100,0,0
이진영,KIA,32,1,1,0,100,0,0
최정민,KIA,24,1,1,0,100,1,1
고장혁,KIA,7,0,0,0,-,1,0
김민식,KIA,69,0,0,0,-,3,0
김주찬,KIA,7,1,0,1,0.0,0,0
김현준,KIA,1,0,0,0,-,0,0
나주환,KIA,64,0,0,0,-,1,0
나지완,KIA,137,0,0,0,-,7,0
문선재,KIA,15,0,0,0,-,2,0
박민,KIA,6,0,0,0,-,0,0
백용환,KIA,52,0,0,0,-,0,0
오선우,KIA,59,0,0,0,-,0,0
유민상,KIA,126,0,0,0,-,4,0
이정훈,KIA,3,0,0,0,-,0,0
이창진,KIA,22,1,0,1,0.0,2,1
장영석,KIA,11,0,0,0,-,0,0
장현식,KIA,1,0,0,0,-,0,0
최정용,KIA,38,0,0,0,-,0,0
최형우,KIA,140,0,0,0,-,3,0
터커,KIA,142,2,0,2,0.0,3,0
한승택,KIA,83,0,0,0,-,2,0
홍종표,KIA,40,2,0,2,0.0,1,0
황대인,KIA,63,0,0,0,-,1,0
심우준,KT,144,46,35,11,76.1,3,1
배정대,KT,144,35,22,13,62.9,4,2
조용호,KT,132,15,12,3,80.0,4,1
황재균,KT,134,17,11,6,64.7,3,1
김민혁,KT,108,12,8,4,66.7,2,0
강백호,KT,129,9,7,2,77.8,10,0
박승욱,KT,97,6,5,1,83.3,2,1
송민섭,KT,114,7,4,3,57.1,2,0
천성호,KT,66,2,1,1,50.0,1,0
강민국,KT,81,1,0,1,0.0,1,0
강현우,KT,26,0,0,0,-,0,0
김민,KT,2,0,0,0,-,0,0
김민수,KT,1,0,0,0,-,0,0
김병희,KT,29,0,0,0,-,0,0
김성훈,KT,1,0,0,0,-,0,0
김재윤,KT,2,0,0,0,-,0,0
김태훈,KT,2,0,0,0,-,0,0
로하스,KT,142,1,0,1,0.0,7,0
류희운,KT,1,0,0,0,-,0,0
문상인,KT,3,0,0,0,-,0,0
문상철,KT,74,1,0,1,0.0,1,0
박경수,KT,119,1,0,1,0.0,5,0
박준혁,KT,12,0,0,0,-,0,0
안현준,KT,1,0,0,0,-,0,0
유원상,KT,1,0,0,0,-,0,0
유한준,KT,119,0,0,0,-,2,0
이대은,KT,2,0,0,0,-,0,0
이보근,KT,1,0,0,0,-,0,0
이상화,KT,1,0,0,0,-,0,0
이창재,KT,1,0,0,0,-,0,0
이홍구,KT,49,0,0,0,-,2,0
장성우,KT,130,0,0,0,-,1,0
전유수,KT,2,0,0,0,-,0,0
정주후,KT,10,1,0,1,0.0,0,0
조병욱,KT,1,0,0,0,-,0,0
주권,KT,2,0,0,0,-,0,0
허도환,KT,52,0,0,0,-,0,0
홍현빈,KT,40,1,0,1,0.0,0,0
오지환,LG,141,28,20,8,71.4,9,1
홍창기,LG,135,16,11,5,68.8,4,1
신민재,LG,68,10,8,2,80.0,1,0
이천웅,LG,89,13,8,5,61.5,7,0
정주현,LG,134,15,8,7,53.3,7,1
김용의,LG,101,10,7,3,70.0,1,0
정근우,LG,72,9,7,2,77.8,2,0
손호영,LG,23,5,5,0,100,1,0
김민성,LG,87,3,2,1,66.7,2,0
라모스,LG,117,2,2,0,100,4,0
박용택,LG,97,2,2,0,100,1,0
유강남,LG,137,2,1,1,50.0,3,0
이형종,LG,81,1,1,0,100,4,0
한석현,LG,9,1,1,0,100,0,0
구본혁,LG,125,0,0,0,-,1,1
김대현,LG,1,0,0,0,-,0,0
