선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
권혁경,KIA,0.500,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,1.000,0,0.5,0.0
김선우,KIA,0.333,3,4,3,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0.333,0.500,0.833,0,0.0,0.0
박정우,KIA,0.333,16,3,3,2,1,0,0,0,1,2,0,0,0,0,0,1,0,0.333,0.333,0.666,0,0.5,0.0
나성범,KIA,0.320,144,649,563,92,180,39,2,21,286,97,0,5,64,6,17,137,7,0.508,0.402,0.910,54,0.316,0.0
소크라테스,KIA,0.311,127,554,514,83,160,29,7,17,254,77,0,4,34,4,2,81,11,0.494,0.354,0.848,47,0.296,0.0
이창진,KIA,0.301,111,404,346,56,104,14,0,7,139,48,11,4,41,0,2,63,7,0.402,0.374,0.776,30,0.29,0.333
이우성,KIA,0.292,80,137,120,23,35,7,0,1,45,12,4,0,12,0,1,20,5,0.375,0.361,0.736,7,0.258,0.333
김선빈,KIA,0.287,140,587,505,51,145,23,0,3,177,61,7,3,65,0,6,47,14,0.350,0.373,0.723,40,0.265,0.333
고종욱,KIA,0.283,62,114,106,13,30,7,1,2,45,14,1,0,7,0,0,21,2,0.425,0.327,0.752,6,0.296,0.297
류지혁,KIA,0.274,127,477,405,55,111,19,2,2,140,48,8,2,56,0,6,83,6,0.346,0.369,0.715,28,0.305,0.286
김호령,KIA,0.273,54,88,77,21,21,1,1,1,27,8,4,0,7,0,0,22,4,0.351,0.333,0.684,5,0.222,0.25
박찬호,KIA,0.272,130,566,493,81,134,22,0,4,168,45,8,7,57,0,1,67,9,0.341,0.344,0.685,34,0.277,0.0
최형우,KIA,0.264,132,530,454,55,120,27,1,14,191,71,0,2,73,5,1,92,9,0.421,0.366,0.787,33,0.282,0.286
황대인,KIA,0.256,129,524,476,40,122,27,0,14,191,91,0,5,36,2,7,92,20,0.401,0.315,0.716,34,0.296,0.0
박동원,KIA,0.242,123,447,385,52,93,21,0,18,168,57,7,1,45,4,9,95,9,0.436,0.334,0.770,21,0.234,0.077
김도영,KIA,0.237,103,254,224,37,53,11,4,3,81,19,4,1,22,0,3,62,3,0.362,0.312,0.674,12,0.259,0.222
김규성,KIA,0.180,70,52,50,14,9,0,1,1,14,4,1,0,1,0,0,12,0,0.280,0.196,0.476,0,0.077,0.0
한승택,KIA,0.176,66,119,102,11,18,2,0,1,23,12,4,1,9,0,3,30,2,0.225,0.261,0.486,3,0.16,0.25
김석환,KIA,0.149,51,107,94,15,14,2,0,3,25,7,0,0,10,0,3,32,1,0.266,0.252,0.518,3,0.125,0.071
최정용,KIA,0.091,30,23,22,5,2,0,0,0,2,0,1,0,0,0,0,6,0,0.091,0.091,0.182,0,0.0,0.25
임석진,KIA,0.071,10,17,14,4,1,0,0,1,4,1,0,0,2,0,1,9,1,0.286,0.235,0.521,0,0.0,1.0
김재열,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
나지완,KIA,0.000,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0
류승현,KIA,0.000,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.0,0.0
박민,KIA,0.000,6,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0
신범수,KIA,0.000,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.0,0.0
이정훈,KIA,0.000,6,10,8,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0.000,0.200,0.200,0,0.0,0.0
문상준,KT,0.333,2,3,3,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0.667,0.333,1.000,0,1.0,0.0
전진영,KT,0.333,4,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.666,0,0.5,0.0
조용호,KT,0.308,131,531,474,52,146,18,4,3,181,44,2,3,49,3,3,74,3,0.382,0.374,0.756,39,0.293,0.2
알포드,KT,0.286,80,323,283,48,81,19,1,14,144,50,0,4,33,3,3,90,3,0.509,0.362,0.871,22,0.239,0.0
김민혁,KT,0.284,132,434,373,47,106,10,2,0,120,35,19,3,37,2,2,62,10,0.322,0.349,0.671,20,0.279,0.296
박병호,KT,0.275,124,487,429,72,118,17,0,35,240,98,0,6,40,3,12,131,7,0.559,0.349,0.908,24,0.259,0.429
김준태,KT,0.273,98,270,231,28,63,16,1,4,93,27,3,3,33,1,0,77,4,0.403,0.360,0.763,16,0.25,0.182
배정대,KT,0.266,144,575,508,64,135,24,2,6,181,56,5,4,54,0,4,126,2,0.356,0.339,0.695,34,0.281,0.333
황재균,KT,0.262,141,581,519,59,136,25,3,10,197,64,2,2,53,5,5,99,17,0.380,0.335,0.715,36,0.303,0.0
장성우,KT,0.260,117,420,362,48,94,11,0,18,159,55,1,3,52,2,2,79,12,0.439,0.353,0.792,26,0.277,0.1
라모스,KT,0.250,18,80,72,10,18,1,1,3,30,11,1,1,4,0,2,18,2,0.417,0.304,0.721,3,0.1,0.0
장준원,KT,0.246,35,63,57,7,14,2,0,3,25,10,3,0,3,0,0,17,5,0.439,0.283,0.722,2,0.364,0.5
강백호,KT,0.245,62,264,237,24,58,12,0,6,88,29,1,2,23,2,1,44,6,0.371,0.312,0.683,18,0.23,0.0
심우준,KT,0.240,132,449,388,69,93,8,2,4,117,34,11,4,43,0,2,75,11,0.302,0.316,0.618,23,0.175,0.333
홍현빈,KT,0.237,61,92,76,8,18,2,0,0,20,1,6,0,10,0,0,26,1,0.263,0.326,0.589,2,0.087,1.0
