선수명,팀명,타율,타수,안타,2루타,3루타,홈런,타점,볼넷,사구,삼진,병살타,타순
박준영,두산,1.000,1,1,0,0,0,0,0,0,0,0,1번
김인태,두산,0.667,3,2,1,0,1,2,0,1,0,0,1번
안재석,두산,0.500,4,2,0,0,0,0,0,0,2,0,1번
전민재,두산,0.500,2,1,1,0,0,1,0,0,0,0,1번
정수빈,두산,0.266,447,119,10,11,2,31,55,7,57,2,1번
박계범,두산,0.250,4,1,0,0,0,0,1,0,1,0,1번
조수행,두산,0.241,29,7,0,1,1,2,6,0,5,1,1번
김태근,두산,0.217,23,5,1,0,0,1,0,1,9,0,1번
송승환,두산,0.200,5,1,1,0,0,0,1,0,2,0,1번
양찬열,두산,0.200,15,3,0,0,0,0,0,0,4,0,1번
허경민,두산,0.188,32,6,1,0,0,1,4,0,0,0,1번
김대한,두산,0.176,17,3,1,0,0,1,1,0,4,0,1번
김재호,두산,0.000,1,0,0,0,0,0,0,0,0,0,1번
김재환,두산,-,0,0,0,0,0,0,1,0,0,0,1번
로하스,두산,0.000,2,0,0,0,0,0,0,0,0,0,1번
신성현,두산,0.000,1,0,0,0,0,0,0,0,0,0,1번
이유찬,두산,0.000,2,0,0,0,0,0,1,1,1,0,1번
전민재,두산,1.000,1,1,1,0,0,0,0,0,0,0,2번
박지훈,두산,0.500,2,1,0,0,0,1,0,0,1,0,2번
김재환,두산,0.467,15,7,1,0,0,1,7,0,2,2,2번
정수빈,두산,0.467,30,14,2,0,0,2,4,0,4,0,2번
김재호,두산,0.275,138,38,6,0,2,14,16,5,14,7,2번
허경민,두산,0.268,112,30,5,0,2,16,8,3,6,4,2번
김대한,두산,0.250,24,6,0,0,1,2,3,0,5,0,2번
김인태,두산,0.250,8,2,0,0,0,0,0,0,1,0,2번
로하스,두산,0.250,36,9,3,1,2,6,3,1,4,0,2번
박계범,두산,0.206,68,14,3,0,1,6,3,0,21,2,2번
강승호,두산,0.200,5,1,0,0,0,0,1,0,0,0,2번
양찬열,두산,0.188,16,3,0,0,0,1,1,1,5,0,2번
이유찬,두산,0.154,13,2,0,1,0,1,5,0,3,0,2번
조수행,두산,0.138,58,8,1,0,0,4,11,2,12,0,2번
안재석,두산,0.056,18,1,0,1,0,0,0,0,3,0,2번
김민혁,두산,0.000,1,0,0,0,0,0,0,0,0,0,2번
김태근,두산,0.000,1,0,0,0,0,0,0,0,1,0,2번
박준영,두산,0.000,3,0,0,0,0,0,0,0,0,0,2번
송승환,두산,0.000,8,0,0,0,0,0,0,0,4,0,2번
