선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
조수행,두산,117,29,22,7,75.9,2,0
정수빈,두산,127,23,15,8,65.2,4,1
강승호,두산,134,18,13,5,72.2,2,1
허경민,두산,121,13,10,3,76.9,6,1
박계범,두산,77,8,5,3,62.5,3,0
강진성,두산,40,4,4,0,100,1,0
안재석,두산,99,4,4,0,100,4,0
안권수,두산,76,7,3,4,42.9,3,0
전민재,두산,35,3,3,0,100,1,0
김대한,두산,51,3,2,1,66.7,2,0
김재환,두산,128,3,2,1,66.7,5,0
박세혁,두산,128,4,2,2,50.0,4,0
김인태,두산,83,1,1,0,100,3,0
신성현,두산,17,1,1,0,100,0,0
양석환,두산,107,1,1,0,100,4,0
오재원,두산,18,3,1,2,33.3,0,0
이유찬,두산,13,2,1,1,50.0,0,0
강현구,두산,3,0,0,0,-,0,0
권민석,두산,16,0,0,0,-,0,0
김강률,두산,5,0,0,0,-,0,0
김동주,두산,1,0,0,0,-,0,0
김명신,두산,3,0,0,0,-,0,0
김민혁,두산,38,0,0,0,-,0,0
김재호,두산,102,2,0,2,0.0,3,0
김지용,두산,3,0,0,0,-,0,0
김태근,두산,2,1,0,1,0.0,0,0
박신지,두산,1,0,0,0,-,0,0
박유연,두산,13,0,0,0,-,0,0
박정수,두산,1,0,0,0,-,0,0
서예일,두산,35,0,0,0,-,1,0
송승환,두산,11,0,0,0,-,0,1
안승한,두산,30,0,0,0,-,1,0
양찬열,두산,41,0,0,0,-,1,0
윤명준,두산,1,0,0,0,-,0,0
이승진,두산,1,0,0,0,-,0,0
임창민,두산,3,0,0,0,-,0,0
장승현,두산,60,0,0,0,-,0,0
장원준,두산,1,0,0,0,-,0,0
정철원,두산,2,0,0,0,-,0,0
최용제,두산,1,0,0,0,-,0,0
페르난데스,두산,139,0,0,0,-,5,0
홍건희,두산,7,0,0,0,-,0,0
홍성호,두산,12,0,0,0,-,0,0
